t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
251,251,C21,1.45,0.145,0.3383320068640247,0.0492167811364693,0.3371437,0.049101308,COMPLETED,True,0.42597896810087316,False,9,2,0.9,0.0001,0.7614583333333332,1e-06,2.647738060930848e-08,2.633990074716839e-19,2.6477380609571878e-08,0,12,12,12,13,474.84467003995087
252,252,C21,1.45,0.15,0.3409303879527062,0.0476035893642579,0.33829716,0.047938194,COMPLETED,True,0.42320966940140814,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,4.8174651059493686e-08,2.4861463126137347e-19,4.8174651059742303e-08,0,12,12,12,13,474.7697326160269
253,253,C21,1.45,0.155,0.3434375068466994,0.0459618202213174,0.33926892,0.04678345,COMPLETED,True,0.42053306869187446,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,5.6696463880606454e-08,2.311458580016021e-19,5.66964638808376e-08,0,12,12,12,13,477.77087778400164
254,254,C21,1.45,0.17,0.3504626486183875,0.0408855647331534,0.3425792,0.042578533,COMPLETED,True,0.41302052833509645,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,5.507947873169865e-08,1.8518428582665878e-19,5.5079478731883834e-08,0,12,12,12,14,526.0289906967664
255,255,C21,1.45,0.185,0.3568359823845386,0.0356190876845879,0.34884328,0.03651572,COMPLETED,True,0.40618701980446953,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,9.208941727194192e-08,1.4636760158958203e-19,9.208941727208828e-08,0,12,12,12,16,612.7862449422246
256,256,C21,1.45,0.2,0.3626566088431018,0.0302003605398189,0.36048907,0.030551556,COMPLETED,True,0.3999435170538415,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,1.5782894657154077e-08,1.2790519895293567e-19,1.5782894657281982e-08,0,12,12,12,20,752.5464986811858
257,257,C21,1.5,0.12,0.3463350090058034,0.0500656877706976,0.34150776,0.05030274,COMPLETED,True,0.41813137572097714,False,9,2,0.9,0.0001,0.7614583333333332,1e-06,1.4350931205603767e-08,3.8875713222576804e-19,1.4350931205992523e-08,0,12,12,12,13,457.38697020697873
258,258,C21,1.5,0.135,0.3547999528774636,0.0461383483534535,0.35749373,0.045289718,COMPLETED,True,0.4092672639096349,False,11,5,0.9,0.002,0.7614583333333332,1e-06,4.0520546404667175e-08,2.725092671015226e-19,4.052054640493968e-08,0,12,12,12,13,469.97783658106346
259,259,C21,1.5,0.145,0.3599323242867976,0.0433022950552245,0.36388648,0.042559512,COMPLETED,True,0.4038474022872742,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,5.260869541831551e-08,2.682741744316391e-19,5.260869541858378e-08,0,12,12,12,13,479.2213919161586
260,260,C21,1.5,0.155,0.3647114577304087,0.0403227693778328,0.36644995,0.040136833,COMPLETED,True,0.3987894526836409,False,9,5,0.9,0.002,0.7614583333333332,1.2171874999999996e-05,4.6600413106615524e-08,2.349283343812423e-19,4.660041310685045e-08,0,12,12,12,13,479.08599392103497
261,261,C21,1.5,0.165,0.3691768912189201,0.037220759251363,0.36763316,0.03768214,COMPLETED,True,0.3940400820306864,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333332e-05,5.217276257119315e-08,2.0298153450380858e-19,5.2172762571396135e-08,0,12,12,12,14,528.7808849769644
262,262,C21,1.5,0.18,0.3753597021383517,0.0323754101889196,0.3712701,0.03300969,COMPLETED,True,0.38745355263014275,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,2.4336743780404693e-08,1.6727732239926554e-19,2.433674378057197e-08,0,12,12,12,17,650.086891631945
263,263,C21,1.5,0.195,0.3810075315624341,0.0273406565891719,0.38013694,0.027586127,COMPLETED,True,0.3814318672981242,False,9,2,0.9,0.0001,0.7614583333333332,1e-06,3.998508945236973e-08,1.3866844712048555e-19,3.9985089452508395e-08,0,12,12,12,20,767.9282473687781
264,264,C21,1.55,0.125,0.3703371637014682,0.0431153363587604,0.36736795,0.043509062,COMPLETED,True,0.3934864607782402,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,3.9530132372131445e-08,3.4868826227386244e-19,3.953013237248013e-08,0,12,12,12,13,465.1812928522704
