condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,301,C22,1.6,0.255,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.47002929687500006,0.0007867584635416665,0.012665438669467285,3.232992058901827e-21,0.012665438669467285,True,True,True,0.029978570396103403,41.163538877037354,301,301
generic,301,C22,1.6,0.255,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,2,0.0459375,0.0459375,0.8082147216796877,8.27359159493152e-06,0.01455586310022729,9.995812395822115e-13,0.014555863101226871,True,True,True,0.09178532415408903,147.51295224297792,301,301
generic,301,C22,1.6,0.255,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,3,0.08039062500000001,0.16078125000000001,0.2606242370605468,5.220085100087609e-05,0.09216679640389577,4.449183394055559e-25,0.09216679640389577,False,True,False,0.16063604655496097,161.65009948506486,301,301
generic,301,C22,1.6,0.255,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.44005859375000006,0.00028169335937500004,0.0022489270525566357,5.326958358071405e-20,0.0022489270525566357,True,True,True,0.05996603005818167,40.828254045918584,301,301
generic,301,C22,1.6,0.255,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,1,0.0525,0.02625,0.7998193359375001,1e-06,0.0038157582272518365,2.6134333023096472e-08,0.0038157843615848597,True,True,True,0.10020060605107867,97.63042874401435,301,301
generic,301,C22,1.6,0.255,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,3,0.16078125,0.16078125,0.39091720581054673,0.020226856079101567,0.027077987008441197,5.588888010406378e-21,0.027077987008441197,True,True,True,0.29161260427533797,158.06581849593204,301,301
generic,301,C22,1.6,0.255,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.43480468750000006,0.0002686133897569444,4.795628314673135e-06,5.837123916296649e-20,4.795628314673193e-06,True,True,True,0.06519553054042779,40.50254896096885,301,301
generic,301,C22,1.6,0.255,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,3.4169168354552468e-06,0.0016770200639925751,1.1722421638358835e-13,0.0016770200641097993,True,True,True,0.11988285140587061,48.24774674605578,301,301
generic,301,C22,1.6,0.255,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,2,0.18375,0.091875,0.4253479003906249,0.011818356933593751,0.00689011523125219,8.589653993016363e-22,0.00689011523125219,True,True,True,0.3254960159840108,117.65008439298254,301,301
generic,301,C22,1.6,0.255,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.43483072916666676,0.00026772851562499995,1.6272929111686428e-05,5.86668817382412e-20,1.6272929111686485e-05,True,True,True,0.06519228961651767,40.824199559981935,301,301
generic,301,C22,1.6,0.255,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,9.124451494249645e-08,2.853696342074624e-20,9.124451494252498e-08,True,True,True,0.1385551991478458,28.16349409299437,301,301
generic,301,C22,1.6,0.255,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,1,0.17500000000000002,0.0525,0.4122314453124998,0.013250828124999997,0.013011920383793394,2.664445304086075e-21,0.013011920383793394,True,True,True,0.31250827144622245,76.55904707906302,301,301
generic,302,C30,1.65,0.06,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.8700292968749999,0.0041078124999999995,0.040873462841860234,2.8077108000889187e-19,0.040873462841860234,True,True,True,0.030237486781180257,37.19275688403286,302,302
generic,302,C30,1.65,0.06,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.129658203125,7.724240451388891e-05,0.008840072996965468,6.68015303150205e-26,0.008840072996965468,True,True,True,0.029720464487870298,33.01765464001801,302,302
generic,302,C30,1.65,0.06,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.47002929687500006,0.04791884765624998,0.006669033720086187,6.652410813738205e-21,0.006669033720086187,True,True,True,0.05483414644074234,28.538314773933962,302,302
generic,302,C30,1.65,0.06,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0009945019531249998,0.0139346898442785,5.654709657179533e-19,0.0139346898442785,True,True,True,0.05994983911195955,37.90451665199362,302,302
generic,302,C30,1.65,0.06,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.15990234374999998,5.8425944010416675e-05,0.008241984117934302,1.4164786414148488e-26,0.008241984117934302,True,True,True,0.059902358176830504,33.129275606013834,302,302
generic,302,C30,1.65,0.06,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.44005859375000006,0.045070703124999986,0.0053142550815100985,5.273296599864725e-21,0.0053142550815100985,True,True,True,0.07493554779131474,28.231482160976157,302,302
