method,n,spectral_error_mean,spectral_error_max,p_rel_l2_mean,p_rel_l2_max,u_rel_l2_mean,v_rel_l2_mean,overlap_error_mean,time_mean_s,time_max_s,total_serial_s,slowdown_vs_fixed_pinn
fixed_oracle,45,0.0,0.0,0.0002548232507836936,0.0007528153263909,0.00015632440300601235,0.00027969421867264676,4.335656360105528e-08,8.217016360044687,15.38223008508794,369.7657362020109,1.0067119762121408
fixed_pinn,45,0.005795539094050514,0.022607780316684,0.02357884812741629,0.0635316813551401,0.020814963613951246,0.025559571135775054,0.00028475638914220234,8.162231655336088,13.781025521457195,367.300424490124,1.0
pinn_local,45,4.663647566523024e-06,7.4119557322371475e-06,0.0002579942929514773,0.0007406288356248,0.00015972091565463704,0.0002831236340915981,4.3778010298349085e-08,50.41890211355769,75.53527741879225,2268.850595110096,6.177097666738748
wide,45,1.330927911811681e-05,2.4859733265880504e-05,0.000263436619843673,0.0007605261412132,0.00017454152897848732,0.0002881127382934046,4.471123607895243e-08,50.70800596187926,72.06336586456746,2281.8602682845667,6.212517373080035
