boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen
ROUTE_0000,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.02,0.02,0.8408,0.02,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.02,True,
ROUTE_0001,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0296,0.0296,0.8408,0.0296,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0296,True,
ROUTE_0002,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.0392,0.0392,0.8408,0.0392,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.0392,True,
ROUTE_0003,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.048799999999999996,0.048799999999999996,0.8408,0.048799999999999996,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.048799999999999996,True,
ROUTE_0004,Mach,ETAEDGE_HM1__ETAEDGE_HM2A,0,1,0.8392,0.8423999999999999,0.058399999999999994,0.058399999999999994,0.8408,0.058399999999999994,0,ETAEDGE_HM1,ETAEDGE_HM2A,0.8399999995052815,0.058399999999999994,True,
ROUTE_0005,Mach,ETAEDGE_HM1__ETAEDGE_MM,4,0,0.6791999999999999,0.6824,0.02,0.02,0.6808,0.02,0,ETAEDGE_MM,ETAEDGE_HM1,0.6799999995052813,0.02,True,
ROUTE_0006,Mach,ETAEDGE_HM1__ETAEDGE_MM,4,0,0.6791999999999999,0.6824,0.0296,0.0296,0.6808,0.0296,0,ETAEDGE_MM,ETAEDGE_HM1,0.6799999995052813,0.0296,True,
ROUTE_0007,Mach,ETAEDGE_HM1__ETAEDGE_MM,4,0,0.6791999999999999,0.6824,0.0392,0.0392,0.6808,0.0392,0,ETAEDGE_MM,ETAEDGE_HM1,0.6799999995052813,0.0392,True,
ROUTE_0008,Mach,ETAEDGE_HM1__ETAEDGE_MM,4,0,0.6791999999999999,0.6824,0.048799999999999996,0.048799999999999996,0.6808,0.048799999999999996,0,ETAEDGE_MM,ETAEDGE_HM1,0.6799999995052813,0.048799999999999996,True,
ROUTE_0009,Mach,ETAEDGE_HM1__ETAEDGE_MM,4,0,0.6791999999999999,0.6824,0.058399999999999994,0.058399999999999994,0.6808,0.058399999999999994,0,ETAEDGE_MM,ETAEDGE_HM1,0.6799999995052813,0.058399999999999994,True,
ROUTE_0010,eta,ETAEDGE_HM1__HM1_VLOW_EXTREME,0,13,0.7016,0.7016,0.058399999999999994,0.0616,0.7016,0.06,0,ETAEDGE_HM1,HM1_VLOW_EXTREME,0.7016,0.06000000049471855,True,
ROUTE_0011,eta,ETAEDGE_HM1__HM1_VLOW_EXTREME,0,13,0.7367999999999999,0.7367999999999999,0.058399999999999994,0.0616,0.7367999999999999,0.06,0,ETAEDGE_HM1,HM1_VLOW_EXTREME,0.7367999999999999,0.06000000049471855,True,
ROUTE_0012,eta,ETAEDGE_HM1__HM1_VLOW_EXTREME,0,13,0.7719999999999999,0.7719999999999999,0.058399999999999994,0.0616,0.7719999999999999,0.06,0,ETAEDGE_HM1,HM1_VLOW_EXTREME,0.7719999999999999,0.06000000049471855,True,
ROUTE_0013,eta,ETAEDGE_HM1__HM1_VLOW_EXTREME,0,13,0.8039999999999999,0.8039999999999999,0.058399999999999994,0.0616,0.8039999999999999,0.06,0,ETAEDGE_HM1,HM1_VLOW_EXTREME,0.8039999999999999,0.06000000049471855,True,
ROUTE_0014,eta,ETAEDGE_HM1__HM1_VLOW_EXTREME,0,13,0.8392,0.8392,0.058399999999999994,0.0616,0.8392,0.06,0,ETAEDGE_HM1,HM1_VLOW_EXTREME,0.8392,0.06000000049471855,True,
ROUTE_0015,eta,ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,0,47,0.6824,0.6824,0.058399999999999994,0.0616,0.6824,0.06,0,ETAEDGE_HM1,VLOW_EXTREME_CI_ONLY,0.6824,0.06000000049471855,True,
ROUTE_0016,eta,ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,0,47,0.6856,0.6856,0.058399999999999994,0.0616,0.6856,0.06,0,ETAEDGE_HM1,VLOW_EXTREME_CI_ONLY,0.6856,0.06000000049471855,True,
ROUTE_0017,eta,ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,0,47,0.6888,0.6888,0.058399999999999994,0.0616,0.6888,0.06,0,ETAEDGE_HM1,VLOW_EXTREME_CI_ONLY,0.6888,0.06000000049471855,True,
ROUTE_0018,eta,ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,0,47,0.6951999999999999,0.6951999999999999,0.058399999999999994,0.0616,0.6951999999999999,0.06,0,ETAEDGE_HM1,VLOW_EXTREME_CI_ONLY,0.6951999999999999,0.06000000049471855,True,
ROUTE_0019,eta,ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,0,47,0.6983999999999999,0.6983999999999999,0.058399999999999994,0.0616,0.6983999999999999,0.06,0,ETAEDGE_HM1,VLOW_EXTREME_CI_ONLY,0.6983999999999999,0.06000000049471855,True,
ROUTE_0020,Mach,ETAEDGE_HM2A__ETAEDGE_HM2B,1,2,0.9191999999999999,0.9223999999999999,0.02,0.02,0.9207999999999998,0.02,0,ETAEDGE_HM2A,ETAEDGE_HM2B,0.9199999995052813,0.02,True,
ROUTE_0021,Mach,ETAEDGE_HM2A__ETAEDGE_HM2B,1,2,0.9191999999999999,0.9223999999999999,0.0296,0.0296,0.9207999999999998,0.0296,0,ETAEDGE_HM2A,ETAEDGE_HM2B,0.9199999995052813,0.0296,True,
ROUTE_0022,Mach,ETAEDGE_HM2A__ETAEDGE_HM2B,1,2,0.9191999999999999,0.9223999999999999,0.0392,0.0392,0.9207999999999998,0.0392,0,ETAEDGE_HM2A,ETAEDGE_HM2B,0.9199999995052813,0.0392,True,
ROUTE_0023,Mach,ETAEDGE_HM2A__ETAEDGE_HM2B,1,2,0.9191999999999999,0.9223999999999999,0.048799999999999996,0.048799999999999996,0.9207999999999998,0.048799999999999996,0,ETAEDGE_HM2A,ETAEDGE_HM2B,0.9199999995052813,0.048799999999999996,True,
