status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,retry_required
COMPLETED,,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.0572428479790687,0.1923135668039322,0.0577364697110748,0.0172428479790687,0.0972428479790687,0.1623135668039322,0.2223135668039322,False,Maximum number of function evaluations has been exceeded.,0.0172428503753342,0.196915020231341,0.0174903916129028,0.0402637949272467,0.0015159946667097,0.0004556082928789,3.327407973920436,0.1585399946197867,12.288913109339774,80,81,1,0.0230300478352673,0.0358208655050938,0.0309074365977374,3.829279193278159e-06,2.0835107570627105e-06,3.915112647679374e-06,True
COMPLETED,,1.15,0.065,-2.7143269989556902e-09,0.1599190568707925,0.0624580308794975,0.1819525361061096,0.0662305078315156,0.0224580308794975,0.1024580308794975,0.1519525361061096,0.2119525361061096,False,Maximum number of function evaluations has been exceeded.,0.0224580665271011,0.1519525867579094,0.0238291737186214,0.0499999410908408,0.001371782416157,0.0001964536438097,6.982728289252408,0.1569550428539514,12.607113870792093,80,81,1,0.037538393562931,0.0526245425368842,0.0514837121411027,4.082496048131603e-06,2.344977019748745e-06,4.170863019362965e-06,True
COMPLETED,,1.15,0.07,0.0452428893063274,0.1450959349017018,0.0686500295996666,0.1715398728847503,0.0353153801163654,0.0286500295996665,0.1086500295996666,0.1415398728847503,0.2015398728847503,False,Maximum number of function evaluations has been exceeded.,0.0452183808139911,0.146777767688732,0.0016820113524368,0.0340911134836327,0.0011915852606648,4.7198863516644384e-05,25.246058313345262,0.1584579199552536,12.754813422448931,80,81,2,0.0028694540603811,0.0034554120079434,0.0039172921155111,5.056627043726628e-06,2.8315843434799303e-06,5.306517279110135e-06,True
COMPLETED,,1.15,0.075,0.0646325378753453,0.1421829713450822,0.0757709294557571,0.1612950265407562,0.0221209046108218,0.0357709294557571,0.1157709294557571,0.1312950265407562,0.1912950265407562,False,Maximum number of function evaluations has been exceeded.,0.0642097450946528,0.142471545901637,0.000511887692855,0.0220903691051719,0.0009692692133647,2.12388505515042e-05,45.63661347935483,0.1603042781352996,12.878869705833496,80,81,2,0.0009271046614209,0.0010270712395516,0.0012459109301101,6.0372297837677e-06,3.337685215229533e-06,6.434366627169786e-06,True
COMPLETED,,1.15,0.08,0.0790689509372673,0.1392808657517153,0.083700880408287,0.1514257192611694,0.0129981628467487,0.043700880408287,0.123700880408287,0.1214257192611694,0.1814257192611694,False,Maximum number of function evaluations has been exceeded.,0.0790689358040295,0.1392808532062137,1.9657174126250742e-08,0.0129981799614301,0.0006985623065689,9.839942593852323e-10,709925.1849349281,0.1629652623087167,13.000885442830622,80,81,2,7.117649754910545e-06,3.918095924499867e-06,7.685645880260096e-06,7.115149277206532e-06,3.919450668066671e-06,7.671693874380105e-06,False
COMPLETED,,1.15,0.085,0.090953586929427,0.1363892725254269,0.0922593623399734,0.1421127915382385,0.0058705808326607,0.0522593623399733,0.1322593623399734,0.1121127915382385,0.1721127915382385,False,Maximum number of function evaluations has been exceeded.,0.0909535965820911,0.1363892768829151,1.0590638715215653e-08,0.0058705744373237,0.0003752453447563,1.0962767536025563e-09,342290.7067245641,0.1638936325907707,13.095730684697628,80,81,2,8.259932952489716e-06,4.566170072620366e-06,8.979864034700206e-06,8.263544977076818e-06,4.565655067816838e-06,8.98900693304397e-06,False
COMPLETED,,1.15,0.09,0.1011993184208567,0.1335078749432744,0.1012233644723892,0.1334997713565826,2.5374804660824078e-05,0.0612233644723891,0.1412233644723892,0.1034997713565826,0.1634997713565826,False,Maximum number of function evaluations has been exceeded.,0.1011993116732424,0.1335078696335264,8.586251859417714e-09,2.5379504255409904e-05,1.88848973242806e-06,5.28969259326353e-10,3570.131343422618,0.165097214281559,13.195330751128497,80,81,2,9.426404989589488e-06,5.247991758014201e-06,1.032626651362842e-05,9.425106533494873e-06,5.248975473414714e-06,1.0320504382866004e-05,False
COMPLETED,,1.15,0.095,0.1102724452969259,0.1306363663726639,0.1103503853082656,0.1256872862577438,0.0049496937914647,0.0703503853082656,0.1503503853082656,0.0956872862577438,0.1556872862577438,False,Maximum number of function evaluations has been exceeded.,0.1102724471226752,0.1306350448796911,1.321494233981802e-06,0.0049483724336217,0.0004217477420004,1.1200988298292189e-07,3765.272588176695,0.168738136999309,13.32244308385998,80,81,1,1.013143922186622e-05,6.16017821774272e-06,1.1755272487431868e-05,1.069737744975846e-05,6.014159924648793e-06,1.1775827345214836e-05,False
COMPLETED,,1.15,0.1,0.118450325820652,0.1277744569464649,0.1194030493497848,0.118732251226902,0.0090922585971726,0.0794030493497847,0.1594030493497848,0.088732251226902,0.1487322512269019,False,Maximum number of function evaluations has been exceeded.,0.1184503119508752,0.1277577363004959,1.672065172143214e-05,0.009075631623471,0.0008747410014544,1.5892396107898164e-06,550.4147993264307,0.1704053552821278,13.37714253552258,80,81,1,3.523356311319122e-05,3.459402859846558e-05,4.7485340722850375e-05,1.2133472397579012e-05,6.890725459974916e-06,1.341336041619228e-05,False
COMPLETED,,1.15,0.105,0.1259143515352406,0.124921872190643,0.1281701028347015,0.1126514375209808,0.0124760563042761,0.0881701028347015,0.1681701028347015,0.0826514375209808,0.1426514375209808,False,Maximum number of function evaluations has been exceeded.,0.1259143541077472,0.1249218816874362,9.839048331429497e-09,0.0124760651794248,0.0013389024488307,1.0283308076238035e-09,1302015.3037372755,0.1726172156631946,13.49504998512566,80,81,2,1.3665182254510453e-05,7.848930032449924e-06,1.515114612109277e-05,1.3659103722762214e-05,7.8448481060841e-06,1.5147699353582812e-05,False
