chart_id,field_family,mach_min,mach_max,eta_min,eta_max,ymax,central_ymax,sym_ymax,n_interior,n_constraints,n_parity,best_epoch,best_loss
ETAEDGE_HM1,pQscaled,0.68,0.86,0.02,0.06,700.0,175.0,25.0,4096,1024,1024,41361,0.00013662508861066793
ETAEDGE_HM2A,pQscaled,0.84,0.93,0.02,0.06,900.0,225.0,25.0,4096,1024,1024,41361,8.23743587606078e-05
ETAEDGE_HM2B,pQscaled,0.92,0.98,0.02,0.06,1600.0,400.0,25.0,4096,1024,1024,44207,4.035787367515342e-05
ETAEDGE_LM,pQscaled,0.05,0.35,0.02,0.06,350.0,90.0,25.0,4096,1024,1024,41361,0.00038687322889335455
ETAEDGE_MM,pQscaled,0.3,0.7,0.02,0.06,450.0,110.0,25.0,4096,1024,1024,41361,0.000291850840338432
HIGH_HIM,pq_legacy,0.35,0.7,0.5,0.65,80.0,20.0,20.0,4096,1024,1024,17920,3.305993585216684e-05
HIGH_LOWM_COMPACTY,pq_legacy,0.1,0.4,0.55,0.65,30.0,8.0,8.0,4096,1024,1024,21155,4.5675590563141425e-05
HM1_HIGH,pq_etaaware,0.7,0.85,0.55,0.65,60.0,16.0,25.0,4096,1024,1024,24811,6.0141540310103446e-06
HM1_LOW,pq_etaaware,0.7,0.85,0.25,0.4,80.0,20.0,25.0,4096,1024,1024,24987,8.523340430441977e-06
HM1_MID,pq_etaaware,0.7,0.85,0.35,0.55,80.0,20.0,25.0,4096,1024,1024,24811,7.673105862791302e-06
HM1_NEUTRAL1,pq_etaaware,0.7,0.85,0.65,0.8,60.0,16.0,25.0,4096,1024,1024,24811,8.803775961289852e-06
HM1_NEUTRAL2,pq_etaaware,0.7,0.85,0.8,0.92,55.0,14.0,25.0,4096,1024,1024,24523,7.319896580997587e-06
HM1_NEUTRAL3,pq_etaaware,0.7,0.85,0.92,0.98,50.0,14.0,25.0,4096,1024,1024,23892,4.92932251426372e-06
HM1_VLOW_EXTREME,pQscaled,0.7,0.85,0.05,0.12,220.0,55.0,25.0,4096,1024,1024,25249,0.0006908858287761896
HM1_VLOW_MOD,pQscaled,0.7,0.85,0.12,0.25,120.0,30.0,25.0,4096,1024,1024,29846,6.559315965621135e-05
HM2_HIGH,pq_etaaware,0.85,0.98,0.55,0.65,80.0,22.0,25.0,4096,1024,1024,24692,5.602098722083023e-06
HM2_LOW,pq_etaaware,0.85,0.98,0.25,0.4,120.0,30.0,25.0,4096,1024,1024,24811,1.746420132875288e-05
HM2_MID,pq_etaaware,0.85,0.98,0.35,0.55,120.0,30.0,25.0,4096,1024,1024,23590,6.637968441057231e-06
HM2_NEUTRAL1,pq_etaaware,0.85,0.98,0.65,0.8,80.0,22.0,25.0,4096,1024,1024,24142,8.318222236751102e-06
HM2_NEUTRAL2,pq_etaaware,0.85,0.98,0.8,0.92,70.0,18.0,25.0,4096,1024,1024,24811,1.0742922044708742e-05
HM2_NEUTRAL3,pq_etaaware,0.85,0.98,0.92,0.98,60.0,16.0,25.0,4096,1024,1024,24680,8.390991924893209e-06
HM2_VLOW_EXTREME,pQscaled,0.85,0.98,0.05,0.12,260.0,65.0,25.0,4096,1024,1024,29076,0.00041061147301604795
HM2_VLOW_MOD,pQscaled,0.85,0.98,0.12,0.25,160.0,40.0,25.0,4096,1024,1024,28712,0.0007367241432722982
LMEDGE_HIGH,pq_etaaware,0.02,0.06,0.55,0.65,40.0,10.0,25.0,4096,1024,1024,39792,6.62695049690702e-07
LMEDGE_LOW,pq_etaaware,0.02,0.06,0.12,0.4,100.0,25.0,25.0,4096,1024,1024,39792,3.4099246298909617e-07
LMEDGE_MID,pq_etaaware,0.02,0.06,0.35,0.55,80.0,20.0,25.0,4096,1024,1024,39823,6.551590800935528e-07
LMEDGE_NEUTRAL1,pq_etaaware,0.02,0.06,0.65,0.8,35.0,9.0,25.0,4096,1024,1024,37463,3.96329869211248e-07
LMEDGE_NEUTRAL2,pq_etaaware,0.02,0.06,0.8,0.92,28.0,7.0,25.0,4096,1024,1024,39443,6.79020863969159e-07
LMEDGE_NEUTRAL3,pq_etaaware,0.02,0.06,0.92,0.98,20.0,5.0,25.0,4096,1024,1024,38832,1.6521132639428444e-06
LMEDGE_VLOW,pQscaled,0.02,0.06,0.05,0.13,320.0,80.0,25.0,4096,1024,1024,43102,3.1212912789247973e-06
LOW,pq_legacy,0.1,0.7,0.25,0.4,80.0,20.0,20.0,4096,1024,1024,14681,6.61378406386341e-05
LOWM_EXT_HIGH,pq_etaaware,0.05,0.1,0.55,0.65,30.0,8.0,25.0,4096,1024,1024,24897,3.064031572763509e-06
LOWM_EXT_LOW,pq_etaaware,0.05,0.1,0.25,0.4,80.0,20.0,25.0,4096,1024,1024,24756,4.328577784846074e-06
LOWM_EXT_MID,pq_etaaware,0.05,0.1,0.35,0.55,80.0,20.0,25.0,4096,1024,1024,24712,2.9539955603780405e-06
LOWM_EXT_NEUTRAL1,pq_etaaware,0.05,0.1,0.65,0.8,30.0,8.0,25.0,4096,1024,1024,24824,1.1964088315654121e-06
LOWM_EXT_NEUTRAL2,pq_etaaware,0.05,0.1,0.8,0.92,24.0,6.0,25.0,4096,1024,1024,24789,1.6175451853857162e-06
LOWM_EXT_NEUTRAL3,pq_etaaware,0.05,0.1,0.92,0.98,18.0,5.0,25.0,4096,1024,1024,21280,2.566191231176681e-06
LOWM_EXT_VLOW_EXTREME,pQscaled,0.05,0.1,0.05,0.12,220.0,55.0,25.0,4096,1024,1024,29317,8.299956706376096e-06
LOWM_EXT_VLOW_MOD,pQscaled,0.05,0.1,0.12,0.25,120.0,30.0,25.0,4096,1024,1024,29063,6.418373402361088e-06
MID,pq_legacy,0.1,0.7,0.35,0.55,80.0,20.0,20.0,4096,1024,1024,17920,4.667237808955564e-05
NEUTRAL1_HIM,pq_legacy,0.35,0.7,0.65,0.8,45.0,12.0,12.0,4096,1024,1024,23793,8.066581787303287e-06
NEUTRAL1_LOWM,pq_legacy,0.1,0.4,0.65,0.8,30.0,8.0,8.0,4096,1024,1024,23689,6.267219685493148e-06
NEUTRAL2_HIM,pq_legacy,0.35,0.7,0.8,0.92,36.0,10.0,10.0,4096,1024,1024,25774,1.1149440755355246e-05
NEUTRAL2_LOWM,pq_legacy,0.1,0.4,0.8,0.92,24.0,6.0,6.0,4096,1024,1024,25667,1.2024446331633687e-05
NEUTRAL3_HIM,pq_legacy,0.35,0.7,0.92,0.98,28.0,8.0,8.0,4096,1024,1024,29017,1.810478172462392e-05
NEUTRAL3_LOWM,pq_legacy,0.1,0.4,0.92,0.98,18.0,5.0,5.0,4096,1024,1024,29453,1.8031802544641925e-05
ULTRALOW_M002_006_eta002_006,pQscaled,0.02,0.06,0.02,0.06,300.0,75.0,25.0,4096,1024,1024,41361,0.00046567090398866713
VLOW_EXTREME_CI_ONLY,pQscaled,0.1,0.7,0.05,0.12,220.0,55.0,55.0,4096,1024,1024,21422,0.0008799721029786935
VLOW_MOD_QSCALED,pQscaled,0.1,0.7,0.12,0.25,120.0,30.0,30.0,4096,1024,1024,17957,0.0003102648135150834
