stage,dataset,chart,source,metric,n,median,p90,p95,max
joint,T401,C00,independent_xi_pointwise,r_kappa_abs,7168,0.005530591122806072,0.01611726097762585,0.021434075199067572,0.061195842921733856
joint,T401,C00,independent_xi_pointwise,r_q_abs,7168,0.005495932651683688,0.015833677351474763,0.02029490415006875,0.06615254282951355
joint,T401,C00,independent_xi_pointwise,r_logamp_abs,7168,0.0038018367486074567,0.010942803882062436,0.013945284672081467,0.045307476073503494
joint,T401,C01,independent_xi_pointwise,r_kappa_abs,10496,0.006626754067838192,0.018791696056723595,0.02411455474793911,0.06672294437885284
joint,T401,C01,independent_xi_pointwise,r_q_abs,10496,0.0072961412370204926,0.019319205544888973,0.024564084131270647,0.0754408910870552
joint,T401,C01,independent_xi_pointwise,r_logamp_abs,10496,0.0048925913870334625,0.018107660114765167,0.023282373789697886,0.07697887718677521
joint,T401,C02,independent_xi_pointwise,r_kappa_abs,15872,0.00818158034235239,0.02409599907696246,0.030152243841439476,0.17722539603710175
joint,T401,C02,independent_xi_pointwise,r_q_abs,15872,0.00649178447201848,0.01880058031529188,0.02359951613470911,0.06592535227537155
joint,T401,C02,independent_xi_pointwise,r_logamp_abs,15872,0.004204900236800313,0.012800474930554626,0.01650088131427764,0.18220585584640503
joint,T401,C10,independent_xi_pointwise,r_kappa_abs,6400,0.0050826354417949915,0.014543289691209795,0.01888200761750339,0.051165226846933365
joint,T401,C10,independent_xi_pointwise,r_q_abs,6400,0.005878153955563903,0.016595100238919257,0.02042598733678457,0.05246603861451149
joint,T401,C10,independent_xi_pointwise,r_logamp_abs,6400,0.0036264655645936728,0.011394080054014924,0.014601679053157565,0.03461793437600136
joint,T401,C11,independent_xi_pointwise,r_kappa_abs,8448,0.005766315385699272,0.016282895766198634,0.020560900587588547,0.058513376861810684
joint,T401,C11,independent_xi_pointwise,r_q_abs,8448,0.006274944171309471,0.016676425375044344,0.02146540386602282,0.06142592430114746
joint,T401,C11,independent_xi_pointwise,r_logamp_abs,8448,0.003618217073380947,0.010289878491312266,0.01341532510705292,0.08196758478879929
joint,T401,C12,independent_xi_pointwise,r_kappa_abs,8704,0.007351515349000692,0.019414906203746796,0.02457519117742777,0.052395448088645935
joint,T401,C12,independent_xi_pointwise,r_q_abs,8704,0.006463420577347279,0.0167158680036664,0.020594934001564983,0.043321240693330765
joint,T401,C12,independent_xi_pointwise,r_logamp_abs,8704,0.0042136977426707745,0.012968527711927889,0.016534992493689078,0.1241283193230629
joint,T401,C20,independent_xi_pointwise,r_kappa_abs,6400,0.005055645015090704,0.015329032484441998,0.019233105517923826,0.053292952477931976
joint,T401,C20,independent_xi_pointwise,r_q_abs,6400,0.004780653398483992,0.013815702218562365,0.017186399176716795,0.0589311383664608
joint,T401,C20,independent_xi_pointwise,r_logamp_abs,6400,0.0029255226254463196,0.008083148673176768,0.009997264714911563,0.025833357125520706
