method,field,rel_l2_core40,overlap_core40
Direct PINN,p,0.5477616586861793,0.83663442749708
Direct PINN,rho,0.547761658686179,0.8366344274970781
Direct PINN,u,0.781290604137795,0.6785620811181322
Direct PINN,v,0.464791817644758,0.9411225146718926
PINN-seeded shooting,p,9.738548045666068e-06,0.9999999999525808
PINN-seeded shooting,rho,9.738548045667435e-06,0.9999999999525797
PINN-seeded shooting,u,3.7159908171749115e-05,0.9999999993971218
PINN-seeded shooting,v,1.0708131958690309e-05,0.9999999999478467
