alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.07,5.0,3289,0.00017492465693976357,0.0010792882309075536,0.00012691621825436375,6.779837369848319e-05,5.3608256807557335e-05,2.8072538106563944e-05,9.881832514304653e-06,0.0005061389757014859,0.0,0.005598010223616871,0.00554726010075903
0.07,10.0,3807,0.00019822189648122205,0.0010636481376128735,0.00020513430211193052,6.779837369848319e-05,6.039086913330608e-05,2.8886128497728324e-05,1.4515623035207102e-05,0.0006203033159817691,0.0,0.005086098913387219,0.005016283213539776
0.07,20.0,4101,0.0002625088607428127,0.0010716900275321338,0.0004575869322574749,0.00010751752719483589,7.945785694040852e-05,2.9556539626891545e-05,2.706909329174439e-05,0.0006995833934087277,0.0,0.0048899009989364,0.004812348929150203
0.07,50.0,4289,0.00043969540456920023,0.001281243593189266,0.0013555737210602015,0.00022064492886225129,0.0001320314548037513,3.5517557114057014e-05,7.816657950306414e-05,0.001056537143202724,0.0,0.004957971464466388,0.004909470273502008
0.07,100.0,4354,0.0005637779017011179,0.0015094337955238021,0.002782449089402462,0.0006293440318989198,0.00016850637795223487,4.180482682323442e-05,0.00012925023943884622,0.0014858803191906938,0.0,0.005095690946979641,0.004979996923350769
0.07,500.0,4407,0.0011698753781215047,0.0032454151834618687,0.0071796129762033275,0.0025014004404498185,0.0003478502447234683,8.947038602026519e-05,0.0005574910781634489,0.0068888102280356515,0.0,0.005954314404244911,0.0050686741577656265
0.07,2000.0,4418,0.0022909227528771017,0.003346547677312176,0.026431230356364105,0.0025014004404498185,0.000680335843290953,9.214350957865706e-05,0.0021378767319132305,0.007324833534320054,0.0,0.006001160344102573,0.005069988681728711
0.0725,5.0,3289,0.00010297951151624,0.0005218970774622503,5.673842888650561e-05,4.226008902260467e-05,3.1548451523351874e-05,1.4075073639627763e-05,3.422395638183594e-06,0.0001272353454361691,0.0,0.004330466962235906,0.004238614364008122
0.0725,10.0,3807,0.00011573593235773639,0.00056920819784513,0.00011299723530287781,5.193162486259573e-05,3.523700212469505e-05,1.6024797081758566e-05,4.941866698760564e-06,0.00019090201076473167,0.0,0.003970541837701637,0.0038633560770771564
0.0725,20.0,4101,0.00013182178738767777,0.0006069288044922871,0.00013838677263436407,8.393873569400129e-05,3.986149669677251e-05,1.7348799303754424e-05,6.812510998862199e-06,0.00024103003486663133,0.0,0.003799489153969904,0.0036854938392933377
0.0725,50.0,4289,0.0002404636330531044,0.0007139690188067674,0.0011558276916947838,0.00015061153784864308,7.211306151887798e-05,2.0508718824948737e-05,2.331815356800994e-05,0.0003522699975844713,0.0,0.003895733081831512,0.0038012936283897884
0.0725,100.0,4354,0.00044470784353693016,0.0010595423783380687,0.0023428167163860735,0.0007160596979814429,0.00013273148718026472,3.040309627800307e-05,8.019487044740475e-05,0.0007858987582812075,0.0,0.003998665943636136,0.0038808128487631127
0.0725,500.0,4407,0.0010541943854954882,0.0032095540573574915,0.008853821833513208,0.0030812281700225304,0.00031299982444207933,9.166473135501134e-05,0.00045137913814212536,0.007230863092185248,0.0,0.005064778638496553,0.003927739931583046
0.0725,2000.0,4418,0.0029914940888885596,0.0033114079457424307,0.04723438240425775,0.0030812281700225304,0.0008870977848939765,9.445586957411999e-05,0.0036347868290884182,0.00769708284449162,0.0,0.005120826116942091,0.003932865446156222
0.075,5.0,3289,0.0001067737893163838,0.000498854861026484,7.89511372835666e-05,4.221385308515636e-05,3.2699310355818146e-05,1.3933312757427758e-05,3.6766416659663358e-06,0.00012468528238738586,0.0,0.003800448837962319,0.0037428365196615094
