step,lambda_qdef,lambda_ode,eval_objective,eval_modal_mse,eval_qdef_mse,eval_ode_mse,eval_qdef_rms,eval_ode_rms,eval_min_abs_U_minus_c,eval_min_ci,train_modal_mse,train_qdef_mse,train_ode_mse,train_total,train_min_abs_U_minus_c
0,0.0,0.0,7.579034753143788e-05,7.471320714103058e-05,1.9136699847877026e-05,0.00012030539801344275,0.004374551586806774,0.01096838153898716,0.011064844205975533,0.010448742657899857,,,,,
1,0.0005,2e-06,8.581719342328141e-05,8.465421706205234e-05,2.0549647160805762e-05,0.00013549400318879634,0.004533171653747559,0.011640189215540886,0.011064844205975533,0.010448742657899857,3.081877366639674e-05,1.9865308786393143e-05,0.00014522654237225652,3.0828996386844665e-05,0.01149191427975893
100,0.05,0.0002,7.602714274253231e-05,7.501092477468774e-05,1.8723643734119833e-05,8.003578113857657e-05,0.0043270825408399105,0.008946271613240242,0.011064844205975533,0.010448742657899857,0.00018450070638209581,1.8885117242462002e-05,6.738317460985854e-05,0.00018545844068285078,0.012418542988598347
200,0.05,0.0004,7.611486799214617e-05,7.51466941437684e-05,1.8206535969511606e-05,5.784704990219325e-05,0.004266911651939154,0.007605724968016148,0.011064844205975533,0.010448742657899857,0.00011409470607759431,1.921914008562453e-05,6.945911445654929e-05,0.00011508345050970092,0.013697904534637928
300,0.05,0.0006,7.604841082866188e-05,7.50967301428318e-05,1.7883037799037993e-05,5.752879587817006e-05,0.0042288340628147125,0.007584773935377598,0.011064844205975533,0.010448742657899857,6.0315505834296346e-05,1.8026912584900856e-05,6.456428673118353e-05,6.12555886618793e-05,0.016266852617263794
400,0.05,0.0008,7.620253105051233e-05,7.527760317316279e-05,1.7359456251142547e-05,5.695506479241885e-05,0.004166468046605587,0.0075468579307198524,0.011064844205975533,0.010448742657899857,7.342356548178941e-05,1.6642479749862105e-05,4.439736221684143e-05,7.429120887536556e-05,0.018932385370135307
500,0.05,0.001,7.621092582485289e-05,7.530227594543248e-05,1.7159209164674394e-05,5.068942118668929e-05,0.004142367746680975,0.007119650486856699,0.011064844205975533,0.010448742657899857,0.00011629508662736043,1.694984530331567e-05,7.381419709417969e-05,0.00011721639020834118,0.011343717575073242
600,0.05,0.001,7.662674634048016e-05,7.574352639494464e-05,1.6587011486990377e-05,5.386937118601054e-05,0.004072715528309345,0.007339575793594122,0.011064844205975533,0.010448742657899857,2.29602592298761e-05,1.673059887252748e-05,6.790780025767162e-05,2.3864697141107172e-05,0.01345038041472435
700,0.05,0.001,7.608056707613287e-05,7.521273073507473e-05,1.6348874851246364e-05,5.0392598495818675e-05,0.004043374210596085,0.007098774425685406,0.011064844205975533,0.010448742657899857,7.312148954952136e-05,1.639424590393901e-05,6.370173650793731e-05,7.400489994324744e-05,0.012023755349218845
800,0.05,0.001,7.640316177275962e-05,7.555480988230556e-05,1.6071291611297056e-05,4.4787309889215976e-05,0.00400890177115798,0.006692332215607166,0.011064844205975533,0.010448742657899857,6.609106640098616e-05,1.6241494449786842e-05,5.0905942771350965e-05,6.695404590573162e-05,0.014722958207130432
900,0.05,0.001,7.640853238262935e-05,7.557757635368034e-05,1.572562541696243e-05,4.467475810088217e-05,0.0039655547589063644,0.0066839177161455154,0.011064844205975533,0.010448742657899857,8.816293848212808e-05,1.598968628968578e-05,5.702832277165726e-05,8.901944966055453e-05,0.0119351577013731
1000,0.05,0.001,7.601908218566678e-05,7.519149949075654e-05,1.5493467799387872e-05,5.290930494084023e-05,0.00393617432564497,0.007273878436535597,0.011064844205975533,0.010448742657899857,7.908401312306523e-05,1.5745757991680875e-05,4.82606228615623e-05,7.991956226760522e-05,0.01692471280694008
1100,0.05,0.001,7.590885389436153e-05,7.509922579629347e-05,1.517744931334164e-05,5.0755632400978357e-05,0.0038958245422691107,0.007124298717826605,0.011064844205975533,0.010448742657899857,4.452886787476018e-05,1.596262154635042e-05,4.96516477141995e-05,4.537665154202841e-05,0.012608954682946205
1200,0.05,0.001,7.610296006532735e-05,7.53006970626302e-05,1.5063187674968503e-05,4.9103618948720396e-05,0.0038811322301626205,0.007007397245615721,0.011064844205975533,0.010448742657899857,5.9433557908050716e-05,1.500546932220459e-05,6.585806841030717e-05,6.024969115969725e-05,0.01252942718565464
1300,0.05,0.001,7.635459094126418e-05,7.557143544545397e-05,1.475014414609177e-05,4.564828850561753e-05,0.003840591525658965,0.006756351795047522,0.011064844205975533,0.010448742657899857,7.376391295110807e-05,1.5168729078141041e-05,6.002568989060819e-05,7.458237814716995e-05,0.012234071269631386
