variant,field,relative_l2_core_amp_ge_5pct,complex_correlation_core,one_minus_complex_correlation_core,alignment_absolute
solved_spectral_root,rho,7.881787728588733e-05,0.9999999999305063,6.94937440925969e-11,1.0000858376423665
solved_spectral_root,u,0.0015190398347099273,0.999998849216093,1.1507839069446746e-06,1.0000858376423665
solved_spectral_root,v,9.627857132586294e-05,0.9999999978951523,2.1048477405472e-09,1.0000858376423665
solved_spectral_root,p,7.881787728596253e-05,0.9999999999305077,6.949230080266489e-11,1.0000858376423665
frozen_spectral_values,rho,8.901568277028416e-05,0.9999999999685041,3.1495916985591066e-11,1.0000934787644324
frozen_spectral_values,u,0.0015197498169878994,0.9999988489166037,1.1510833962669054e-06,1.0000934787644324
frozen_spectral_values,v,9.502869071335686e-05,0.9999999981214638,1.8785362154716267e-09,1.0000934787644324
frozen_spectral_values,p,8.901568277036038e-05,0.9999999999685061,3.149391858414674e-11,1.0000934787644324
