family,current_source,scientific_role,status,dependency_summary,portability,notes
classical_asset_generation,code/src/launch/slurm/build_* and jz_submit_subsonic.slurm,Build subsonic classical assets and reference diagnostics,requires_external_inputs,HPC modules and existing classical campaign inputs,hpc_specific,Research launchers retained in their original location.
hybrid_ci_staged,code/src/launch/slurm/*ci_stage0* *hybrid_stage1* and *hybrid_ci*_reference*,Sparse spectral c_i supervision and staged PINN training,requires_external_inputs,Jean-Zay environment plus Stage 0 outputs and classical reference inputs,hpc_specific,Current experiment family but not a portable fresh-clone interface.
pure_physics_riccati,code/src/launch/slurm/*riccati*pure* and *riccati*spectral*,Physics-constrained fixed-Mach PINN experiments,requires_external_inputs,HPC modules and campaign-specific outputs,hpc_specific,No modal-supervision claim is made by this facade.
single_case,code/src/launch/slurm/*singlecase* and *single_case*,Local fixed-alpha or fixed-Mach PINN diagnostics,mixed,Some jobs are standalone studies while others depend on prior outputs,hpc_specific,Retained as research campaign history.
parametric_2d,code/src/launch/slurm/*2d* and *multibranch*,Parametric alpha-Mach PINN studies,requires_external_inputs,GPU HPC environment and campaign-specific data,hpc_specific,Not promoted as a public portable launcher.
modal_diagnostics,code/src/launch/slurm/*mode* and *modal*,Mode reconstruction and error diagnostics,requires_external_inputs,Reference modes and prior PINN outputs,hpc_specific,Post-processing and diagnostic campaign collection.
legacy_exploratory,code/src/launch/slurm/*anchor_max* *ampphase* *highalpha* *first_order* *edge_repair* and M00/M03/M07 variants,historical,Historical ablations and exploratory campaign state,historical_only,Not a supported reproducibility interface.
