point_id,Mach,eta,alpha,chart_id,ci_ref,ci_seed,ci_joint_reloaded,ci_anchor_prefit,ci_anchor_matched,e_joint,e_anchor,delta_e,physics_better,e_prefit,delta_e_prefit,e_joint_rel_reg,e_anchor_rel_reg,delta_e_rel_reg,joint_vs_release_abs
OFFGRID_0169,0.9630271489658884,0.0272256214774841,0.007334701188743,ETAEDGE_HM2B,0.4990107903268588,0.4968944747489463,0.4990637689545456,0.4990852943493776,0.4990693241076763,5.297862768677275e-05,5.85337808174935e-05,-5.555153130720747e-06,True,7.45040225187954e-05,-2.152539483202265e-05,0.00010616729881145663,0.00011729962949128431,-1.1132330679827678e-05,0.002169294205599248
OFFGRID_0257,0.946856459669671,0.0339197108251344,0.0109104923430592,ETAEDGE_HM2B,0.5042978710817385,0.5037067057659538,0.5042958365796613,0.504283745700554,0.504295673312919,2.0345020772527533e-06,2.1977688194896317e-06,-1.6326674223687831e-07,True,1.4125381184504349e-05,-1.2090879107251595e-05,4.034326127311756e-06,4.358076735036244e-06,-3.237506077244887e-07,0.0005891308137074835
OFFGRID_0263,0.9276322098223864,0.0559199549855223,0.0208858212123747,ETAEDGE_HM2B,0.5015576300239567,0.5016508930403583,0.5016683892003347,0.5016683563419992,0.5016756684303697,0.00011075917637803911,0.00011803840641300134,-7.279230034962225e-06,True,0.00011072631804254218,3.285833549693251e-08,0.00022083040860678113,0.00023534365613651074,-1.4513247529729611e-05,1.749615997648224e-05
OFFGRID_0264,0.9721783651489946,0.0427145886322517,0.0100055426261201,ETAEDGE_HM2B,0.4879185802923121,0.4888751531366853,0.48791643449415606,0.48791509117820636,0.48791305051020395,2.145798156050205e-06,5.529782108160131e-06,-3.3839839521099258e-06,True,3.489114105748037e-06,-1.343315949697832e-06,4.3978611242159645e-06,1.1333411621355426e-05,-6.935550497139461e-06,0.0009587186425292216
OFFGRID_0265,0.9458497898930072,0.0318172045381021,0.0103280123547627,ETAEDGE_HM2B,0.5060001453554125,0.50470421677506,0.5059943008117611,0.5059918053578621,0.5059955348634527,5.844543651378764e-06,4.610491959766705e-06,1.2340516916120592e-06,False,8.33999755034398e-06,-2.4954538989652164e-06,1.1550478206431305e-05,9.111641571818747e-06,2.4388366346125572e-06,0.0012900840367010558
OFFGRID_0266,0.9379660329196562,0.0519883012339309,0.0180257558606843,ETAEDGE_HM2B,0.4988510110128619,0.5012220795319144,0.49883009372828224,0.49885406164787943,0.4988363471496387,2.091728457964681e-05,1.466386322318547e-05,6.253421356461342e-06,False,3.050635017542991e-06,1.786664956210382e-05,4.1930925502539474e-05,2.9395276143496462e-05,1.2535649359043012e-05,0.0023919858036322017
OFFGRID_0268,0.9637999229887698,0.0237800203846878,0.0063403844053236,ETAEDGE_HM2B,0.5001590802662238,0.5005724730356386,0.5002406301772829,0.5002621427857539,0.5002456734693578,8.154991105913112e-05,8.659320313397778e-05,-5.043292074846661e-06,True,0.00010306251953007273,-2.1512608470941608e-05,0.00016304794669672672,0.00017313132271413748,-1.0083376017410762e-05,0.00033184285835563543
OFFGRID_0270,0.9546712372830524,0.0447133926883692,0.0133094900964237,ETAEDGE_HM2B,0.4947846110833615,0.4964388864720997,0.4948064076054284,0.49479669632045864,0.4948052806601294,2.1796522066852564e-05,2.066957676788439e-05,1.1269452989681739e-06,False,1.2085237097114732e-05,9.711284969737832e-06,4.4052546458807056e-05,4.177489821808943e-05,2.277648240717627e-06,0.0016324788666713386
OFFGRID_0272,0.9750710773763538,0.0553139192617735,0.0122737578529067,ETAEDGE_HM2B,0.4819779537360319,0.4815028552651921,0.4817266693711208,0.4817760682935663,0.48173590590808213,0.0002512843649111196,0.0002420478279497873,9.236536961332309e-06,False,0.00020188544246563245,4.939892244548716e-05,0.0005213607032506349,0.0005021968869604173,1.9163816290217596e-05,0.0002238141059286991
OFFGRID_0273,0.9771323923399244,0.0418768150513289,0.0089043431011597,ETAEDGE_HM2B,0.4863052407520347,0.4858986021675823,0.48630838809795984,0.48629895209180496,0.48630480337507154,3.147345925158529e-06,4.3737696314716246e-07,2.7099689620113665e-06,False,6.288660229725185e-06,-3.141314304566656e-06,6.4719555978697536e-06,8.993877229675577e-07,5.572567874902196e-06,0.0004097859303775486
OFFGRID_0274,0.9297137120788622,0.0456132192670633,0.0167985760479846,ETAEDGE_HM2B,0.5067030539660113,0.5049446470645295,0.5066905837772643,0.5066868907215213,0.5066908761256705,1.2470188747060185e-05,1.2177840340799051e-05,2.923484062611337e-07,False,1.6163244490052797e-05,-3.6930557429926125e-06,2.461044718293066e-05,2.4033485185222343e-05,5.769619977083159e-07,0.001745936712734819
OFFGRID_0276,0.9208302760579276,0.0398256257009969,0.01553054403207,ETAEDGE_HM2B,0.514995815721708,0.5153432985640888,0.5148278109600042,0.5148301006581086,0.5148261997417206,0.00016800476170386602,0.00016961597998743638,-1.6112182835703592e-06,True,0.00016571506359941424,2.2896981044517872e-06,0.0003262254887807709,0.0003293540933914946,-3.1286046107237113e-06,0.0005154876040845968
OFFGRID_0277,0.9225397831166824,0.0525323709881028,0.0202723466862122,ETAEDGE_HM2B,0.5061297717487231,0.5087019208890216,0.5063179203368015,0.5063218066482815,0.5063238701188568,0.00018814858807836288,0.00019409837013373288,-5.949782055370001e-06,True,0.00019203489955843533,-3.886311480072457e-06,0.0003717398157162201,0.00038349526340469137,-1.1755447688471267e-05,0.0023840005522201
OFFGRID_0278,0.9564690030354192,0.030184359028357,0.0088088203024949,ETAEDGE_HM2B,0.501093363402071,0.5022850500021984,0.5011652972751935,0.5011618472479422,0.5011689175123154,7.193387312254274e-05,7.55541102444024e-05,-3.6202371218596596e-06,True,6.848384587121448e-05,3.450027251328258e-06,0.00014355383323012383,0.0001507785090815077,-7.224675851383875e-06,0.001119752727004819
OFFGRID_0283,0.9434561858108814,0.030408724554036,0.0100804085059358,ETAEDGE_HM2B,0.5080855536177548,0.5067992373512406,0.5081031314035016,0.5081112936639914,0.5081049566662724,1.757778574684732e-05,1.940304851766328e-05,-1.8252627708159608e-06,True,2.5740046236677472e-05,-8.162260489830153e-06,3.459611402388252e-05,3.818854596338448e-05,-3.592431939501963e-06,0.0013038940522610565
OFFGRID_0292,0.966160574768786,0.0277825856021181,0.0071662778371809,ETAEDGE_HM2B,0.4970694227408483,0.4967174047063667,0.49709789010756833,0.4971309281705156,0.4971030695616055,2.8467366720019704e-05,3.364682075718273e-05,-5.179454037163023e-06,True,6.150542966726347e-05,-3.303806294724376e-05,5.7270404127959056e-05,6.769038532214203e-05,-1.0419981194182974e-05,0.00038048540120161345
OFFGRID_0294,0.9642286959839405,0.0386893565664385,0.0102554546627589,ETAEDGE_HM2B,0.4931694616915822,0.4921953066608323,0.493183426594629,0.4931690084866152,0.49318009333359236,1.396490304678144e-05,1.0631642010150433e-05,3.333261036631008e-06,False,4.532049669991878e-07,1.3511698079782253e-05,2.831664190820233e-05,2.1557786594659905e-05,6.758855313542426e-06,0.0009881199337967161
OFFGRID_0297,0.9421415559832398,0.034686615012858,0.0116274835988841,ETAEDGE_HM2B,0.5064310973684528,0.5066988859211852,0.5063782918749167,0.5063756041010762,0.5063775492405526,5.28054935361455e-05,5.354812790026031e-05,-7.426343641148136e-07,True,5.54932673766384e-05,-2.687773840492902e-06,0.0001042698479823544,0.00010573625549163599,-1.4664075092815843e-06,0.0003205940462684964
OFFGRID_0298,0.9359124200773106,0.0327412891778002,0.0115325558023238,ETAEDGE_HM2B,0.5109567002674563,0.5129058817798003,0.5109499889977188,0.5109727743293021,0.5109505159104224,6.71126973750269e-06,6.184357033922616e-06,5.269127035800736e-07,False,1.6074061845783305e-05,-9.362792108280615e-06,1.3134713242804582e-05,1.2103485541309982e-05,1.0312277014945995e-06,0.0019558927820815253
OFFGRID_0299,0.9219928744905034,0.0508193640505207,0.0196776055253225,ETAEDGE_HM2B,0.5075051399203202,0.5089966668657587,0.5076297040415149,0.5076342251737515,0.5076342458201011,0.0001245641211946591,0.00012910589978087916,-4.541778586220069e-06,True,0.00012908525343124921,-4.52113223659012e-06,0.00024544405838769636,0.0002543932851618984,-8.949226774202022e-06,0.001366962824243867
OFFGRID_0300,0.9605101708715542,0.0472043015057333,0.0131343550727424,ETAEDGE_HM2B,0.4909148761524785,0.4889199893951584,0.4909056222141326,0.49091955547365906,0.4909074768816713,9.253938345887835e-06,7.399270807173508e-06,1.8546675387143274e-06,False,4.679321180589557e-06,4.574617165298278e-06,1.8850393001766676e-05,1.5072411056607073e-05,3.777981945159603e-06,0.001985632818974181
OFFGRID_0303,0.9582241769144176,0.0567279472715706,0.0162252269595111,ETAEDGE_HM2B,0.4873331298163454,0.4872248236162683,0.487216985646413,0.48727351950228043,0.4872262419401809,0.00011614416993238619,0.00010688787616452977,9.256293767856416e-06,False,5.961031406498396e-05,5.653385586740223e-05,0.00023832602962198745,0.0002193322588283935,1.8993770793593936e-05,7.837969855262195e-06
OFFGRID_0304,0.9792505373197468,0.0571644272159528,0.0115845633662191,ETAEDGE_HM2B,0.4801336840835766,0.4791065979585453,0.4799760713531751,0.4800120105401649,0.4799838491624749,0.0001576127304014907,0.00014983492110171026,7.777809299780447e-06,False,0.00012167354341169334,3.593918698979737e-05,0.00032826842945277537,0.0003120691717093287,1.6199257743446647e-05,0.0008694733946297828
OFFGRID_0305,0.9507640036656184,0.0255157222333409,0.0079077257255649,ETAEDGE_HM2B,0.5066261973210622,0.5061949797228622,0.5067389126515127,0.5067387755029281,0.5067431699018311,0.00011271533045054127,0.00011697258076892592,-4.257250318384642e-06,True,0.00011257818186594104,1.3714858460023294e-07,0.0002224822384759362,0.0002308853773994584,-8.403138923522189e-06,0.0005439329286505146
OFFGRID_0307,0.9758954324715484,0.0421699203343052,0.0092031061488586,ETAEDGE_HM2B,0.4866792035915853,0.4860122069364871,0.4866615840824676,0.48665566288691675,0.4866579949256948,1.7619509117661192e-05,2.1208665890504186e-05,-3.589156772842994e-06,True,2.3540704668534307e-05,-5.921195550873115e-06,3.620353815744149e-05,4.357832784715045e-05,-7.3747896897089635e-06,0.000649377145980512
OFFGRID_0308,0.9568854584479048,0.04307563608273,0.0125119871158188,ETAEDGE_HM2B,0.4945423489748198,0.4956020067756278,0.494587299291623,0.4945691195771709,0.4945849015861302,4.4950316803182844e-05,4.255261131042021e-05,2.3977054927626362e-06,False,2.677060235112272e-05,1.8179714452060125e-05,9.089275548669249e-05,8.60444234930158e-05,4.848331993676682e-06,0.0010147074840048398
OFFGRID_0313,0.9241096301342898,0.0247424671768333,0.0094547760006703,ETAEDGE_HM2B,0.5226097058678016,0.5241221408668766,0.5230425225613083,0.5230572907466409,0.5230442414496081,0.00043281669350669905,0.00043453558180650553,-1.718888299806487e-06,True,0.0004475848788392245,-1.4768185332525441e-05,0.0008281834199539025,0.0008314724677471353,-3.2890477932327657e-06,0.0010796183055682418
OFFGRID_0315,0.9331950009866242,0.0443538103881326,0.0159394469347657,ETAEDGE_HM2B,0.505643602760201,0.5056431437185616,0.5055952192357726,0.5055905953216174,0.5055944571219841,4.8383524428485813e-05,4.914563821689644e-05,-7.621137884106233e-07,True,5.300743858360768e-05,-4.6239141551218665e-06,9.568700991047929e-05,9.719422523813381e-05,-1.5072153276545218e-06,4.792448278900796e-05
OFFGRID_0316,0.955764695674621,0.0556521594192872,0.0163691011123439,ETAEDGE_HM2B,0.4888759921154819,0.4902472356029403,0.48874222612737445,0.48880566570261796,0.4887521077444027,0.00013376598810743712,0.00012388437107918593,9.881617028251188e-06,False,7.032641286391916e-05,6.343957524351795e-05,0.0002736194664184676,0.000253406534739227,2.0212931679240622e-05,0.001505009475565866
OFFGRID_0317,0.9387689238001224,0.0280901744896683,0.0096783964579792,ETAEDGE_HM2B,0.5120384409297078,0.5130082031914643,0.5121298015613042,0.5121555311727057,0.5121319663066196,9.136063159631558e-05,9.352537691176277e-05,-2.164745315447192e-06,True,0.00011709024299788595,-2.5729611401570374e-05,0.00017842533742277658,0.00018265303820148504,-4.227700778708458e-06,0.0008784016301601749
OFFGRID_0319,0.9532890330893016,0.0493139963625737,0.0148957674392598,ETAEDGE_HM2B,0.4931036796794392,0.4942176513936047,0.4930734978449437,0.4931022157795741,0.4930780372778365,3.0181834495490723e-05,2.5642401602687936e-05,4.539432892802786e-06,False,1.4638998651061996e-06,2.8717934630384523e-05,6.120788738610016e-05,5.200204877675574e-05,9.20583860934442e-06,0.0011441535486609866
OFFGRID_0320,0.9757156312457008,0.0261664976907351,0.005731538643608,ETAEDGE_HM2B,0.4928281644113125,0.4908848483111199,0.4927391548583208,0.49279077276678185,0.4927446273879852,8.900955299168123e-05,8.353702332730695e-05,5.4725296643742816e-06,False,3.7391644530648804e-05,5.1617908461032425e-05,0.00018060971230815086,0.00016950537603120278,1.1104336276948081e-05,0.0018543065472009235
