alpha,ci_reference,ci_hybrid_8pt,ci_physics_only,err_hybrid_8pt,err_physics_only
0.05,0.737339610233929,0.73373836,0.23777264,0.0036012474447749687,0.49956696666779743
0.06,0.7234887548720722,0.7212,0.23691988,0.0022887655532245477,0.4865688749587421
0.07,0.7098943759999777,0.7087358,0.23605904,0.0011585523686911126,0.47383533616881623
0.08,0.6965228978948914,0.6963483,0.23519024,0.00017458837798467464,0.461332655365976
0.09,0.6833774401074404,0.68403924,0.23431373,0.000661795007610877,0.4490637136822695
0.09999999999999999,0.6704450642662935,0.6718113,0.23342967,0.0013662183684416407,0.43701539393243116
0.10999999999999999,0.6577194676380136,0.6596663,0.2325383,0.0019468321819327006,0.42518116986560606
0.12,0.6451692358946725,0.6476065,0.23163994,0.002437256147869049,0.4135292993283196
0.13,0.6328522055255655,0.6356338,0.23073474,0.0027816207302328033,0.40211746979825536
0.13999999999999999,0.6206868572464678,0.62375057,0.22982293,0.0030637101897504904,0.39086392357260913
0.14999999999999997,0.6086976531544571,0.6119586,0.22890489,0.003260969777976963,0.37979276512059024
0.15999999999999998,0.5968711611780977,0.60026014,0.22798082,0.003388977333560028,0.3688903388533449
0.16999999999999998,0.5852604890303205,0.5886568,0.22705097,0.003396294073622408,0.35820951406522494
0.18,0.5737375740504339,0.5771507,0.22611569,0.0034131284260675576,0.34762188536883143
0.19,0.5624209113143994,0.5657438,0.22517525,0.00332289266356689,0.33724566471806305
0.19999999999999996,0.5512567600239199,0.5544378,0.22422993,0.0031810561191160103,0.32702682819256
0.20999999999999996,0.54019879279885,0.5432346,0.22328006,0.003035793916848273,0.3169187354877919
0.21999999999999997,0.5293236693934577,0.53213555,0.22232595,0.0028118768139703265,0.3069977185324805
0.22999999999999998,0.5185355820762613,0.52114254,0.22136794,0.002606960285951865,0.29716764176959776
0.24,0.5079066445027411,0.5102572,0.22040632,0.0023505400027215018,0.2875003208314002
0.24999999999999994,0.49740427267512594,0.4994809,0.21944146,0.0020766304735251873,0.2779628140922478
0.25999999999999995,0.4870253530819738,0.48881504,0.21847364,0.0017896863143122,0.2685517100174749
0.26999999999999996,0.47677993496620036,0.47826084,0.2175033,0.0014809099797072345,0.2592766406174836
0.27999999999999997,0.4666224563372531,0.46781963,0.2165307,0.0011971747624478501,0.2500917607796588
0.29,0.4565804991163157,0.4574925,0.21555623,0.0009120014272786525,0.24102426499499308
0.3,0.4466834236245766,0.4472803,0.21458027,0.0005968641180381651,0.2321031559568062
0.30999999999999994,0.4368751351751075,0.43718404,0.21360308,0.0003089006029381447,0.22327205585610727
0.31999999999999995,0.4271349164399578,0.42720425,0.21262513,6.933484940985224e-05,0.2145097854289486
0.32999999999999996,0.4175369610671909,0.41734153,0.21164669,0.0001954307441623393,0.2058902701024921
