alpha,ci_reference,ci_classic_gep,ci_hybrid_8pt,ci_physics_only,amp_rel_hybrid_8pt,amp_rel_physics_only,phase_rmse_hybrid_8pt,phase_rmse_physics_only
0.05,0.737339610233929,0.7373277142195415,0.733738362789154,0.2377726435661316,0.1820014323471728,0.3091853878365175,0.1844553063463268,0.48690731942711557
0.1,0.6704450642662935,0.6704524577928049,0.6718111634254456,0.23342964053153992,0.2759309860985107,0.3675556336015625,0.24365286189931398,0.5458996631081755
0.15,0.6086976531544571,0.608710602835088,0.6119585633277893,0.22890490293502808,0.29215345540653476,0.3662912723879911,0.25687774101687866,0.46686998600226437
0.2,0.5512567600239199,0.5512525140721993,0.5544378757476807,0.22422993183135986,0.28710096266438917,0.35277159641152656,0.26097819701493913,0.4045538447270421
0.25,0.49740427267512577,0.49741748183210366,0.49948087334632874,0.21944144368171692,0.2772027202217868,0.33864412152277046,0.26176997965794047,0.35568153545432146
0.3,0.4466834236245766,0.4466821348791019,0.4472803473472595,0.21458026766777039,0.2696943901595876,0.329070587333072,0.2616480042217522,0.31462165216517646
0.35,0.3986020173908839,0.3986243518380477,0.39796850085258484,0.20968995988368988,0.26893203905697344,0.327450332396022,0.2579024526607488,0.28235446781039214
0.39999999999999997,0.3529141039514727,0.3528983788534027,0.35158291459083557,0.20481540262699127,0.2781943772422403,0.3368116349970226,0.2518599701905419,0.25418695268389724
0.44999999999999996,0.3092329543672662,0.309217202630017,0.30800947546958923,0.20000101625919342,0.03155851524812683,0.08339123420654419,0.1543653588807556,0.03824238945999826
0.49999999999999994,0.26733411641472415,0.2673397679464441,0.26688632369041443,0.19528907537460327,0.03082014043805563,0.07145099495828493,0.13419073247083066,0.04160548025259159
0.5499999999999999,0.22707558782842388,0.2270615170772279,0.22745944559574127,0.19071832299232483,0.02699845959720778,0.05531340612740915,0.11355975036564132,0.043571808734891644
0.6,0.188202711555879,0.18820726060892937,0.1884349286556244,0.18632249534130096,0.023090525867554876,0.04006127949525999,0.09294743563193272,0.05341366521770718
0.65,0.1506345601704538,0.15062571829591073,0.14815008640289307,0.18212981522083282,0.020287258906561786,0.028956625886070328,0.07381800385946771,0.06264154432934352
0.7,0.11418325320299502,0.11418527814158919,0.10611569881439209,0.1781620979309082,0.01748262395370536,0.02278819599995473,0.05519781787459341,0.06785045440373749
0.75,0.07876988829586301,0.0787706586715977,0.06668342649936676,0.17443493008613586,0.013129649008945952,0.01913254135748575,0.037298136566779744,0.07053489211104746
0.7999999999999999,0.044273658832829355,0.044280250675262034,0.03835754469037056,0.17095783352851868,0.009275547932212986,0.01460151913867763,0.020608808821634513,0.07099292942843692
0.85,0.010634805770227514,0.01124994166757607,0.023168878629803658,0.16773463785648346,0.9766835388344721,0.9749438602538683,29.391635070645393,29.213602926404285
