step,ci_anchor_loss
1,0.002313540829207632
100,1.177499067910879e-07
200,2.990336555405725e-09
300,8.910133489406871e-11
400,9.658520832495794e-13
500,3.457458241906704e-15
600,3.25130979475129e-18
700,4.439117045699301e-22
800,1.2319932036511998e-28
900,8.151720491131429e-30
1000,6.0951943488320276e-30
1100,5.722681898173604e-30
1200,4.7834269615037195e-30
1300,4.2588268238622446e-30
1400,3.659251490042197e-30
1500,3.0470484735235295e-30
1600,2.818352850057601e-30
1700,2.482562847636298e-30
1800,2.0012311937771615e-30
1900,1.740907895732309e-30
2000,1.5837970021537897e-30
2100,1.4537009528999487e-30
2200,1.703910482220631e-30
2300,1.1052759431377935e-30
2400,1.1204643031026952e-30
2500,1.0314970282980009e-30
2600,1.0314970282980009e-30
2700,8.12759984559865e-31
2800,6.7777515382170815e-31
2900,1.1850731080433164e-30
3000,6.570518230459618e-31
