step,ci_anchor_loss
1,0.022728279596059466
100,9.72774159855601e-05
200,6.141919171082429e-05
300,3.632503290391999e-05
400,1.9955643336887826e-05
500,1.0735546519252376e-05
600,6.133213684849935e-06
700,3.858446803397064e-06
800,2.6103433774551895e-06
900,1.8607520319579235e-06
1000,1.3993375970503807e-06
1100,1.1137327650500658e-06
1200,9.314434752235219e-07
1300,8.065873941338305e-07
1400,7.1261111656732e-07
1500,6.355481720058932e-07
1600,5.686379242918349e-07
1700,5.087946061196242e-07
1800,4.546298242189141e-07
1900,4.054774944870342e-07
2000,3.6096062667327856e-07
2100,3.208140918507998e-07
2200,2.848154666512427e-07
2300,2.527570199952356e-07
2400,2.244318678671278e-07
2500,1.996248240015056e-07
2600,1.7810548063263892e-07
2700,1.596235970697992e-07
2800,1.4390756208211968e-07
2900,1.3066655297869263e-07
3000,1.1959646021044696e-07
