condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds
seeded,32,C12,1.25,0.285,0,PINN,0,0.29988387,0.011790725,0.015,0.008,COMPLETED,,0,0.015,0.008,0.30046004187500003,0.014941766666666668,4.1156495796934705e-06,6.167948624480825e-21,4.1156495796934765e-06,True,True,True,0.0032032854407015475,34.9915116179036
seeded,32,C12,1.25,0.285,1,PINN,0,0.29988387,0.011790725,0.015,0.015,COMPLETED,,0,0.015,0.015,0.30046004187500003,0.014948453458658856,5.3016208952971174e-06,6.167111602039619e-21,5.301620895297123e-06,True,True,True,0.0032098634002345155,35.02372170693707
seeded,32,C12,1.25,0.285,2,PINN,0,0.29988387,0.011790725,0.015,0.03,COMPLETED,,0,0.015,0.03,0.30046004187500003,0.01493332110188802,5.824531562974537e-06,6.163764080254644e-21,5.8245315629745426e-06,True,True,True,0.0031949779794456846,34.9825386198936
seeded,32,C12,1.25,0.285,3,PINN,0,0.29988387,0.011790725,0.03,0.008,COMPLETED,,0,0.03,0.008,0.30045027625000004,0.014941766666666668,7.028283382387254e-07,6.1629273418033635e-21,7.028283382387315e-07,True,True,True,0.0032015433192615966,35.01663756405469
seeded,32,C12,1.25,0.285,4,PINN,0,0.29988387,0.011790725,0.03,0.015,COMPLETED,,0,0.03,0.015,0.30045027625000004,0.014948453458658856,3.41517554525519e-06,6.165995660470431e-21,3.4151755452551963e-06,True,True,True,0.0032081248508533987,35.02391256694682
seeded,32,C12,1.25,0.285,5,PINN,0,0.29988387,0.011790725,0.03,0.03,COMPLETED,,0,0.03,0.03,0.30045027625000004,0.01493332110188802,4.181095997965574e-06,6.160556891302682e-21,4.18109599796558e-06,True,True,True,0.003193231325732742,34.99189903703518
seeded,32,C12,1.25,0.285,6,PINN,0,0.29988387,0.011790725,0.06,0.008,COMPLETED,,0,0.06,0.008,0.3004698075,0.014941766666666668,8.932063435015011e-06,6.166832607180991e-21,8.932063435015018e-06,True,True,True,0.0032050563706393265,35.05998525104951
seeded,32,C12,1.25,0.285,7,PINN,0,0.29988387,0.011790725,0.06,0.015,COMPLETED,,0,0.06,0.015,0.3004698075,0.014948453458658856,9.536731088791102e-06,6.170041429075027e-21,9.536731088791109e-06,True,True,True,0.003211630703012149,35.06724481203128
seeded,32,C12,1.25,0.285,8,PINN,0,0.29988387,0.011790725,0.06,0.03,COMPLETED,,0,0.06,0.03,0.3004698075,0.01493332110188802,9.837058298359784e-06,6.166414126725963e-21,9.837058298359791e-06,True,True,True,0.0031967535115344837,35.021859884029254
seeded,32,C12,1.25,0.285,9,PINN,0,0.29988387,0.011790725,0.1,0.008,COMPLETED,,0,0.1,0.008,0.3004698075000001,0.014941766666666668,8.93206343664339e-06,6.167251101835515e-21,8.932063436643396e-06,True,True,True,0.0032050563706393365,35.08520033094101
seeded,32,C12,1.25,0.285,10,PINN,0,0.29988387,0.011790725,0.1,0.015,COMPLETED,,0,0.1,0.015,0.3004698075000001,0.014948453458658856,9.53673108973385e-06,6.170599570253576e-21,9.536731089733857e-06,True,True,True,0.003211630703012159,35.07934043300338
seeded,32,C12,1.25,0.285,11,PINN,0,0.29988387,0.011790725,0.1,0.03,COMPLETED,,0,0.1,0.03,0.3004698075000001,0.01493332110188802,9.837058297554864e-06,6.166414126725963e-21,9.837058297554871e-06,True,True,True,0.003196753511534494,35.03514280403033
seeded,33,C12,1.25,0.315,0,PINN,0,0.31015742,0.0026502407,0.015,0.008,COMPLETED,,0,0.015,0.008,0.309151560625,0.0007617494757324219,2.3975002372861335e-06,6.118582674597842e-22,2.397500237286134e-06,True,True,True,0.0021396616990569106,37.97672157699708
seeded,33,C12,1.25,0.315,1,PINN,0,0.31015742,0.0026502407,0.015,0.015,COMPLETED,,0,0.015,0.015,0.309151560625,0.000763364717236328,2.67121785303994e-06,6.193507894514829e-22,2.6712178530399404e-06,True,True,True,0.002138236202248438,37.82245520397555
seeded,33,C12,1.25,0.315,2,PINN,0,0.31015742,0.0026502407,0.015,0.03,COMPLETED,,0,0.015,0.03,0.309151560625,0.0007651340006103515,3.2357444505521192e-06,6.2849106516934545e-22,3.2357444505521197e-06,True,True,True,0.0021366750689702876,37.90945408598054
seeded,33,C12,1.25,0.315,3,PINN,0,0.31015742,0.0026502407,0.03,0.008,COMPLETED,,0,0.03,0.008,0.30916132625,0.0007617494757324219,3.0206934613150993e-06,6.117264559022699e-22,3.0206934613150997e-06,True,True,True,0.002135088256472035,37.949378335964866
seeded,33,C12,1.25,0.315,4,PINN,0,0.31015742,0.0026502407,0.03,0.015,COMPLETED,,0,0.03,0.015,0.30916132625,0.000763364717236328,3.2420794629651636e-06,6.194834198466168e-22,3.242079462965164e-06,True,True,True,0.002133659704151417,37.802036394015886
