condition,benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,ambiguous,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_kind,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,best_cr_half_window,best_ci_half_window,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
seeded,32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29988387,0.011790725,False,COMPLETED,True,1.4248203516338008e-06,True,3,PINN,0,0.29988387,0.011790725,0.30045027625000004,0.014941766666666668,7.028283382387254e-07,6.1629273418033635e-21,7.028283382387315e-07,0,0.03,0.008,12,12,12,12,420.3789946278557
seeded,33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.31015742,0.0026502407,False,COMPLETED,True,4.329236236403794e-06,True,0,PINN,0,0.31015742,0.0026502407,0.309151560625,0.0007617494757324219,2.3975002372861335e-06,6.118582674597842e-22,2.397500237286134e-06,0,0.015,0.008,12,12,12,12,454.78949955978896
seeded,34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.34649885,0.030529922,False,COMPLETED,True,2.4569607904704254e-06,True,0,PINN,0,0.34649885,0.030529922,0.345102365625,0.031493463666666666,8.906129428624548e-07,1.0175982686142019e-21,8.906129428624559e-07,0,0.015,0.008,12,12,12,12,401.1462311989162
seeded,35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36073864,0.0100793205,False,COMPLETED,True,3.502006412582551e-06,True,3,PINN,0,0.36073864,0.0100793205,0.36005504625,0.013480362166666666,1.5576008742117363e-06,1.8137509654364134e-23,1.5576008742117363e-06,0,0.03,0.008,12,12,12,12,430.3001479419181
seeded,36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30444336,0.06792568,False,COMPLETED,True,4.937749993362432e-07,True,1,PINN,0,0.30444336,0.06792568,0.31343750062500003,0.060747945624999994,7.429623321268857e-08,6.128252784798392e-21,7.42962332126947e-08,0,0.015,0.015,12,12,12,12,381.25644115160685
seeded,37,C20,1.5,0.085,0.3218492869365933,0.0569978921594081,0.32013,0.05874354,False,COMPLETED,True,9.268318267036374e-06,True,0,PINN,0,0.32013,0.05874354,0.32185851562500006,0.05699874833333332,1.0600578583612761e-06,4.2979973882543586e-21,1.0600578583612803e-06,0,0.015,0.008,12,12,12,12,404.80512611183804
seeded,38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.33005154,0.046755057,False,COMPLETED,True,1.1765068893005628e-06,True,1,PINN,0,0.33005154,0.046755057,0.323791774375,0.05051482262500001,8.356787674632307e-08,1.719608479345598e-21,8.356787674632479e-08,0,0.015,0.015,12,12,12,12,393.5684328429634
seeded,39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.38274667,0.039386265,False,COMPLETED,True,3.6382620119356677e-06,True,0,PINN,0,0.38274667,0.039386265,0.38230721687499997,0.040985223333333334,6.533734614497248e-07,6.144951203113493e-21,6.533734614497309e-07,0,0.015,0.008,12,12,12,12,421.8074840811314
seeded,40,C21,1.45,0.12,0.3237488512771395,0.0567621464549422,0.3238221,0.056237806,False,COMPLETED,True,5.176856559021626e-06,True,0,PINN,0,0.3238221,0.056237806,0.323753740625,0.056763847666666666,9.448623694709191e-07,6.58477798811215e-21,9.448623694709257e-07,0,0.015,0.008,12,12,12,12,399.37978868663777
seeded,41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.38782793,0.02448477,False,COMPLETED,True,3.2456559164395236e-06,True,0,PINN,0,0.38782793,0.02448477,0.384517383125,0.02389622833333333,1.1706942599862594e-06,2.9839602555459466e-21,1.1706942599862624e-06,0,0.015,0.008,12,12,12,12,429.995794257964
