condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds
generic,32,C12,1.25,0.285,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,2,0.0459375,0.0245,0.8082147216796877,1.1055230034722223e-06,0.011716857162869472,7.233758421312586e-10,0.011716857886245314,True,True,True,0.09178533159745506,149.64210592093877
generic,32,C12,1.25,0.285,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,3,0.080390625,0.080390625,0.2606242370605468,0.016520622762044263,0.022570123777597387,4.9607439138732805e-23,0.022570123777597387,True,True,True,0.16127924236144073,139.62592134892475
generic,32,C12,1.25,0.285,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.47002929687500006,0.011512141927083332,0.04467997357836033,8.027326141578703e-20,0.04467997357836033,True,True,True,0.03144398018457361,37.468549984972924
generic,32,C12,1.25,0.285,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,1,0.0525,0.014,0.8027587890625,1e-06,0.004576280530327876,8.971782117241489e-10,0.004576281427506088,True,True,True,0.0972617556164363,96.01512227091007
generic,32,C12,1.25,0.285,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,2,0.091875,0.0459375,0.283570556640625,0.023113610839843757,0.009751086549537907,4.8632638109350165e-21,0.009751086549537907,True,True,True,0.18500750133234245,95.76564061397221
generic,32,C12,1.25,0.285,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.44005859375000006,0.013527734374999996,0.04178470795928287,6.819340300902809e-20,0.04178470795928287,True,True,True,0.061426999224063424,39.39364733209368
generic,32,C12,1.25,0.285,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,5.941943359375e-05,0.0020076044176143442,3.400758034764348e-21,0.0020076044176143442,True,True,True,0.1198828193683001,47.29292860708665
generic,32,C12,1.25,0.285,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,1,0.105,0.02625,0.3004931640625001,0.014935563151041664,2.0671618736266933e-05,6.171157736675674e-21,2.067161873626694e-05,True,True,True,0.20091002371665573,67.42797565704677
generic,32,C12,1.25,0.285,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.3801171874999999,0.015416569010416666,0.02991049840645913,3.997194510212611e-20,0.02991049840645913,True,True,True,0.12063122753632848,37.33971904905047
generic,32,C12,1.25,0.285,9,generic,5,0.9,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.823958333333333e-05,9.718086714993589e-08,2.0429054508661526e-21,9.718086714993793e-08,True,True,True,0.1385555553080071,27.8955338409869
generic,32,C12,1.25,0.285,10,generic,0,0.1,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.2998046875000002,0.0151146484375,0.0003310522307375735,6.057814479492558e-21,0.0003310522307375735,True,True,True,0.20036804339683129,34.08528880996164
generic,32,C12,1.25,0.285,11,generic,1,0.5,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.3004557291666669,0.014933984375,4.2839270735157194e-06,6.160835744166347e-21,4.283927073515725e-06,True,True,True,0.20009488527907038,35.33033179794438
generic,33,C12,1.25,0.315,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,3,0.080390625,0.042875,0.2606242370605468,0.022531225585937495,0.03431054982743475,3.5478592982879306e-21,0.03431054982743475,True,True,True,0.16193108643908802,134.53706048207823
generic,33,C12,1.25,0.315,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.47002929687500006,0.0011523776041666668,0.04836074066602757,5.665491744102806e-20,0.04836074066602757,True,True,True,0.029982686829782276,40.215570352971554
generic,33,C12,1.25,0.315,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,2,0.0459375,0.091875,0.8082147216796877,1.578328626342271e-05,0.019129389359011616,8.202015579466825e-16,0.019129389359012434,True,True,True,0.09180672324129793,140.63149849290494
generic,33,C12,1.25,0.315,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,2,0.091875,0.0245,0.283570556640625,0.012373925781249996,0.01683407752300754,6.7746698021156785e-21,0.01683407752300754,True,True,True,0.1839804297185778,98.16371328698006
generic,33,C12,1.25,0.315,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.4600585937500001,0.00014821923828124998,0.04740977704783224,7.00512172234307e-21,0.04740977704783224,True,True,True,0.03994143535631229,41.11363466293551
generic,33,C12,1.25,0.315,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,1,0.0525,0.0525,0.7951025390625002,5.58050491898148e-05,0.008559751318482389,2.4809410411936667e-19,0.008559751318482389,True,True,True,0.10489747024751353,93.18104901292827
generic,33,C12,1.25,0.315,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,1,0.105,0.014,0.30729980468750007,0.008065527343750002,0.004166789431013777,1.4124646094733313e-20,0.004166789431013777,True,True,True,0.20738852341784356,67.4646497570211
generic,33,C12,1.25,0.315,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.3801171874999999,0.0012875026041666666,0.030505588520746668,2.8512362332722156e-20,0.030505588520746668,True,True,True,0.11988492976787887,38.726342723937705
generic,33,C12,1.25,0.315,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,1e-06,0.0013594539867098562,8.841578981313278e-10,0.0013594548708677544,True,True,True,0.11989947762150635,46.666862478945404
generic,33,C12,1.25,0.315,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.2998046875000002,0.0041078124999999995,0.0056419837872181975,8.26259984187617e-21,0.0056419837872181975,True,True,True,0.1998448791137964,34.80823148402851
generic,33,C12,1.25,0.315,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.30917968750000013,0.0007602753906249998,1.3117633721512319e-05,6.051976813341753e-22,1.3117633721512319e-05,True,True,True,0.1908214548372092,37.14719427097589
generic,33,C12,1.25,0.315,11,generic,2,0.9,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7617187499999999,1e-06,6.479020305218765e-08,2.5193466978874234e-19,6.479020305243959e-08,True,True,True,0.13828128543863966,36.00475920003373
generic,34,C12,1.4,0.21,0,generic,4,0.5,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.47002929687500006,0.014940332031249998,0.0271377475980558,4.513277018107306e-21,0.0271377475980558,True,True,True,0.032644987959652795,35.250083710066974
generic,34,C12,1.4,0.21,1,generic,5,0.9,0.002,0.015,0.015,COMPLETED,,2,0.0459375,0.0459375,0.8082147216796877,9.367956769024888e-05,0.012177767133521856,8.199457357199723e-20,0.012177767133521856,True,True,True,0.09180507270259004,134.31842057406902
generic,34,C12,1.4,0.21,2,generic,0,0.1,0.0001,0.015,0.03,COMPLETED,,3,0.080390625,0.16078125,0.2606242370605468,0.05044759045410156,0.03569717431188798,4.8842837932907245e-21,0.03569717431188798,True,True,True,0.16833010840552762,133.32661441992968
generic,34,C12,1.4,0.21,3,generic,1,0.5,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.44005859375000006,0.0120921875,0.023957750124749558,1.2881209386135367e-21,0.023957750124749558,True,True,True,0.061129246226848635,35.00221748894546
generic,34,C12,1.4,0.21,4,generic,2,0.9,0.0001,0.03,0.015,COMPLETED,,1,0.0525,0.02625,0.7951025390625002,8.52936469184028e-06,0.005437035090320438,6.789431398287937e-16,0.0054370350903211176,True,True,True,0.1048975008187108,89.02306234301068
generic,34,C12,1.4,0.21,5,generic,3,0.1,0.002,0.03,0.03,COMPLETED,,2,0.091875,0.091875,0.283570556640625,0.045369637044270834,0.026320548287468163,4.7897742178774125e-21,0.026320548287468163,True,True,True,0.1886241625102699,98.63901711103972
generic,34,C12,1.4,0.21,6,generic,4,0.5,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.3801171874999999,0.014940332031249998,0.012374129930706622,4.757971012607174e-22,0.012374129930706622,True,True,True,0.12057918943992439,34.23276508401614
generic,34,C12,1.4,0.21,7,generic,5,0.9,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,2.2504267939814816e-05,0.0014238088322528358,1.1768210626582868e-19,0.001423808832252836,True,True,True,0.11989912102380242,43.62832897400949
generic,34,C12,1.4,0.21,8,generic,0,0.1,0.0001,0.06,0.03,COMPLETED,,1,0.105,0.0525,0.30729980468750007,0.039526269531250005,0.015735468668197236,3.890418286483746e-21,0.015735468668197236,True,True,True,0.21101573342437394,63.29355650197249
generic,34,C12,1.4,0.21,9,generic,1,0.5,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.3468098958333333,0.0120921875,0.007224245414860206,4.191870232257447e-21,0.007224245414860206,True,True,True,0.15365877968937974,33.99437183700502
generic,34,C12,1.4,0.21,10,generic,2,0.9,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,1.770572916666667e-05,6.485597991841298e-08,8.660603764178706e-20,6.485597991849959e-08,True,True,True,0.13854169110821776,25.901609760010615
generic,34,C12,1.4,0.21,11,generic,3,0.1,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.2998046875000002,0.042664485677083315,0.019156903669342976,3.893576644354029e-21,0.019156903669342976,True,True,True,0.20390074433987349,30.183410253957845
generic,35,C12,1.4,0.255,0,generic,5,0.9,0.002,0.015,0.008,COMPLETED,,2,0.0459375,0.0245,0.8082147216796877,9.413055796682102e-06,0.01494207368561937,4.605163698598787e-13,0.014942073686079888,True,True,True,0.09180686114185385,140.37833195994608
generic,35,C12,1.4,0.255,1,generic,0,0.1,0.0001,0.015,0.015,COMPLETED,,3,0.08039062500000001,0.08039062500000001,0.19148620605468744,8.27359159493152e-06,0.057497803663433655,1.3915506368098648e-27,0.057497803663433655,False,True,False,0.09148625203829659,144.29781166708563
generic,35,C12,1.4,0.255,2,generic,1,0.5,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.47002929687500006,0.013644921874999997,0.030222934438257444,2.5103632905842204e-20,0.030222934438257444,True,True,True,0.03288932888349555,36.555318025057204
generic,35,C12,1.4,0.255,3,generic,2,0.9,0.0001,0.03,0.008,COMPLETED,,1,0.0525,0.014,0.7951025390625002,7.422184244791666e-05,0.006678437453595889,1.7496579246684194e-20,0.006678437453595889,True,True,True,0.10489746410494256,91.86232759803534
generic,35,C12,1.4,0.255,4,generic,3,0.1,0.002,0.03,0.015,COMPLETED,,2,0.091875,0.0459375,0.283570556640625,0.018065010986328123,0.047763942347727746,7.371670255445442e-21,0.047763942347727746,True,True,True,0.18427217327458795,106.35685083002318
generic,35,C12,1.4,0.255,5,generic,4,0.5,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.44005859375000006,0.014378157552083333,0.025226213793033688,1.5480233317025177e-20,0.025226213793033688,True,True,True,0.06120613504879825,36.02181105490308
generic,35,C12,1.4,0.255,6,generic,5,0.9,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,9.728027343749998e-06,0.0017399308182009488,2.4133915545792895e-15,0.0017399308182033623,True,True,True,0.11989933242280894,45.50866049109027
generic,35,C12,1.4,0.255,7,generic,0,0.1,0.0001,0.06,0.015,COMPLETED,,1,0.105,0.02625,0.30729980468750007,0.027469384765625,0.029905264426774558,3.2878653473201626e-21,0.029905264426774558,True,True,True,0.2090987619425914,68.42027551389765
generic,35,C12,1.4,0.255,8,generic,1,0.5,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.3801171874999999,0.013703515624999999,0.008185873412600261,1.4120348806506557e-21,0.008185873412600261,True,True,True,0.12065216272520687,35.19216758699622
generic,35,C12,1.4,0.255,9,generic,2,0.9,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,1.0110243055555556e-05,7.865863808870767e-08,2.2813907456670786e-20,7.865863808873049e-08,True,True,True,0.13854169582817374,26.94963873294182
generic,35,C12,1.4,0.255,10,generic,3,0.1,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.2998046875000002,0.019800162760416663,0.035304131262174236,6.93734198320633e-21,0.035304131262174236,True,True,True,0.20059600928550414,32.76282188796904
generic,35,C12,1.4,0.255,11,generic,4,0.5,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.36009114583333335,0.013485123697916667,1.756468297550369e-05,1.8871036700249323e-23,1.756468297550369e-05,True,True,True,0.14037946979735336,34.83007602894213
generic,36,C20,1.45,0.105,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.129970703125,0.00012057194010416672,0.01900830424776645,2.644585187271972e-25,0.01900830424776645,True,True,True,0.02997071018530599,32.98160613293294
generic,36,C20,1.45,0.105,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.022585351562499995,0.015814410582038148,7.66258639979437e-21,0.015814410582038148,True,True,True,0.03746777389565726,32.262942902045324
generic,36,C20,1.45,0.105,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,0.0007830182291666666,0.03285212143353791,3.7621379435243193e-19,0.03285212143353791,True,True,True,0.05245317761284768,78.52335531893186
generic,36,C20,1.45,0.105,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.15994140624999997,0.0008011855468749995,0.017259901660676855,5.169878828456423e-26,0.017259901660676855,True,True,True,0.059953393059280276,32.391367419972084
generic,36,C20,1.45,0.105,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.025433496093749994,0.014875699247593589,6.43899802873949e-21,0.014875699247593589,True,True,True,0.06435915569989496,32.0870381440036
generic,36,C20,1.45,0.105,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0006624442274305557,0.024781397063747997,3.8391452550204245e-19,0.024781397063747997,True,True,True,0.059956327761732535,39.397324098972604
generic,36,C20,1.45,0.105,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.21988281249999997,0.003145400390625,0.013619984520722566,7.080828107038286e-24,0.013619984520722566,True,True,True,0.11992148763440756,31.414936972083524
