condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds
generic,0,C00,1.05,0.105,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.07002929687500004,0.0120921875,0.016789327546143096,5.469088796827606e-21,0.016789327546143096,True,True,True,0.03228088609133955,25.59863812092226
generic,0,C00,1.05,0.105,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.022585351562499995,0.020839633994127024,7.375483628782803e-21,0.020839633994127024,True,True,True,0.03746777389565726,32.053009559982456
generic,0,C00,1.05,0.105,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,0.0005247369791666665,0.03347272618051602,4.0009929298237667e-19,0.03347272618051602,True,True,True,0.05245045022957422,80.39764015399851
generic,0,C00,1.05,0.105,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.040058593750000024,0.014940332031249998,0.01298269387832453,1.2276439586111627e-21,0.01298269387832453,True,True,True,0.06132229917661708,24.99847042001784
generic,0,C00,1.05,0.105,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.014948014322916668,0.01861462734813759,1.2383210402908962e-20,0.01861462734813759,True,True,True,0.06132392076615764,32.62270738289226
generic,0,C00,1.05,0.105,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0004521838107638891,0.025298213599573,4.013249609225175e-19,0.025298213599573,True,True,True,0.05996138689342689,40.06800294900313
generic,0,C00,1.05,0.105,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.004654947916666669,0.0120921875,0.010635996564679978,2.0392218798575803e-22,0.010635996564679978,True,True,True,0.09609626172650372,24.83367957395967
generic,0,C00,1.05,0.105,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.0076146484375000005,0.013003146521377776,3.7119286964032745e-20,0.013003146521377776,True,True,True,0.1201181030238546,33.59777229197789
generic,0,C00,1.05,0.105,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,5.771668233989199e-06,0.0007206329814809043,5.065964339957353e-13,0.0007206329819875007,True,True,True,0.1198828495319018,39.778822073945776
generic,0,C00,1.05,0.105,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.004313151041666666,0.014940332031249998,0.009827621681454124,3.1412600990233997e-22,0.009827621681454124,True,True,True,0.09655788552290223,24.596972196013667
generic,0,C00,1.05,0.105,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0006278721788194445,0.0041853557361379665,3.928636970718406e-19,0.0041853557361379665,True,True,True,0.19980939888236016,35.996677775052376
