condition,seed,direct_mean,direct_p95,corrected_median,corrected_p95,technical,target_recovery,row_type,direct_mean_sd,direct_p95_sd,corrected_median_sd,corrected_p95_sd
Physics-informed,1,0.0087654113732768,0.0245898775178988,3.502006412582551e-06,7.256830752933359e-06,64/64,63/63,seed,,,,
Physics-informed,2,0.0087676819784131,0.0310167396652297,3.3681152788507283e-06,8.484533568778884e-06,64/64,63/63,seed,,,,
Physics-informed,3,0.0087317207104405,0.0283648457303705,3.2547389020949725e-06,7.435746293410693e-06,64/64,63/63,seed,,,,
Physics-informed,mean ± SD,0.008754938020710134,0.027990487637833,3.374953531176084e-06,7.725703538374312e-06,192/192,189/189,aggregate,2.013880666868256e-05,0.0032297441464123624,1.2377550931759535e-07,6.632269249200659e-07
Anchors-only,1,0.0088009322268254,0.024459400661292,3.702061182426597e-06,7.294650980779944e-06,64/64,63/63,seed,,,,
Anchors-only,2,0.0086815410590801,0.0310357601653876,3.2826075229313374e-06,9.657731467555149e-06,64/64,63/63,seed,,,,
Anchors-only,3,0.0088642598566214,0.0283153336496113,3.496142741194652e-06,7.93057548796721e-06,64/64,63/63,seed,,,,
Anchors-only,mean ± SD,0.008782244380842298,0.02793683149209697,3.493603815517529e-06,8.294319312100768e-06,192/192,189/189,aggregate,9.278182168049265e-05,0.003304477870134612,2.0973835539473158e-07,1.2228121376323152e-06
