evaluation,eps,n,route_changes,c_median,c_p95,c_max,cr_median,cr_p95,cr_max,ci_median,ci_p95,ci_max
Same point,,85,,0.008682469143027713,0.04016182209635881,0.07511322632014505,0.006715953350067139,0.03701917529106138,0.06829208135604858,0.0022273026406764984,0.015343761444091789,0.03127600345760584
Routed eps=1e-06,1e-06,85,85.0,0.0086825286804111,0.0401630756624546,0.0751151969782602,0.0067108273506164,0.0370205640792846,0.0682935416698455,0.0022278241813182,0.0153442427515983,0.0312775475904345
Routed eps=1e-05,1e-05,85,85.0,0.0086831223973243,0.0401741395392569,0.0751303732826492,0.0066647678613662,0.0370328187942504,0.0683044493198394,0.0022325478494167,0.0153471276164054,0.0312901772558689
Routed eps=1e-04,0.0001,85,85.0,0.0086889145357575,0.040284101435158,0.0752843810476204,0.0063734054565429,0.0371544241905212,0.0684153139591217,0.0022670850157737,0.0153774261474609,0.0314178746193647
