metric,final_median,final_p95,stage2_median,stage3_median,median_reduction,fraction_improved
$R_\kappa$,0.0098105155076228,0.0205069574393535,0.0176871136303638,0.0097494695815333,0.44878119826198204,1.0
$R_q$,0.0094256591994489,0.0185259617059889,0.0166338508433256,0.0093930922960651,0.43530260163213397,1.0
$R_\ell$,0.0073783557572846,0.0119063478941253,0.0116926040641225,0.0074020401371356,0.36694682411696755,0.9650872817955112
$BC_\kappa$,0.0009624402873782,0.0043251955430053,0.0012135925829046,0.0009624402873782,0.20694943184746117,0.6084788029925187
$BC_q$,0.0009601649306741,0.0032648156804439,0.0014085697820863,0.0009601649306741,0.31834053031298604,0.5835411471321695
