budget,Mach,alpha,_chart,_cr_ref,_ci_ref,_cr_pinn,_ci_pinn,_pinn_error,_cr_shoot,_ci_shoot,_shoot_error,_spectral_success,_mode_success,_full_success
60,1.05,0.14,C01,0.0443825798422026,0.1272560731093161,0.043731406,0.054396335,0.07286264793933103,0.043038046625,0.1143377412499999,0.012988112549542574,True,True,True
48,1.05,0.14,C01,0.0443825798422026,0.1272560731093161,0.029529542,0.041302927,0.08722703743238873,0.0389306151946614,0.1012443332499999,0.026576954848642434,True,True,True
36,1.05,0.14,C01,0.0443825798422026,0.1272560731093161,0.024398744,0.04116072,0.0883841814013454,0.0388688942317708,0.1011021262499999,0.02672881713302366,True,True,True
36,1.1,0.215,C02,0.1820716357575376,0.0726387709774911,0.15135649,0.14266625,0.07646743095694207,0.18223539625,0.08272484375,0.010087402117058535,True,True,True
24,1.05,0.14,C01,0.0443825798422026,0.1272560731093161,0.030060023,0.040191013,0.0882352555747245,0.0384633889633789,0.1001324192499999,0.02776201396404715,True,True,True
24,1.1,0.115,C00,0.0840064838857459,0.1316074319054831,0.10401353,0.06237847,0.0720619945652958,0.0837498581249999,0.1223198762499999,0.009291100410326885,True,True,True
24,1.1,0.215,C02,0.1820716357575376,0.0726387709774911,0.14935765,0.13749674,0.07264131751193048,0.18211155625,0.07755533375,0.004916724838928743,True,True,True
24,1.1,0.105,C00,0.0614720572586166,0.1377614529920954,0.15582897,0.07701362,0.11222088128027047,0.0614930325,0.1369550262499999,0.0008066994800530685,True,True,True
