budget,n_total,technical_success,error_le_1e5,error_le_1e4,baseline63_pass,baseline63_fail,admissible,pinn_error_mean,pinn_error_median,pinn_error_max,shoot_error_mean,shoot_error_median,shoot_error_p95,shoot_error_max,n_improved_vs_pinn,total_shoot_seconds
76,64,64,62,63,63,0,True,0.008765411206704966,0.005170293424819477,0.09464093552914575,0.0011877278516281239,3.503851621977589e-06,8.262503058709244e-06,0.07578607222110961,64,22490.514286122067
60,64,64,61,62,62,1,False,0.013794672341934055,0.005414230144613515,0.11435900008670664,0.0013910928217471142,4.320349890461679e-06,9.69897309317169e-06,0.07578557555444293,64,22223.69524144192
48,64,64,56,62,62,1,False,0.023728761979021497,0.012869636302913825,0.1169472381763399,0.0016046890698286267,4.283734591605773e-06,1.802014065330745e-05,0.07578587509610951,64,22601.491435569915
36,64,64,51,61,61,2,False,0.03308135362718817,0.021399429069006482,0.20160285296563954,0.00176537850780553,4.720412593090828e-06,2.4303563475946804e-05,0.07578602122110953,64,22805.314483428956
24,64,64,44,59,59,4,False,0.04326222779531031,0.02654799452762,0.22882424805584545,0.001782058864547948,4.76223324680387e-06,0.0043002210350973685,0.07067930404878957,64,25346.761038593133
