N,shoot_ci,gep_raw_index,gep_cr,gep_ci,gep_abs_err_vs_shoot,gep_rel_err_vs_shoot,n_admissible
401,0.010789369836231686,748,6.452238235988466e-12,0.008741131248405604,0.002048238587826082,0.18983857434823584,5
501,0.010789369836231686,942,-1.2300148404666849e-11,0.00994196072862124,0.000847409107610447,0.07854111226818548,6
601,0.010789369836231686,1140,7.490114032705861e-11,0.010401668067690554,0.0003877017685411325,0.035933680504601356,6
