step,ci_anchor_loss
1,0.04105358121925323
100,0.00024800076990887793
200,0.00018118268591599376
300,0.0001301762581261061
400,8.923958501177689e-05
500,5.783808094244202e-05
600,3.516972341423106e-05
700,2.0246717771386932e-05
800,1.1497178621547624e-05
900,6.888315766589559e-06
1000,4.582289100851066e-06
1100,3.3891400398724032e-06
1200,2.7080120910993227e-06
1300,2.27212909250187e-06
1400,1.964125667340766e-06
1500,1.7291544805629086e-06
1600,1.539601797392965e-06
1700,1.3805248679058793e-06
1800,1.2432432554622266e-06
1900,1.1223898605722581e-06
2000,1.0144928844162036e-06
2100,9.172384194138383e-07
2200,8.290456267577049e-07
2300,7.488013866523888e-07
2400,6.7568884923457e-07
2500,6.090770559386236e-07
2600,5.484513733266028e-07
2700,4.933706824049755e-07
2800,4.4344148237946397e-07
2900,3.98302311555705e-07
3000,3.576143072738057e-07
