cost_id,cost_chunk,Mach,alpha,atlas_chart,shoot_seconds,shoot_retry,shoot_n_candidates,shoot_total_mismatch
457,9,1.738,0.3057499999999999,C32,1663.9880333329784,3,12,0.0101771979246339
460,9,1.738,0.3522499999999999,C32,1652.370141087973,2,12,0.0182297220532725
458,9,1.738,0.32125,C32,1636.0318999779993,2,12,0.008865099172072
477,9,1.81,0.3057499999999999,C32,1630.6396774549503,3,12,0.0105109490244918
459,9,1.738,0.33675,C32,1613.8251354909737,2,12,0.0170848073783306
478,9,1.81,0.32125,C32,1607.8268281430355,3,12,0.013034488922789
467,9,1.7739999999999998,0.3057499999999999,C32,1549.6856815849897,3,12,0.0103266191312855
470,9,1.7739999999999998,0.3522499999999999,C32,1449.7151063019992,2,12,0.0209816944303589
450,9,1.702,0.3522499999999999,C32,1446.6963850460015,3,12,0.0048516245963656
479,9,1.81,0.33675,C32,1434.344864810002,2,12,0.0181019616718365
440,8,1.666,0.3522499999999999,C32,1424.742599088,1,12,0.0190300763618424
439,8,1.666,0.33675,C32,1398.6505838370067,3,12,0.0157645576227216
449,8,1.702,0.33675,C32,1398.143402724003,2,12,0.0048235253286298
448,8,1.702,0.32125,C32,1375.0749331550323,2,12,0.0128186356468125
497,9,1.882,0.32125,C32,1372.125995379989,2,12,0.0078798062263216
468,9,1.7739999999999998,0.32125,C32,1366.6404544260004,3,12,0.0130762413624609
499,9,1.882,0.3522499999999999,C32,1338.7808699160232,2,12,0.0127086199595272
488,9,1.846,0.32125,C32,1338.643380447989,3,12,0.0130663564489204
498,9,1.882,0.33675,C32,1337.3448853240116,2,12,0.0129234709386708
490,9,1.846,0.3522499999999999,C32,1324.2538582860143,2,12,0.0161595117110269
480,9,1.81,0.3522499999999999,C32,1323.6245805039653,2,12,0.0192800175994431
489,9,1.846,0.33675,C32,1320.0224942550412,3,12,0.0161396984787271
469,9,1.7739999999999998,0.33675,C32,1304.7627536670188,2,12,0.0200749226890868
466,9,1.7739999999999998,0.29025,C32,1270.1752818409586,2,12,0.0077828446638518
487,9,1.846,0.3057499999999999,C32,1270.1143388120108,2,12,0.0188574560425395
