y,Mach,eta,alpha,ci_ref,ci_pred,p_ref_real,p_ref_imag,p_pred_real,p_pred_imag,q_ref_real,q_ref_imag,q_pred_real,q_pred_imag,rho_ref_real,rho_ref_imag,rho_pred_real,rho_pred_imag,u_ref_real,u_ref_imag,u_pred_real,u_pred_imag,v_ref_real,v_ref_imag,v_pred_real,v_pred_imag,gamma_ref_real,gamma_ref_imag,gamma_pred_real,gamma_pred_imag
-16.0,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13036715250185668,0.23149254510582962,0.20717595563808247,0.0012366547809050863,0.02780079084238679,0.010876520981184584,0.017167098101960095,0.00023518352324709732,0.12520461326278315,0.22232544031963875,0.1989717877948144,0.0011876832515812447,0.1681262731101714,0.19970399635539243,0.1982244001006997,-0.041510036630994666,0.029398542684418966,-0.15618304956616355,-0.01794877003516877,-0.08914061187813134,0.08701843582810964,-0.07108844537860746,0.08286622928119515,0.0006405502232255013
-15.9936,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.1305451429520527,0.231562133734801,0.2072853088899295,0.0012370369106110223,0.027821226240404777,0.010869923410432424,0.017179528731179013,0.0002349630353385606,0.12537555529115138,0.22239227323890287,0.19907681065788826,0.0011880502489508256,0.16831082347372503,0.19973869104351683,0.19832897270815886,-0.04153220537282076,0.029343819210036304,-0.15628342155721425,-0.017963789846017125,-0.08920472195598309,0.08701843582810961,-0.0710884453786074,0.082882473266971,0.0006388989039976301
-15.9872,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13072326421560804,0.23163168009779836,0.20739473876457332,0.0012374183258800453,0.027841670016974292,0.010863312862442963,0.01719196764739375,0.00023474330809310825,0.12554662295266994,0.2224590655659255,0.1991819071094962,0.0011884165601751954,0.16849549241990813,0.19977332104460455,0.1984336183862667,-0.04155439058662153,0.029289019565059193,-0.15638382454121505,-0.01797881497083179,-0.08926887578677917,0.0870184358281096,-0.07108844537860737,0.08289870947733403,0.0006372530305316746
-15.9808,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.1309015163461415,0.23170118411173193,0.20750424529053035,0.0012377990472020792,0.027862122170854434,0.01085668932617419,0.017204415065365374,0.00023452435204647415,0.12571781629883427,0.22252581722090733,0.19928707717702535,0.0011887822049328769,0.16868027998532087,0.1998078862686456,0.19853833716649477,-0.04157659225869383,0.029234143692954316,-0.15648425850075376,-0.017993845594838874,-0.08933307449415002,0.08701843582810953,-0.07108844537860728,0.08291493893046466,0.0006356126326710166
-15.9744,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.1310798993972639,0.23177064569344147,0.20761382849774063,0.0012381790950976696,0.027882582700798603,0.010850052790578515,0.0172168712002628,0.00023430617770875888,0.12588913538113222,0.22259252812398117,0.1993923208892301,0.0011891472029318018,0.1688651862065428,0.19984238662556356,0.19864312908168116,-0.04159881037559857,0.029179191537164827,-0.15658472341838275,-0.018008881903852525,-0.08939731920380903,0.0870184358281095,-0.07108844537860724,0.08293116264379588,0.0006339777400352619
-15.968,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.131258413422578,0.23184006475969587,0.20772348841757465,0.001238558490117288,0.027903051605554452,0.010843403244602767,0.017229336267655986,0.00023408879556401774,0.12606058025104389,0.2226591981952119,0.19949763827623868,0.0011895115739086433,0.16905021112013285,0.19987682202521487,0.1987479941660372,-0.0416210449241629,0.029124163041110342,-0.15668521927661894,-0.01802392408426949,-0.08946161104351673,0.08701843582810946,-0.07108844537860716,0.08294738163397548,0.0006323483820193024
-15.9616,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13143705847567855,0.23190944122719334,0.20783322508283542,0.0012389372528404088,0.02792352888386393,0.010836740677188176,0.017241810483508438,0.00023387221607009705,0.12623215096004167,0.22272582735459648,0.19960302936955512,0.0011898753376279286,0.16923535476262916,0.1999111923773893,0.19885293245514873,-0.04164329589148137,0.029069058148186847,-0.1567857460579437,-0.018038972323061595,-0.08952595114304196,0.08701843582810942,-0.0710884453786071,0.082963596916827,0.0006307245877936891
-15.9552,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13161583461015228,0.23197877501256123,0.2079430385277635,0.0012393154038748207,0.027944014534463227,0.010830065077270395,0.01725429406417023,0.00023365644965835883,0.12640384755959025,0.22279241552206377,0.19970849420206405,0.0011902385138813777,0.16942061717054907,0.19994549759180966,0.1989579439859814,-0.041665563264917715,0.029013876801766845,-0.15688630374480292,-0.01805402680776935,-0.08959034063412531,0.08701843582810938,-0.07108844537860703,0.082979809507312,0.0006291063863043562
-15.9488,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13179474187957782,0.2320480660323561,0.20805292878803966,0.0012396929638556987,0.02796450855608281,0.010823376433779485,0.017266787226370636,0.00023344150673332967,0.12657567010114654,0.22285896261747476,0.19981403280803328,0.001190601122487013,0.1696059983803897,0.19997973757813176,0.1990630287968826,-0.04168784703210634,0.028958618945199244,-0.15698689231960689,-0.018069087726495552,-0.08965478065044055,0.08701843582810936,-0.07108844537860698,0.08299602041949143,0.0006274938062720859
-15.9424,0.98,0.9275,0.18457016958327818,0.1890754381357364,0.21564797971484811,0.13197378033752558,0.23211731420306364,0.20816289590078918,0.0012400699534449791,0.027985010947447393,0.010816674735639926,0.01727929018721119,0.0002332273976724191,0.12674761863615955,0.22292546856062231,0.19991964522311792,0.001190963183288558,0.1697914984286267,0.2000139122459446,0.19916818692758556,-0.04171014718095368,0.028903284521809448,-0.15708751176473032,-0.018084155267899034,-0.08971927232755855,0.08701843582810931,-0.07108844537860692,0.08301223066648884,0.000625886876192178
