Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated,mach_directory
1.1,0.09,300,0.1849919122211095,1.812993186489701e-09,1.393985097492001e-09,-6.056183159131033e-10,-390.8019862287168,390.80198362716976,-0.0511879488084386,0.035420558494177,1.5198578869747022e-09,-0.0511879482788666,-0.0354205587321909,350.8019862287168,1.0000000000000004e-06,0.2490981496515889,1.0,0.025,0.035420558494177,0.0354205587321909,3801,40.0,0.0166492720998998,350.80198362716976,1.0000000000000004e-06,0.2490981474962644,-8.652510929962887e-09,1e-06,2026-07-23T12:03:59.556119+00:00,converged,,2026-07-23T12:03:59.566888+00:00,M1p100000
1.1,0.095,300,0.1439719750936911,0.0185431702825212,1.584143580202202e-11,-2.8133474716529605e-11,-469.1344101243682,430.3647235213452,-0.0542919973534973,0.0294953915144685,3.228689343828538e-11,-0.0479790641461801,-0.0321610317218477,429.1344101243682,1.0000000000000004e-06,0.3141065187174923,1.0,0.025,0.0294953915144685,0.0321610317218477,3801,40.0,0.0136773376339006,390.3647235213452,1.0000000000000004e-06,0.283376662977033,-0.1029551826884307,1e-06,2026-07-23T12:03:59.729299+00:00,converged,,2026-07-23T12:03:59.739910+00:00,M1p100000
1.1,0.1,300,0.1408594531338783,0.0456244875305594,9.495754876853724e-12,-2.073539256963741e-11,-479.8582313018237,386.62766426135545,-0.0618105269168087,0.0288326571574398,2.2806268123002188e-11,-0.0454241080307937,-0.0358099939667297,439.8582313018237,1.0000000000000004e-06,0.3219918716881219,1.0,0.025,0.0288326571574398,0.0358099939667297,3801,40.0,0.0140859453133878,346.62766426135545,1.0000000000000004e-06,0.2459133620025908,-0.269547015102578,1e-06,2026-07-23T12:03:59.901110+00:00,converged,,2026-07-23T12:03:59.911622+00:00,M1p100000
1.1,0.105,300,0.1377614529920954,0.0614720572586166,4.03298922035944e-12,-2.27861098045512e-11,-480.11408157927,357.0035449501163,-0.067697365464161,0.0288156540397152,2.314026365616001e-11,-0.0444644536927534,-0.0387905493196528,440.11408157927,1.0000000000000004e-06,0.321957591615422,1.0,0.025,0.0288156540397152,0.0387905493196528,3801,40.0,0.01446495256417,317.0035449501163,1.0000000000000004e-06,0.2189813061024129,-0.3854334679029518,1e-06,2026-07-23T12:04:00.076492+00:00,converged,,2026-07-23T12:04:00.087082+00:00,M1p100000
1.1,0.11,300,0.1346775747592678,0.0737351788015254,1.0222280105720571e-09,-1.1353845988382183e-10,-478.0132069848958,332.9149786529104,-0.0731556201424022,0.0289411319761313,1.028514019093029e-09,-0.043897744620219,-0.0416062898576033,438.0132069848958,1.0000000000000004e-06,0.3201670054402473,1.0,0.025,0.0289411319761313,0.0416062898576033,3801,40.0,0.0148145332235194,292.9149786529104,9.99999999999999e-07,0.1962423208528207,-0.4894925251717152,1e-06,2026-07-23T12:04:00.239306+00:00,converged,,2026-07-23T12:04:00.249776+00:00,M1p100000
1.1,0.115,300,0.1316074319054831,0.0840064838857459,2.8469222465576927e-10,-4.103969247770678e-11,-475.1770450168399,312.3582392311435,-0.0784165712577249,0.0291129018782626,2.876350450451331e-10,-0.0434934412963479,-0.0443537244298275,435.1770450168399,1.0000000000000004e-06,0.3178283103010256,1.0,0.025,0.0291129018782626,0.0443537244298275,3801,40.0,0.0151348546691305,272.3582392311435,1.0000000000000004e-06,0.1763281962678036,-0.5891643221963307,1e-06,2026-07-23T12:04:00.411282+00:00,converged,,2026-07-23T12:04:00.421708+00:00,M1p100000
1.1,0.12,300,0.1285506661833083,0.0929554600078068,9.802851932971811e-11,-2.590224562615262e-11,-472.2332337133148,294.38943415018474,-0.0835705723987919,0.0292935011304048,1.013928840227679e-10,-0.0431619248179227,-0.0470706291875032,432.2332337133148,1.0000000000000004e-06,0.3154087577918979,1.0,0.025,0.0292935011304048,0.0470706291875032,3801,40.0,0.0154260799419969,254.38943415018477,1.0000000000000004e-06,0.1586206408998235,-0.6873539962774042,1e-06,2026-07-23T12:04:00.573886+00:00,converged,,2026-07-23T12:04:00.584348+00:00,M1p100000
1.1,0.125,300,0.1255069324594236,0.1009404428915874,3.8873314289755705e-11,-2.3969257134659472e-11,-469.4811675268793,278.4465744899616,-0.0886624701261071,0.0294643666786392,4.5669025076714186e-11,-0.0428590736317776,-0.0497758624351291,429.4811675268793,1.0000000000000004e-06,0.3131352865634362,1.0,0.025,0.0294643666786392,0.0497758624351291,3801,40.0,0.0156883665574279,238.4465744899616,1.000000000000002e-06,0.1427548196670808,-0.7855067116419598,1e-06,2026-07-23T12:04:00.743008+00:00,converged,,2026-07-23T12:04:00.753511+00:00,M1p100000
1.1,0.13,300,0.122475903263755,0.1081805050618824,1.5625424565346435e-11,-1.946076286230003e-11,-467.0794989829946,264.1517738652562,-0.0937176015893126,0.0296150224505368,2.4957467500329588e-11,-0.0425602670965523,-0.0524801832548656,427.0794989829946,1.0000000000000004e-06,0.3111308837017804,1.0,0.025,0.0296150224505368,0.0524801832548656,3801,40.0,0.0159218674242881,224.1517738652562,1.0000000000000004e-06,0.1284796968095602,-0.8844427811935762,1e-06,2026-07-23T12:04:00.908032+00:00,converged,,2026-07-23T12:04:00.918479+00:00,M1p100000
1.1,0.135,300,0.1194572670812644,0.114821536307718,5.166582439652956e-12,-1.926258805240444e-11,-465.1179328155336,251.23171213593957,-0.0987514954996763,0.0297390540824379,1.9943441843933676e-11,-0.0422506842244999,-0.0551902771138311,425.1179328155336,1.0000000000000004e-06,0.3094665214343221,1.0,0.025,0.0297390540824379,0.0551902771138311,3801,40.0,0.0161267310559706,211.23171213593957,1.0000000000000004e-06,0.1156052590862756,-0.9846684674038536,1e-06,2026-07-23T12:04:01.074485+00:00,converged,,2026-07-23T12:04:01.085015+00:00,M1p100000
