alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_corrected,ci_corrected,pinn_spectral_error,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,p_overlap_error_core40,fixed_c_total_seconds,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,cr_pinn_error,ci_pinn_error,cr_corrected_error,ci_corrected_error,modal_max,oracle_modal_max,modal_excess_over_oracle
0.05,-2.1381009935921505e-07,0.0025771484770576,0.0133663490414619,0.0049306126311421,4.4485875922239334e-07,0.0025741747598585,0.0135721699071776,3.045790315361057e-06,1.376301368876013e-06,12.407335940748451,80,False,Maximum number of function evaluations has been exceeded.,3.943741503414818e-05,0.0001229004785684,0.0005731883151503,6.762994608777716e-10,1.0812995918095112,2.7643254912812715e-06,0.0004342764199288,4.0246875652217633e-05,0.01336656285156126,0.0023534641540845004,6.586688585816084e-07,-2.9737171990998866e-06,0.0005731883151503,0.0004342764199288,0.00013891189522150004
0.055,-1.963662682691355e-07,0.0031382028597574,0.0112695395946502,0.0051173008978366,2.68553510623166e-07,0.0031364153859928,0.0114421928699505,1.846946902224048e-06,9.342426178780924e-07,12.77509131282568,80,False,Maximum number of function evaluations has been exceeded.,2.371736813846893e-05,6.35176968199393e-05,0.0002841054134531,2.4505253382045566e-10,1.0829038936644793,2.5148686860337995e-06,0.0002959106878039,3.022979436800595e-05,0.011269735960918468,0.0019790980380792003,4.649197788923015e-07,-1.7874737646000893e-06,0.0002841054134531,0.0002959106878039,-1.180527435080004e-05
0.06,-5.2656520336501e-08,0.0037616026999093,0.009134404361248,0.0053491415455937,1.8472143519371905e-07,0.0037606215365903,0.0092713852576631,1.0094700353523363e-06,5.85412289234876e-07,13.36752171255648,80,False,Maximum number of function evaluations has been exceeded.,1.2861858253333314e-05,3.0617339812559746e-05,0.0001289354109076,7.224332243538356e-11,1.1366204638034103,6.670389849636522e-07,6.079729669174557e-05,6.738619873139018e-06,0.009134457017768337,0.0015875388456844004,2.3737795553022004e-07,-9.81163318999976e-07,0.0001289354109076,6.079729669174557e-05,6.813811421585442e-05
0.065,5.318523598496773e-08,0.0044499855836279,0.0069447457790374,0.0056349895894527,9.804609984686249e-08,0.004449461340081,0.0070450684678164,5.26159475413042e-07,3.020278315966051e-07,14.298894837498665,80,False,Maximum number of function evaluations has been exceeded.,6.672095737822087e-06,1.4804300295502577e-05,5.654201824310516e-05,1.9511947613182198e-11,1.2650494677945971,1.0340575359872565e-07,4.488860030126586e-06,1.176139457458695e-07,0.006944692593801415,0.0011850040058247998,4.4860863861894756e-08,-5.242435469005394e-07,5.654201824310516e-05,4.488860030126586e-06,5.205315821297858e-05
0.07,2.448412287104524e-08,0.0052061575793201,0.004690483212471,0.0059856153093278,3.939277485169781e-08,0.0052059055200723,0.0047547825854823,2.5249976692769586e-07,1.1993970219276858e-07,13.926616674289107,80,False,Maximum number of function evaluations has been exceeded.,3.220429012860433e-06,7.42221258482816e-06,2.309410557048432e-05,4.5774495305295204e-12,1.2137906225398185,1.372718269643871e-07,3.937562660009216e-06,1.4596386572701453e-07,0.004690458728348129,0.0007794577300077,1.490865198065257e-08,-2.52059247800307e-07,2.309410557048432e-05,3.937562660009216e-06,1.9156542910475105e-05
0.075,-9.544762484683384e-09,0.0060334923763868,0.0023701563477516,0.0064140213653445,3.502947648467356e-07,0.0060334699643593,0.0024005184168163,3.605368003472024e-07,1.820239169395986e-07,13.847697239369154,80,False,Maximum number of function evaluations has been exceeded.,4.410698775356626e-06,8.1661459770425e-06,2.8308301749524453e-05,8.55993054216242e-12,1.2069255840033293,2.054167249724511e-07,6.385312647612493e-06,7.824022445767656e-07,0.002370165892514085,0.0003805289889577002,3.59839527331419e-07,-2.241202749948823e-08,2.8308301749524453e-05,6.385312647612493e-06,2.1922989101911958e-05
0.08,-9.711206350131143e-09,0.0069360107429715,-6.839632987976074e-06,0.0069356895983219,5.6277111374692794e-08,0.0069360041658839,6.837467764391657e-06,6.631527845413543e-08,2.8364777741509107e-08,13.729856708087029,80,False,Maximum number of function evaluations has been exceeded.,8.283349257889336e-07,3.2803949322966595e-06,4.529838602803264e-06,3.099742684753437e-13,1.2108315266668797,2.488389797752023e-07,5.261457135998624e-06,7.139184476516314e-07,-6.829921781625943e-06,-3.2114464959976524e-07,6.598831772482394e-08,-6.577087599372866e-09,4.529838602803264e-06,5.261457135998624e-06,-7.316185331953606e-07
0.085,-3.258289311069424e-09,0.0079182452555799,-0.0024187937378883,0.0075688217766582,2.940776499083019e-07,0.0079182485553654,0.0024438993743238,2.973542488948783e-07,1.480141728904581e-07,13.688842518255116,80,False,Maximum number of function evaluations has been exceeded.,3.5194681813346348e-06,5.865919430787891e-06,1.7645617501245752e-05,5.487610366117224e-12,1.2109394436702132,2.892798450073311e-07,3.071594155021661e-06,3.5953221300410374e-07,-0.002418790479598989,-0.0003494234789216998,2.9733593921937134e-07,3.2997855003991106e-09,1.7645617501245752e-05,3.071594155021661e-06,1.4574023346224091e-05
0.09,1.4646562006685288e-10,0.0089853661922371,-0.0048312172293663,0.0083344131708145,1.0175665673960118e-06,0.0089853669077826,0.0048748744772188,1.0174203533953732e-06,5.040406766829905e-07,13.815677165985107,80,False,Maximum number of function evaluations has been exceeded.,1.1862905734054283e-05,1.714294933820457e-05,5.296248016286315e-05,6.235967298096057e-11,1.2122516743838787,3.621990741008113e-07,2.6402263932337054e-06,3.634091528965256e-07,-0.00483121737583192,-0.0006509530214225991,1.017420101775945e-06,7.155455013230227e-10,5.296248016286315e-05,2.6402263932337054e-06,5.0322253769629446e-05
0.095,8.092975981496505e-10,0.0101433175874361,-0.0071979090571403,0.0092561887577176,1.886761559808402e-06,0.0101433141641453,0.0072523723019355,1.8859553691048112e-06,9.159234338199756e-07,13.813538561575117,80,False,Maximum number of function evaluations has been exceeded.,2.160162380282533e-05,2.9780159722701024e-05,8.666495252674527e-05,2.0731649730265642e-10,1.2264497764408588,4.463471487206252e-07,2.7828970967365707e-06,4.478082917054172e-07,-0.007197909866437899,-0.0008871288297184997,1.8859522622102523e-06,-3.4232908001363693e-09,8.666495252674527e-05,2.7828970967365707e-06,8.388205543000871e-05
