chart_id,Mach,eta,alpha,technical_success,error,gep_regime,N,ci_ref,ci_pinn,n_admissible,oracle_raw_index,oracle_cr,oracle_ci,naive_central_fallback,pinn_seeded_raw_index,pinn_seeded_cr,pinn_seeded_ci,pinn_seeded_ci_abs_err,pinn_seeded_ci_scaled_err,pinn_seeded_matches_oracle,pinn_seeded_noncentral,pinn_seeded_p_rel_classic,pinn_seeded_rho_rel_classic,pinn_seeded_u_rel_classic,pinn_seeded_v_rel_classic,pinn_seeded_p_overlap_classic,pinn_seeded_p_overlap_defect,pinn_seeded_modal_rel_max,naive_central_growth_raw_index,naive_central_growth_cr,naive_central_growth_ci,naive_central_growth_ci_abs_err,naive_central_growth_ci_scaled_err,naive_central_growth_matches_oracle,naive_central_growth_noncentral,naive_central_growth_p_rel_classic,naive_central_growth_rho_rel_classic,naive_central_growth_u_rel_classic,naive_central_growth_v_rel_classic,naive_central_growth_p_overlap_classic,naive_central_growth_p_overlap_defect,naive_central_growth_modal_rel_max,naive_max_growth_raw_index,naive_max_growth_cr,naive_max_growth_ci,naive_max_growth_ci_abs_err,naive_max_growth_ci_scaled_err,naive_max_growth_matches_oracle,naive_max_growth_noncentral,naive_max_growth_p_rel_classic,naive_max_growth_rho_rel_classic,naive_max_growth_u_rel_classic,naive_max_growth_v_rel_classic,naive_max_growth_p_overlap_classic,naive_max_growth_p_overlap_defect,naive_max_growth_modal_rel_max
ULTRALOW_M002_006_eta002_006,0.02,0.025,0.0249949994998999,True,,longwave_map10_N301,301,0.9560264285421692,0.9552942995984184,1,601,2.2107566044886978e-13,0.9562284713158048,False,601,2.2107566044886978e-13,0.9562284713158048,0.0002020427736356,0.0002113359710607,True,False,1.0248794645411756e-05,1.0248794645405527e-05,0.0007602196058202,0.0001546311466695,0.999999999947481,,,601,2.2107566044886978e-13,0.9562284713158048,0.0002020427736356,0.0002113359710607,True,False,1.0248794645411756e-05,1.0248794645405527e-05,0.0007602196058202,0.0001546311466695,0.999999999947481,,,601,2.2107566044886978e-13,0.9562284713158048,0.0002020427736356,0.0002113359710607,True,False,1.0248794645411756e-05,1.0248794645405527e-05,0.0007602196058202,0.0001546311466695,0.999999999947481,,
ULTRALOW_M002_006_eta002_006,0.02,0.04,0.0399919991998399,True,,longwave_map10_N301,301,0.9308073252554292,0.9221321769658728,1,601,-1.3158845843152781e-14,0.9310093166211754,False,601,-1.3158845843152781e-14,0.9310093166211754,0.0002019913657462,0.0002170066352785,True,False,1.4494327898611426e-05,1.4494327898609485e-05,0.0007820103566636,0.0001571743396529,0.9999999998949576,,,601,-1.3158845843152781e-14,0.9310093166211754,0.0002019913657462,0.0002170066352785,True,False,1.4494327898611426e-05,1.4494327898609485e-05,0.0007820103566636,0.0001571743396529,0.9999999998949576,,,601,-1.3158845843152781e-14,0.9310093166211754,0.0002019913657462,0.0002170066352785,True,False,1.4494327898611426e-05,1.4494327898609485e-05,0.0007820103566636,0.0001571743396529,0.9999999998949576,,
ULTRALOW_M002_006_eta002_006,0.02,0.055,0.0549889988997799,True,,longwave_map10_N301,301,0.9062347129768312,0.8886554745744017,1,601,5.6144949683213037e-14,0.906446643103156,False,601,5.6144949683213037e-14,0.906446643103156,0.0002119301263246,0.0002338578773136,True,False,1.7762331810959643e-05,1.776233181096278e-05,0.0008220390614752,0.0001669572147417,0.9999999998422496,,,601,5.6144949683213037e-14,0.906446643103156,0.0002119301263246,0.0002338578773136,True,False,1.7762331810959643e-05,1.776233181096278e-05,0.0008220390614752,0.0001669572147417,0.9999999998422496,,,601,5.6144949683213037e-14,0.906446643103156,0.0002119301263246,0.0002338578773136,True,False,1.7762331810959643e-05,1.776233181096278e-05,0.0008220390614752,0.0001669572147417,0.9999999998422496,,
LMEDGE_VLOW,0.02,0.06,0.0599879987997599,True,,longwave_map10_N301,301,0.8981789705576851,0.9030195927578332,138,601,4.409693403841688e-14,0.8983997335116688,False,601,4.409693403841688e-14,0.8983997335116688,0.0002207629539836,0.0002457894932082,True,False,1.8780400974015943e-05,1.878040097401353e-05,0.0008382224149555,0.0001741144517568,0.9999999998236482,,,601,4.409693403841688e-14,0.8983997335116688,0.0002207629539836,0.0002457894932082,True,False,1.8780400974015943e-05,1.878040097401353e-05,0.0008382224149555,0.0001741144517568,0.9999999998236482,,,601,4.409693403841688e-14,0.8983997335116688,0.0002207629539836,0.0002457894932082,True,False,1.8780400974015943e-05,1.878040097401353e-05,0.0008382224149555,0.0001741144517568,0.9999999998236482,,
LMEDGE_VLOW,0.02,0.09,0.0899819981996399,True,,longwave_map10_N301,301,0.85127696296673,0.8512805972269415,161,600,6.402406931570945e-14,0.8515214514808228,False,600,6.402406931570945e-14,0.8515214514808228,0.0002444885140927,0.0002872020796154,True,False,2.5346931328777832e-05,2.5346931328778604e-05,0.000906698754956,0.0001975903808248,0.9999999996787664,,,600,6.402406931570945e-14,0.8515214514808228,0.0002444885140927,0.0002872020796154,True,False,2.5346931328777832e-05,2.5346931328778604e-05,0.000906698754956,0.0001975903808248,0.9999999996787664,,,600,6.402406931570945e-14,0.8515214514808228,0.0002444885140927,0.0002872020796154,True,False,2.5346931328777832e-05,2.5346931328778604e-05,0.000906698754956,0.0001975903808248,0.9999999996787664,,
LMEDGE_VLOW,0.02,0.12,0.1199759975995198,True,,longwave_map10_N301,301,0.8066308570431597,0.8109694838349029,151,600,8.408661140480268e-14,0.8068967879228098,False,600,8.408661140480268e-14,0.8068967879228098,0.0002659308796501,0.0003296810149625,True,False,3.368535721401241e-05,3.3685357214008e-05,0.0009782494048743,0.000221185696685,0.9999999994326484,,,600,8.408661140480268e-14,0.8068967879228098,0.0002659308796501,0.0003296810149625,True,False,3.368535721401241e-05,3.3685357214008e-05,0.0009782494048743,0.000221185696685,0.9999999994326484,,,600,8.408661140480268e-14,0.8068967879228098,0.0002659308796501,0.0003296810149625,True,False,3.368535721401241e-05,3.3685357214008e-05,0.0009782494048743,0.000221185696685,0.9999999994326484,,
LMEDGE_LOW,0.02,0.155,0.1549689968993798,True,,standard_N301,301,0.7571662569924461,0.7435237429673394,153,601,6.184440652885107e-14,0.7572212092830393,False,601,6.184440652885107e-14,0.7572212092830393,5.495229059315765e-05,7.257625400719076e-05,True,False,5.849578505845445e-05,5.84957850584557e-05,0.0002768289565096,7.181463927940487e-05,0.9999999982891216,,,601,6.184440652885107e-14,0.7572212092830393,5.495229059315765e-05,7.257625400719076e-05,True,False,5.849578505845445e-05,5.84957850584557e-05,0.0002768289565096,7.181463927940487e-05,0.9999999982891216,,,601,6.184440652885107e-14,0.7572212092830393,5.495229059315765e-05,7.257625400719076e-05,True,False,5.849578505845445e-05,5.84957850584557e-05,0.0002768289565096,7.181463927940487e-05,0.9999999982891216,,
LMEDGE_LOW,0.02,0.26,0.2599479947989597,True,,standard_N301,301,0.6230435077651946,0.6230342076057203,1,601,-3.2651036393327825e-15,0.623103230134125,False,601,-3.2651036393327825e-15,0.623103230134125,5.972236893048155e-05,9.5855856270296e-05,True,False,5.9253214410459226e-05,5.925321441045791e-05,0.0003417462104938,8.087943061243178e-05,0.999999998244528,,,601,-3.2651036393327825e-15,0.623103230134125,5.972236893048155e-05,9.5855856270296e-05,True,False,5.9253214410459226e-05,5.925321441045791e-05,0.0003417462104938,8.087943061243178e-05,0.999999998244528,,,601,-3.2651036393327825e-15,0.623103230134125,5.972236893048155e-05,9.5855856270296e-05,True,False,5.9253214410459226e-05,5.925321441045791e-05,0.0003417462104938,8.087943061243178e-05,0.999999998244528,,
LMEDGE_LOW,0.02,0.365,0.3649269926985396,True,,standard_N301,301,0.5061694866668789,0.5138510309363671,151,601,-4.0572700004059766e-14,0.50624940302243,False,601,-4.0572700004059766e-14,0.50624940302243,7.991635555115728e-05,0.0001578845775105,True,False,5.8070632474298335e-05,5.807063247429909e-05,0.0004547440839388,9.756555471639102e-05,0.9999999983139012,,,601,-4.0572700004059766e-14,0.50624940302243,7.991635555115728e-05,0.0001578845775105,True,False,5.8070632474298335e-05,5.807063247429909e-05,0.0004547440839388,9.756555471639102e-05,0.9999999983139012,,,601,-4.0572700004059766e-14,0.50624940302243,7.991635555115728e-05,0.0001578845775105,True,False,5.8070632474298335e-05,5.807063247429909e-05,0.0004547440839388,9.756555471639102e-05,0.9999999983139012,,
LMEDGE_MID,0.02,0.375,0.3749249924984996,True,,standard_N301,301,0.4957796853448045,0.4918635248315199,145,600,1.7648291522629653e-14,0.4958625496511447,False,600,1.7648291522629653e-14,0.4958625496511447,8.286430634019126e-05,0.000167139374181,True,False,5.700660674848525e-05,5.700660674848529e-05,0.0004686270620695,9.94991556481588e-05,0.9999999983751232,,,600,1.7648291522629653e-14,0.4958625496511447,8.286430634019126e-05,0.000167139374181,True,False,5.700660674848525e-05,5.700660674848529e-05,0.0004686270620695,9.94991556481588e-05,0.9999999983751232,,,600,1.7648291522629653e-14,0.4958625496511447,8.286430634019126e-05,0.000167139374181,True,False,5.700660674848525e-05,5.700660674848529e-05,0.0004686270620695,9.94991556481588e-05,0.9999999983751232,,
