method,n_points,oracle_match_fraction,n_oracle_mismatch,n_noncentral,ci_scaled_median,ci_scaled_p95,ci_scaled_p99,ci_scaled_max,fraction_ci_below_1pct,n_ci_catastrophic_10pct,overlap_defect_p95,overlap_defect_max,modal_rel_max_p95,modal_rel_max_max
pinn_seeded,372,1.0,0,0,0.00024950042691585,0.003870122592428424,0.014603631316252941,0.0411487717847321,0.978494623655914,0,,,,
naive_central_growth,372,1.0,0,0,0.00024950042691585,0.003870122592428424,0.014603631316252941,0.0411487717847321,0.978494623655914,0,,,,
naive_max_growth,372,0.9650537634408602,13,13,0.0002519718000714,0.008364026193257088,0.41992853609741554,0.756138645773677,0.9543010752688172,11,,,,
