Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.1,0.92,0.9153884421380905,0.0517956795109382,0.1,0.92,modal_pretraining,394,340
0.1,0.98,0.9750876883644876,0.0127597747777439,0.1,0.98,modal_pretraining,400,340
0.15,0.95,0.9392516968310464,0.0319553262443919,0.15,0.95,modal_pretraining,429,340
0.2,0.935,0.9161091638009088,0.0413925096494141,0.2,0.935,modal_pretraining,478,340
0.2,0.98,0.9601999791710056,0.01258520004041,0.2,0.98,modal_pretraining,483,340
0.25,0.935,0.9053098571759838,0.041018101199211,0.25,0.935,modal_pretraining,503,340
0.25,0.98,0.9488809198208172,0.0124805311876344,0.25,0.98,modal_pretraining,508,340
0.3,0.96,0.9157816333602676,0.0247827234854596,0.3,0.96,joint_training,564,340
0.35,0.92,0.861809723778979,0.0493454130293556,0.35,0.92,modal_pretraining,593,340
0.35,0.98,0.9180147057645646,0.0121536202788561,0.35,0.98,modal_pretraining,599,340
0.4,0.92,0.8431939278718746,0.0485264040463945,0.4,0.92,modal_pretraining,644,340
0.4,0.98,0.8981848362113446,0.0119764953759873,0.4,0.98,modal_pretraining,650,340
