condition,n_seeds,technical_success_total,target_recovery_total,direct_mean_mean,direct_mean_sample_sd,direct_median_mean,direct_median_sample_sd,direct_p95_mean,direct_p95_sample_sd,direct_max_mean,direct_max_sample_sd,corrected_median_mean,corrected_median_sample_sd,corrected_p95_mean,corrected_p95_sample_sd,corrected_max_mean,corrected_max_sample_sd
Anchors-only,3,192,189,0.008782244380842357,9.278182168051217e-05,0.004117297791039605,0.0007285923021345773,0.027936831492097,0.0033044778701346303,0.09310309201702367,0.0016600310917972928,3.493603815517529e-06,2.0973835539473158e-07,8.294319312100767e-06,1.2228121376323144e-06,1.534169268868654e-05,7.848579375582383e-07
Physics-informed,3,192,189,0.0087549380207102,2.013880666872995e-05,0.003985335440419306,0.001054145875142231,0.02799048763783306,0.003229744146412393,0.09304655459045032,0.0016752708606691705,3.374953531176084e-06,1.2377550931759535e-07,7.725703538374312e-06,6.632269249200659e-07,1.0175726602723039e-05,1.6330058456625358e-07
