condition,seed,tag,direct_mean,direct_median,direct_p95,direct_max,technical_success,target_recovery,corrected_median,corrected_p95,corrected_max
Anchors-only,1,N76_anchors_only,0.008800932226825445,0.0049373687507851295,0.024459400661292003,0.09467834601538717,64,63,3.702061182426597e-06,7.294650980779944e-06,1.6247738028679263e-05
Anchors-only,2,N76_anchors_only_seed2,0.008681541059080141,0.003869925947134764,0.031035760165387633,0.09326131614577568,64,63,3.2826075229313374e-06,9.657731467555147e-06,1.4906372096429124e-05
Anchors-only,3,N76_anchors_only_seed3,0.008864259856621485,0.0035445986751989223,0.028315333649611366,0.09136961388990816,64,63,3.496142741194652e-06,7.93057548796721e-06,1.4870967940951234e-05
Physics-informed,1,N76_fullc_seed1,0.008765411373276886,0.005170293210086174,0.024589877517898817,0.0946409391613922,64,63,3.502006412582551e-06,7.256830752933359e-06,1.0327437658335198e-05
Physics-informed,2,N76_fullc_seed2,0.008767681978413199,0.0036339578603500153,0.031016739665229772,0.09319803813821435,64,63,3.3681152788507283e-06,8.484533568778884e-06,1.0196849926340674e-05
Physics-informed,3,N76_fullc_seed3,0.00873172071044051,0.003151755250821729,0.028364845730370587,0.0913006864717444,64,63,3.2547389020949725e-06,7.435746293410693e-06,1.0002892223493242e-05
