task_index,role,Mach,alpha,modal_setting,is_modal_reference,p_rel_l2_core,p_rel_l2_amp_mask,modulus_rel_l2_amp_mask,kappa_rel_l2_amp_mask,q_rel_l2_amp_mask,alignment_real,alignment_imag,comparison_core_limit,comparison_amplitude_threshold
28,peak_growth,1.55,0.145,modal_coarse,False,1.6846335111392717e-05,1.6846335111392717e-05,8.874973232678363e-06,7.369179500732506e-05,4.710942167566347e-05,1.0000087190886826,-7.485016617472753e-06,20.0,0.001
28,peak_growth,1.55,0.145,modal_nominal,False,3.456020440289322e-06,3.456020440289322e-06,1.8891094927804574e-06,1.5244321111303929e-05,9.741186881847849e-06,1.000001857951085,-1.4968925399329104e-06,20.0,0.001
28,peak_growth,1.55,0.145,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
