alpha,eta,Mach,chart_id,chart_status,N,ci_classic,ci_seed,ci_seed_abs_err,ci_seed_rel_err,selection_source,n_finite_modes,gep_cr,gep_ci,ci_gep_abs_err,ci_gep_rel_err,p_rel,rho_rel,u_rel,v_rel,p_overlap,success,point_id,sample_group,selected_source,chart_path,gep_regime,mapping_scale,xi_max,continuation_required,checkpoint_path,n_ci_anchors,ci_idw_eta_scale,ci_idw_mach_scale,ci_idw_power,traceback,shard_file,is_near_neutral,non_neutral_pass,neutral_provisional_pass
0.9762942611706252,0.9776970107962872,0.0535484745043061,LMEDGE_NEUTRAL3,ci_only,401,0.0142637464794568,0.0130140053931179,0.0012497410863388,0.0876166081708459,nearest_to_target,169,-3.2569955731217364e-12,0.0133817480388716,0.0008819984405851,0.0618349773571389,0.00040009718477,0.00040009718477,0.0039879632945678,0.0011424138777781,0.999999920102952,True,OFFGRID_0382,near_neutral,fullrect,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL3_ciIDW_EVALFIX,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL3_ciIDW_EVALFIX/model_best.pt,25.0,0.25,0.25,4.0,,offgrid_shard_09.csv,True,False,False
0.9592030994403924,0.9622660267073436,0.0797241493944497,LOWM_EXT_NEUTRAL3,planned,401,0.0241932885154854,0.0226077811146066,0.0015855074008787,0.065535009838119,nearest_to_target,3,2.7708912045237666e-13,0.0241028658968724,9.042261861300084e-05,0.0037375083819268,5.7471703217729015e-05,5.747170321772701e-05,0.001808829659895,0.000122914115599,0.99999999834993,True,OFFGRID_0180,uniform_full_domain,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL3_M0.05_0.10_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL3_M0.05_0.10_eta0.92_0.98_ciIDW/model_best.pt,20.0,0.25,0.25,4.0,,,True,True,True
0.9730997917636888,0.9765661897392414,0.0841816887834914,LOWM_EXT_NEUTRAL3,planned,401,0.0149691322496112,0.0128953841770565,0.0020737480725546,0.1385349556657509,nearest_to_target,196,1.4470987404900045e-12,0.0142157592187101,0.000753373030901,0.0503284371023334,0.0003399997195575,0.0003399997195575,0.003549974074108,0.0009760516997998,0.9999999423022544,True,OFFGRID_0370,near_neutral,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL3_M0.05_0.10_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL3_M0.05_0.10_eta0.92_0.98_ciIDW/model_best.pt,20.0,0.25,0.25,4.0,,,True,False,False
0.9452554582659508,0.960638057686756,0.1782396798782073,NEUTRAL3_LOWM,validated,401,0.0249856596744175,0.0234166452020575,0.00156901447236,0.0627965998418904,nearest_to_target,280,-5.261210640940059e-13,0.0249164146615995,6.924501281797141e-05,0.0027713902182406,5.012014853475232e-05,5.012014853475472e-05,0.0017497843168921,9.763868878788972e-05,0.9999999987447666,True,OFFGRID_0373,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_07.csv,True,True,True
0.9490107862826334,0.9685290740066268,0.1997470600380695,NEUTRAL3_LOWM,validated,401,0.0198837257976954,0.0220500608911302,0.0021663350934348,0.1089501593150071,nearest_to_target,83,-3.309827953318461e-12,0.0196279527625373,0.000255773035158,0.0128634360461631,0.0001154633651341,0.0001154633651341,0.0020807336997395,0.0003336402160388,0.9999999933447224,True,OFFGRID_0341,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_08.csv,True,False,True
0.9491789306838502,0.9789789476453388,0.2448534336230221,NEUTRAL3_LOWM,validated,401,0.0131303433632647,0.0124847287878838,0.0006456145753809,0.0491696643049843,nearest_to_target,336,-2.992706434288725e-12,0.0119881270679292,0.0011422162953354,0.0869905884206419,0.0004740281094086,0.0004740281094086,0.0047920128401535,0.0014912962318669,0.9999998878529645,True,OFFGRID_0322,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_09.csv,True,False,False
0.934913635222111,0.9650177633706548,0.2478258928101559,NEUTRAL3_LOWM,validated,401,0.0219135294097812,0.0219141144722446,5.850624634796964e-07,2.6698687032064805e-05,nearest_to_target,93,1.9575741567242373e-12,0.0217625412871124,0.0001509881226687,0.0068901782020283,7.322401567954489e-05,7.32240156795403e-05,0.0018550877772093,0.0001997066215041,0.999999997322574,True,OFFGRID_0365,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_10.csv,True,True,True
0.9397164215248688,0.9744862965571996,0.2647401391675447,NEUTRAL3_LOWM,validated,401,0.0159030354601213,0.0144761144533222,0.0014269210067991,0.0897263299435678,nearest_to_target,288,-3.828379087603841e-14,0.0152855047740524,0.0006175306860689,0.0388309947253427,0.0002530156705368,0.0002530156705368,0.0030222633633724,0.0008068631513464,0.9999999680489304,True,OFFGRID_0323,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_11.csv,True,False,False
0.9326660991786896,0.9706274886052368,0.276930860717769,NEUTRAL3_LOWM,validated,401,0.0182655862604888,0.019872566730487,0.0016069804699982,0.0879785870040402,nearest_to_target,301,2.840295165815696e-12,0.0179061105625688,0.00035947569792,0.0196804905571335,0.0001485923323384,0.0001485923323384,0.0022849467435091,0.0004705058292059,0.9999999889790636,True,OFFGRID_0113,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_12.csv,True,False,True
0.9233003226084368,0.9705524666540684,0.3082228635003871,NEUTRAL3_LOWM,validated,401,0.0181770771779812,0.0204510915617348,0.0022740143837535,0.1251034124731671,nearest_to_target,116,-3.451622717387863e-12,0.0178052582313394,0.0003718189466418,0.0204553759111649,0.0001485883983246,0.0001485883983246,0.0022893511003049,0.0004881614872271,0.9999999889798112,True,OFFGRID_0340,near_neutral,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,near_neutral_N401,5.0,0.98,True,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,35.0,0.02,0.08,4.0,,offgrid_shard_13.csv,True,False,True
