case_id,regime,Mach,alpha,reference_cr,reference_ci,reference_omega_i,validation_status,spectral_source,modal_source,branch_identifier,selection_rule,source_mach_lower,source_mach_upper,selection_rank
subsonic_M050,subsonic,0.5,0.44,0.0,0.3175102854705841,0.13970452560705698,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.50_from_M0.49_M0.56,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.4899999999999999,0.5599999999999999,2
subsonic_M050,subsonic,0.5,0.3,0.0,0.446443396165618,0.1339330188496854,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.50_from_M0.49_M0.56,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.4899999999999999,0.5599999999999999,3
subsonic_M060,subsonic,0.6,0.37,0.0,0.3289439965954024,0.1217092787402989,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.60_from_M0.56_M0.63,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.5599999999999999,0.6299999999999999,1
subsonic_M060,subsonic,0.6,0.3,0.0,0.39381169401294075,0.11814350820388222,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.60_from_M0.56_M0.63,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.5599999999999999,0.6299999999999999,2
subsonic_M060,subsonic,0.6,0.44,0.0,0.2682322755315788,0.11802220123389467,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.60_from_M0.56_M0.63,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.5599999999999999,0.6299999999999999,3
subsonic_M070,subsonic,0.7,0.3,0.0,0.3329231859904993,0.0998769557971498,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.70_from_M0.70_M0.70,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7,0.7,1
subsonic_M070,subsonic,0.7,0.37,0.0,0.2686913118810179,0.09941578539597663,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.70_from_M0.70_M0.70,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7,0.7,2
subsonic_M070,subsonic,0.7,0.23,0.0,0.4021630835565121,0.09249750921799778,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.70_from_M0.70_M0.70,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7,0.7,3
subsonic_M080,subsonic,0.8,0.3,0.0,0.25613685136053216,0.07684105540815965,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.80_from_M0.77_M0.84,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7699999999999999,0.8399999999999999,1
subsonic_M080,subsonic,0.8,0.23,0.0,0.3282931534584987,0.0755074252954547,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.80_from_M0.77_M0.84,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7699999999999999,0.8399999999999999,2
subsonic_M080,subsonic,0.8,0.37,0.0,0.18895739907042491,0.06991423765605721,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.80_from_M0.77_M0.84,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.7699999999999999,0.8399999999999999,3
subsonic_M090,subsonic,0.9,0.23,0.0,0.233962031877509,0.05381126733182707,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.90_from_M0.84_M0.91,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.8399999999999999,0.91,1
subsonic_M090,subsonic,0.9,0.16,0.0,0.3234909828163847,0.051758557250621555,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.90_from_M0.84_M0.91,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.8399999999999999,0.91,2
subsonic_M090,subsonic,0.9,0.3,0.0,0.1462614503918706,0.04387843511756118,canonical_M_interpolation_spectral_modal_reconstructible,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,classical_solver.subsonic.mstab17_subsonic_solver:Mstab17SubsonicSolver,subsonic_cr0_M0.90_from_M0.84_M0.91,max(alpha*ci) on canonical alpha grid after linear Mach interpolation,0.8399999999999999,0.91,3
