alpha,eta,Mach,chart_id,chart_status,N,ci_classic,ci_seed,ci_seed_abs_err,ci_seed_rel_err,selection_source,n_finite_modes,gep_cr,gep_ci,ci_gep_abs_err,ci_gep_rel_err,p_rel,rho_rel,u_rel,v_rel,p_overlap,success,point_id,sample_group,selected_source,chart_path,gep_regime,mapping_scale,xi_max,continuation_required,checkpoint_path,n_ci_anchors,ci_idw_eta_scale,ci_idw_mach_scale,ci_idw_power,traceback,shard_file,ci_forward,ci_backward,forward_backward_ci_abs,forward_backward_overlap,minimum_adjacent_overlap,continuation_status,reference_status,manual_resolution,manual_resolution_reason,ci_selected,ci_selected_source,ci_classic_raw,ci_cont_abs_err_vs_classic,ci_cont_rel_err_vs_classic,p_rel_cont_vs_classic,rho_rel_cont_vs_classic,u_rel_cont_vs_classic,v_rel_cont_vs_classic,p_overlap_cont_vs_classic,ci_final,ci_final_source,p_rel_final,rho_rel_final,u_rel_final,v_rel_final,p_overlap_final,ci_final_abs_err_vs_raw_classic,ci_final_rel_err_vs_raw_classic,ci_ref,ci_seed_1234,error_seed_1234,ci_seed_2345,error_seed_2345,ci_seed_3456,error_seed_3456,ci_seed_std,ci_seed_range,chart_evaluated
0.30810468893147,0.4182804570652573,0.6763304594873472,MID,validated,301,0.3407368893973738,0.3408869998675579,0.000150110470184,0.0004405465767137,nearest_to_target,200,-4.5908446199705584e-14,0.3408148990265358,7.800962916199028e-05,0.0002289438906951,5.50917037865066e-05,5.509170378650947e-05,0.0004761831926085,0.0001116126190733,0.9999999984824974,True,OFFGRID_0009,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_01.csv,,,,,,,,,,,,,,,,,,,,0.3408148990265358,independent_GEP,5.50917037865066e-05,5.509170378650947e-05,0.0004761831926085,0.0001116126190733,0.9999999984824974,7.800962916199028e-05,0.0002289438906951,0.3407368893973738,0.3408130126977885,0.00022340786332047455,0.3408428955124933,0.0003111084194816679,0.340801237165468,0.00018884884524251178,2.147503842833984e-05,4.165834702529736e-05,MID
0.529435789490228,0.5408892901350852,0.2047003526912378,MID,validated,301,0.3307722596746358,0.3236233502791587,0.0071489093954771,0.0216127839816711,nearest_to_target,58,8.209022761779305e-16,0.3308334473044839,6.118762984802517e-05,0.0001849841637512,6.128885946199426e-05,6.128885946199508e-05,0.0006602114518002,9.344733522998668e-05,0.9999999981219624,True,OFFGRID_0018,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_15.csv,,,,,,,,,,,,,,,,,,,,0.3308334473044839,independent_GEP,6.128885946199426e-05,6.128885946199508e-05,0.0006602114518002,9.344733522998668e-05,0.9999999981219624,6.118762984808068e-05,0.0001849841637514,0.3307722596746358,0.33055708602743245,0.0006505190230130393,0.3303602173407818,0.0012456979743685486,0.3302837715035538,0.0014768111798809625,0.0001410095001386077,0.00027331452387863164,MID
0.4424054080062347,0.493524502108508,0.4432048647487286,MID,validated,301,0.3393883734890378,0.3414699647996799,0.002081591310642,0.0061333606960148,nearest_to_target,66,5.101195096057748e-16,0.3394469331540602,5.855966502238408e-05,0.0001725446998091,5.354602193625057e-05,5.354602193625241e-05,0.0005718852245201,8.738262704052634e-05,0.9999999985664229,True,OFFGRID_0021,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_01.csv,,,,,,,,,,,,,,,,,,,,0.3394469331540602,independent_GEP,5.354602193625057e-05,5.354602193625241e-05,0.0005718852245201,8.738262704052634e-05,0.9999999985664229,5.855966502243959e-05,0.0001725446998093,0.3393883734890378,0.3394683745872315,0.0002357213871862678,0.3394666519810918,0.0002306457680011827,0.33944177147799914,0.00015733594056984565,1.4886975442123475e-05,2.6603109232359312e-05,MID
0.4226514577900597,0.5491555067506325,0.6384793764456663,MID,validated,301,0.2618656717590541,0.2706208856171721,0.008755213858118,0.0334339884999275,nearest_to_target,203,7.048586441093015e-14,0.2619174397910618,5.176803200768188e-05,0.0001976892643466,5.9198819338006165e-05,5.919881933800753e-05,0.0006017107033715,9.241691486274972e-05,0.9999999982477664,True,OFFGRID_0024,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_13.csv,,,,,,,,,,,,,,,,,,,,0.2619174397910618,independent_GEP,5.9198819338006165e-05,5.919881933800753e-05,0.0006017107033715,9.241691486274972e-05,0.9999999982477664,5.176803200768188e-05,0.0001976892643466,0.2618656717590541,0.2617905955387053,0.00028669745004943065,0.26177878436552693,0.00033180138864149003,0.2617985386401368,0.000256364717323802,9.940053970033132e-06,1.9754274609873335e-05,MID
0.3634548626414812,0.3867364352175731,0.3417252557267207,MID,validated,301,0.4490535070895509,0.4452939370016121,0.0037595700879387,0.0083722096110676,nearest_to_target,225,2.479367221411845e-14,0.4491011196367235,4.7612547172615205e-05,0.000106028672354,5.9371155366357005e-05,5.937115536635776e-05,0.0004380161134144,8.077105452385919e-05,0.9999999982375364,True,OFFGRID_0032,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_11.csv,,,,,,,,,,,,,,,,,,,,0.4491011196367235,independent_GEP,5.9371155366357005e-05,5.937115536635776e-05,0.0004380161134144,8.077105452385919e-05,0.9999999982375364,4.7612547172615205e-05,0.000106028672354,0.4490535070895509,0.44933331881613675,0.0006231144444220213,0.4493756946247691,0.0007174813917085861,0.44926994806193254,0.00048199372449950965,5.3219509576542366e-05,0.0001057465628365728,MID
0.459701904351616,0.4970419967558628,0.3802703462153957,MID,validated,301,0.3471195086107436,0.3420008092998735,0.0051186993108701,0.0147462161702071,nearest_to_target,54,-1.3835240524644961e-13,0.3471626531289587,4.314451821507692e-05,0.0001242929802123,5.526592985732586e-05,5.526592985732573e-05,0.0005616359395439,7.672163224196185e-05,0.999999998472849,True,OFFGRID_0043,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_14.csv,,,,,,,,,,,,,,,,,,,,0.3471626531289587,independent_GEP,5.526592985732586e-05,5.526592985732573e-05,0.0005616359395439,7.672163224196185e-05,0.999999998472849,4.314451821513243e-05,0.0001242929802125,0.3471195086107436,0.3471272334672402,2.2254169832041047e-05,0.3471303539496411,3.1243818421235946e-05,0.3471227589481598,9.363741695835286e-06,3.817564208495345e-06,7.595001481286445e-06,MID
0.4985266493299175,0.5262668318828175,0.3203810608671779,MID,validated,301,0.3315330374638114,0.3335129914343791,0.0019799539705676,0.0059721166424742,nearest_to_target,51,-7.344001856941868e-14,0.3315904254814211,5.738801760968304e-05,0.0001730989407532,5.8397460473958656e-05,5.839746047395772e-05,0.0006264723104548,8.912345317165288e-05,0.9999999982949268,True,OFFGRID_0048,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_06.csv,,,,,,,,,,,,,,,,,,,,0.3315904254814211,independent_GEP,5.8397460473958656e-05,5.839746047395772e-05,0.0006264723104548,8.912345317165288e-05,0.9999999982949268,5.738801760968304e-05,0.0001730989407532,0.3315330374638114,0.33114386680658975,0.0011738518133781472,0.3311144949508764,0.0012624458670447893,0.33107943100371245,0.001368208922914561,3.225977627325651e-05,6.4435802877294e-05,MID
0.3874999747352386,0.3901879962137789,0.1171777496907157,MID,validated,301,0.4761524420735336,0.4682685914457669,0.0078838506277666,0.0165574087857963,nearest_to_target,167,1.4286885355278002e-14,0.476203957807962,5.151573442835344e-05,0.0001081916837473,5.560769123947527e-05,5.560769123947422e-05,0.000444940475169,7.84605919430303e-05,0.9999999984539188,True,OFFGRID_0056,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_11.csv,,,,,,,,,,,,,,,,,,,,0.476203957807962,independent_GEP,5.560769123947527e-05,5.560769123947422e-05,0.000444940475169,7.84605919430303e-05,0.9999999984539188,5.151573442840896e-05,0.0001081916837474,0.4761524420735336,0.47710411960371957,0.001998682451446968,0.4768954462023975,0.0015604333049901,0.4768550824591566,0.001475662673414367,0.00013366208609763255,0.0002490371445629802,MID
0.3805524183207877,0.4910762066755773,0.6320402424451026,MID,validated,301,0.3020044115858418,0.3048019026270683,0.0027974910412265,0.0092630800541514,nearest_to_target,236,-2.438447728833677e-15,0.3020641067276605,5.9695141818694175e-05,0.0001976631450687,5.867848591018775e-05,5.8678485910183925e-05,0.0005404477789926,9.75639011252039e-05,0.9999999982784344,True,OFFGRID_0057,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_12.csv,,,,,,,,,,,,,,,,,,,,0.3020641067276605,independent_GEP,5.867848591018775e-05,5.8678485910183925e-05,0.0005404477789926,9.75639011252039e-05,0.9999999982784344,5.9695141818694175e-05,0.0001976631450687,0.3020044115858418,0.30216109059906454,0.0005187971010092833,0.30220536718024615,0.0006654061553244631,0.3021297510861522,0.0004150253953319479,3.7992048283688596e-05,7.561609409395542e-05,MID
0.3486200720467929,0.3749481344298336,0.3681103173300475,MID,validated,301,0.4544471917510025,0.4467892041758154,0.0076579875751871,0.016851215529973,nearest_to_target,41,-4.1922206815967636e-14,0.4545087503636718,6.155861266921026e-05,0.0001354582309817,6.124662831178514e-05,6.12466283117859e-05,0.0004428139373146,9.1030132426752e-05,0.9999999981244307,True,OFFGRID_0071,uniform_full_domain,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,standard_N301,5.0,0.98,False,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,35.0,0.12,0.15,4.0,,offgrid_shard_13.csv,,,,,,,,,,,,,,,,,,,,0.4545087503636718,independent_GEP,6.124662831178514e-05,6.12466283117859e-05,0.0004428139373146,9.1030132426752e-05,0.9999999981244307,6.155861266926577e-05,0.0001354582309818,0.4544471917510025,0.4549595965915993,0.0011275343976105676,0.4550344436321115,0.0012922334910823638,0.4548375079024693,0.0008588812045749079,9.940775380272245e-05,0.0001969357296421892,MID
