chart_evaluated,n,median_ci_std,p95_ci_std,max_ci_std,median_ci_range,max_ci_range
ETAEDGE_HM2B,32,0.00861001187741822,0.012307687943046305,0.01442657450779045,0.015622619859184783,0.028834257048859058
HM2_NEUTRAL3,14,0.0009248951928261609,0.002978452314435083,0.005607731474995499,0.0017993251347831422,0.011017704719947452
MID,43,4.790875774085534e-05,0.00016695807794494128,0.00025489234288665825,8.827436979319536e-05,0.00048006467344557935
NEUTRAL3_LOWM,21,0.00011689987745154937,0.0008542338984165083,0.0008663884780025546,0.0002092597356357119,0.0017284256540195386
