Mach,alpha_neutral_used,alpha_neutral_uncertainty_used,alpha_neutral_source,alpha_min_available,alpha_max_available,s_min_available,s_max_available,n_points
1.0,0.3631595692114205,0.0018404307885794,neutral_alpha_estimate,0.05,0.36,0.13768052459301028,0.991299777069674,63
1.05,0.3585757988004263,0.0014242011995736,neutral_alpha_estimate,0.05,0.355,0.13944053158988756,0.9900277742882015,62
1.1,0.345,,max_available_alpha_proxy,0.09,0.345,0.2608695652173913,1.0,53
1.15,0.335,,max_available_alpha_proxy,0.06,0.335,0.1791044776119403,1.0,57
1.2,0.325,,max_available_alpha_proxy,0.05,0.325,0.15384615384615385,1.0,57
1.25,0.315,,max_available_alpha_proxy,0.05,0.315,0.15873015873015875,1.0,55
1.3,0.305,,max_available_alpha_proxy,0.05,0.305,0.1639344262295082,1.0,52
1.35,0.295,,max_available_alpha_proxy,0.05,0.295,0.16949152542372883,1.0,50
1.4,0.285,,max_available_alpha_proxy,0.05,0.285,0.1754385964912281,1.0,48
1.45,0.275,,max_available_alpha_proxy,0.05,0.275,0.18181818181818182,1.0,46
1.5,0.27,,max_available_alpha_proxy,0.05,0.27,0.18518518518518517,1.0,45
1.55,0.26,,max_available_alpha_proxy,0.05,0.26,0.19230769230769232,1.0,43
1.6,0.255,,max_available_alpha_proxy,0.05,0.255,0.19607843137254902,1.0,42
1.65,0.245,,max_available_alpha_proxy,0.05,0.245,0.20408163265306123,1.0,40
1.7,0.24,,max_available_alpha_proxy,0.05,0.24,0.20833333333333334,1.0,39
1.75,0.235,,max_available_alpha_proxy,0.05,0.235,0.21276595744680854,1.0,38
1.8,0.225,,max_available_alpha_proxy,0.05,0.225,0.22222222222222224,1.0,36
1.85,0.22,,max_available_alpha_proxy,0.05,0.22,0.2272727272727273,1.0,35
1.9,0.215,,max_available_alpha_proxy,0.05,0.215,0.23255813953488375,1.0,34
