Mach,n_spectral_reference,alpha_min,alpha_max,cr_min,cr_max,ci_min,ci_max,anchor_alpha_1,anchor_alpha_2,anchor_alpha_3,anchor_alpha_4
1.0,63,0.05,0.36,-2.1381009935921505e-07,0.1726277897845503,0.0006922200572213,0.1010233002787392,0.08,0.175,0.265,0.33
1.05,62,0.05,0.355,1.2100138419185254e-10,0.207214037919543,0.0006067672856304,0.1304782261154136,0.08,0.17,0.265,0.325
1.1,53,0.09,0.345,1.812993186489701e-09,0.2361168831795016,0.0011771278177396,0.1849919122211095,0.115,0.19,0.265,0.32
1.15,57,0.06,0.335,-2.7143269989556902e-09,0.2623955037838868,0.0011041412933339,0.1998472244836177,0.09,0.17,0.25,0.305
1.2,57,0.05,0.325,0.0587939705593892,0.2866288204509615,0.0008989707890822,0.1408414697456862,0.08,0.16,0.24,0.295
1.25,55,0.05,0.315,0.1201816977923283,0.3091557589953352,0.0007606930795383,0.124879699478062,0.075,0.16,0.235,0.29
1.3,52,0.05,0.305,0.1615554191173152,0.3301975224894724,0.0007663018022479,0.1092546527199461,0.075,0.15,0.23,0.28
1.35,50,0.05,0.295,0.1965550968817506,0.3499126544947055,0.0009334624149684,0.0943334435104853,0.075,0.15,0.22,0.27
1.4,48,0.05,0.285,0.2284495959648327,0.3684256005207542,0.001253626453456,0.0805532227768955,0.075,0.145,0.215,0.26
1.45,46,0.05,0.275,0.2584141991785808,0.3858388736824294,0.0017066451649366,0.0684112391288648,0.075,0.14,0.205,0.255
1.5,45,0.05,0.27,0.2867884838082837,0.403514362879259,0.0004165216734289,0.0586404622091123,0.07,0.14,0.205,0.25
1.55,43,0.05,0.26,0.3135717144297565,0.4189715103041552,0.0011522371683095,0.0508320672317021,0.07,0.135,0.195,0.24
1.6,42,0.05,0.255,0.3386982234532665,0.4347990673571785,0.0002641241639164,0.0444438332205004,0.07,0.13,0.195,0.235
1.65,40,0.05,0.245,0.3621555514026959,0.4485786032506465,0.0011851061122299,0.0391659824628922,0.07,0.13,0.185,0.225
1.7,39,0.05,0.24,0.3840001105701379,0.4628080238673403,0.0005983786311341,0.0347444091807322,0.07,0.125,0.185,0.22
1.75,38,0.05,0.235,0.4043340347931455,0.4762994308359091,0.0001659878864715,0.0310102960939408,0.07,0.125,0.18,0.215
1.8,36,0.05,0.225,0.423279653101262,0.4880064912957754,0.0012262526181953,0.0278170962157899,0.07,0.12,0.17,0.205
1.85,35,0.05,0.22,0.4409623344477715,0.5002275325325128,0.0009551031056836,0.0250701844317049,0.065,0.12,0.17,0.205
1.9,34,0.05,0.215,0.4575013033096492,0.51185864489249,0.0007752887358164,0.0226924045559811,0.065,0.115,0.165,0.2
