path,name,parent,size_bytes,n_rows,n_cols,columns,has_alpha,has_mach,has_cr,has_ci,has_fields,read_error
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_convergence_raw.csv,subsonic_classical_convergence_raw.csv,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver,6515,39.0,15.0,solver | alpha | Mach | L | n_scan | rtol | atol | cr | ci | omega_i | success | mismatch | ci_abs_error_vs_robust | omega_i_abs_error_vs_robust | sweep,True,True,True,True,False,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_convergence_summary.csv,subsonic_classical_convergence_summary.csv,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver,154,1.0,7.0,solver | alpha | Mach | min_ci_abs_error | min_omega_i_abs_error | max_L | max_n_scan,True,True,False,False,False,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,subsonic_classical_robust_reference_points.csv,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver,130,1.0,6.0,alpha | Mach | reference_cr | reference_ci | reference_omega_i | reference_source,True,True,False,False,False,
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,subsonic_hybrid_growth_map.csv,assets/classic_subsonic/data,30403,225.0,13.0,alpha | Mach | ci | omega_i | source | primary_ci | primary_omega_i | primary_mismatch | primary_success | secondary_ci | secondary_omega_i | secondary_stage1_mismatch | secondary_stage2_mismatch,True,True,False,True,False,
assets/classic_supersonic/blumen_reference/supersonic_ci_digitized_points.csv,supersonic_ci_digitized_points.csv,assets/classic_supersonic/blumen_reference,8477,196.0,3.0,level | Mach | alpha,True,True,False,False,False,
assets/classic_supersonic/blumen_reference/supersonic_cr_digitized_points.csv,supersonic_cr_digitized_points.csv,assets/classic_supersonic/blumen_reference,10529,244.0,3.0,level | Mach | alpha,True,True,False,False,False,
assets/classic_supersonic/diagnostics/blumen_eigencondition/supersonic_blumen_eigencondition_audit_a020_m120_130_map_grid.csv,supersonic_blumen_eigencondition_audit_a020_m120_130_map_grid.csv,assets/classic_supersonic/diagnostics/blumen_eigencondition,188289,2100.0,6.0,alpha | Mach | cr | ci | stage1_mismatch | distance_to_center,True,True,True,True,False,
assets/classic_supersonic/diagnostics/blumen_eigencondition/supersonic_blumen_eigencondition_audit_a020_m120_130_map_summary.csv,supersonic_blumen_eigencondition_audit_a020_m120_130_map_summary.csv,assets/classic_supersonic/diagnostics/blumen_eigencondition,1236,4.0,14.0,alpha | Mach | blumen_cr | blumen_ci | reference_cr | reference_ci | stage1_at_blumen | stage2_at_blumen | stage1_at_reference | stage2_at_reference | map_best_cr | map_best_ci | map_best_stage1_mismatch | map_best_distance_to_blumen,True,True,False,False,False,
assets/classic_supersonic/diagnostics/blumen_eigencondition/supersonic_blumen_eigencondition_audit_a020_m120_130_point_audit.csv,supersonic_blumen_eigencondition_audit_a020_m120_130_point_audit.csv,assets/classic_supersonic/diagnostics/blumen_eigencondition,7461,8.0,44.0,alpha | Mach | candidate_name | candidate_cr | candidate_ci | candidate_omega_i | stage1_mismatch | stage2_mismatch | ln_p_start_right_opt | gamma_jump_abs | gamma_jump_real | gamma_jump_imag | pressure_jump_abs | pressure_jump_real | pressure_jump_imag | left_relative_mach | right_relative_mach | left_regime | right_regime | left_gamma_inf_real | left_gamma_inf_imag | right_gamma_inf_real | right_gamma_inf_imag | left_tail_logamp_slope | left_tail_phase_slope | right_tail_logamp_slope | right_tail_phase_slope | left_tail_logamp_slope_err | left_tail_phase_slope_err | right_tail_logamp_slope_err | right_tail_phase_slope_err | left_decay_length | right_decay_length | match_y | y_limit | max_rel_ode_residual | match_band_max_rel_ode_residual | centroid_abs_y | spread_abs_y | peak_y | centroid_abs_y_center8 | spread_abs_y_center8 | peak_y_center8 | center8_mass_fraction,True,True,False,False,True,
assets/classic_supersonic/diagnostics/blumen_local_reference/supersonic_blumen_local_reference_a020_m120_130_ci_anchors.csv,supersonic_blumen_local_reference_a020_m120_130_ci_anchors.csv,assets/classic_supersonic/diagnostics/blumen_local_reference,4563,20.0,16.0,target_level | quantity | alpha_target | Mach | target_mach | level_value | alpha_on_curve | left_mach | right_mach | left_alpha | right_alpha | mach_bracket_width | n_points_on_curve | mach_min_on_curve | mach_max_on_curve | level_distance_to_target,False,True,False,False,False,
assets/classic_supersonic/diagnostics/blumen_local_reference/supersonic_blumen_local_reference_a020_m120_130_ci_summary.csv,supersonic_blumen_local_reference_a020_m120_130_ci_summary.csv,assets/classic_supersonic/diagnostics/blumen_local_reference,2043,4.0,35.0,quantity | alpha_target | Mach | target_level | n_anchor_levels | lower_level | upper_level | lower_alpha_on_curve | upper_alpha_on_curve | alpha_gap_lower | alpha_gap_upper | bracket_alpha_span | bracket_level_span | local_dlevel_dalpha | local_dalpha_dlevel | alpha_position_in_bracket | support_levels | n_support_levels | n_local_support_points | nearest_raw_distance | support_level_1 | support_level_1_global_points | support_level_1_local_points | support_level_2 | support_level_2_global_points | support_level_2_local_points | support_level_3 | support_level_3_global_points | support_level_3_local_points | support_level_4 | support_level_4_global_points | support_level_4_local_points | support_level_5 | support_level_5_global_points | support_level_5_local_points,False,True,False,False,False,
assets/classic_supersonic/diagnostics/blumen_local_reference/supersonic_blumen_local_reference_a020_m120_130_cr_anchors.csv,supersonic_blumen_local_reference_a020_m120_130_cr_anchors.csv,assets/classic_supersonic/diagnostics/blumen_local_reference,4349,19.0,16.0,target_level | quantity | alpha_target | Mach | target_mach | level_value | alpha_on_curve | left_mach | right_mach | left_alpha | right_alpha | mach_bracket_width | n_points_on_curve | mach_min_on_curve | mach_max_on_curve | level_distance_to_target,False,True,False,False,False,
assets/classic_supersonic/diagnostics/blumen_local_reference/supersonic_blumen_local_reference_a020_m120_130_cr_summary.csv,supersonic_blumen_local_reference_a020_m120_130_cr_summary.csv,assets/classic_supersonic/diagnostics/blumen_local_reference,2005,4.0,35.0,quantity | alpha_target | Mach | target_level | n_anchor_levels | lower_level | upper_level | lower_alpha_on_curve | upper_alpha_on_curve | alpha_gap_lower | alpha_gap_upper | bracket_alpha_span | bracket_level_span | local_dlevel_dalpha | local_dalpha_dlevel | alpha_position_in_bracket | support_levels | n_support_levels | n_local_support_points | nearest_raw_distance | support_level_1 | support_level_1_global_points | support_level_1_local_points | support_level_2 | support_level_2_global_points | support_level_2_local_points | support_level_3 | support_level_3_global_points | support_level_3_local_points | support_level_4 | support_level_4_global_points | support_level_4_local_points | support_level_5 | support_level_5_global_points | support_level_5_local_points,False,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_blumen_cr_ci_family_audit_a020_m120_130_candidates.csv,supersonic_blumen_cr_ci_family_audit_a020_m120_130_candidates.csv,assets/classic_supersonic/diagnostics,10672,32.0,26.0,source_file | source_kind | label | alpha | Mach | candidate_cr | candidate_ci | candidate_omega_i | n_points | family | distance_to_default_shooting | shooting_stage1_mismatch_at_candidate | shooting_stage2_mismatch_at_candidate | overlap_to_reference_high | default_shooting_success | default_shooting_spectral_success | default_shooting_stage1_mismatch | default_shooting_stage2_mismatch | default_stage1_mismatch | default_stage2_mismatch | distance_to_shooting | blumen_cr | blumen_ci | err_cr | err_ci | score_blumen,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_blumen_cr_ci_family_audit_a020_m120_130_summary.csv,supersonic_blumen_cr_ci_family_audit_a020_m120_130_summary.csv,assets/classic_supersonic/diagnostics,1796,8.0,10.0,source_kind | label | source_file | n_points | mean_err_cr | max_err_cr | mean_err_ci | max_err_ci | mean_score_blumen | max_score_blumen,False,False,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_blumen_cr_ci_family_audit_a020_m120_130_targets.csv,supersonic_blumen_cr_ci_family_audit_a020_m120_130_targets.csv,assets/classic_supersonic/diagnostics,225,4.0,4.0,alpha | Mach | blumen_cr | blumen_ci,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_branch_diagnostics_top.csv,supersonic_branch_diagnostics_top.csv,assets/classic_supersonic/diagnostics,115042,1023.0,8.0,alpha | Mach | accepted | gep_cr | gep_ci | jump_cr | jump_ci | one_minus_overlap,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_branch_selector_validation_1d_alpha_m140.csv,supersonic_branch_selector_validation_1d_alpha_m140.csv,assets/classic_supersonic/diagnostics,8393,24.0,19.0,Mach | alpha | old_gep_cr | old_gep_ci | old_selection_source | shooting_cr | shooting_ci | target_cr | target_ci | baseline_cr | baseline_ci | baseline_distance_to_shooting | baseline_source | composite_cr | composite_ci | composite_distance_to_shooting | composite_source | delta_dist_vs_old | delta_dist_vs_baseline,True,True,False,False,False,
assets/classic_supersonic/diagnostics/supersonic_branch_selector_validation_1d_mach_a020.csv,supersonic_branch_selector_validation_1d_mach_a020.csv,assets/classic_supersonic/diagnostics,8130,24.0,19.0,Mach | alpha | old_gep_cr | old_gep_ci | old_selection_source | shooting_cr | shooting_ci | target_cr | target_ci | baseline_cr | baseline_ci | baseline_distance_to_shooting | baseline_source | composite_cr | composite_ci | composite_distance_to_shooting | composite_source | delta_dist_vs_old | delta_dist_vs_baseline,True,True,False,False,False,
