source,row,alpha,Mach,cr,ci,success,mismatch,ci_abs_error_vs_robust,omega_i_abs_error_vs_robust,primary_mismatch,primary_success,secondary_ci,secondary_omega_i,secondary_stage1_mismatch,secondary_stage2_mismatch,stage1_mismatch,p_rel,q_rel,u_rel,v_rel,gamma_rel,classical_status,w_bc,finite_alpha_M_ci,finite_cr,unstable,cr_in_reasonable_range,generic_log_score,quality_flag,Mach_round,alpha_round,quality_rank
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/blumen_ci_points_used.csv,11,-0.0021969540664664,-0.0021969540664664,,1.004149377593361,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,-0.002197,-0.002197,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,0,0.02,0.0,,0.9649306042437952,,,,,2.3711140341442505e-07,True,,,,,,,,,,,,,True,False,True,True,-6.625047558966271,candidate,0.0,0.02,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,1,0.09,0.0,,0.8515788008550877,,,,,6.922820491011422e-07,True,,,,,,,,,,,,,True,False,True,True,-6.159716929514366,candidate,0.0,0.09,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,2,0.1599999999999999,0.0,,0.7505592220759084,,,,,2.057444089764715e-06,True,,,,,,,,,,,,,True,False,True,True,-5.686671957737361,candidate,0.0,0.16,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,3,0.2299999999999999,0.0,,0.6595692639822727,,,,,1.6465112699978052e-06,True,,,,,,,,,,,,,True,False,True,True,-5.78343529229425,candidate,0.0,0.23,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,4,0.3,0.0,,0.5769084932481647,,,,,3.255552429149919e-06,True,,,,,,,,,,,,,True,False,True,True,-5.487375306151165,candidate,0.0,0.3,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,5,0.37,0.0,,0.5011149748590683,,,,,2.6318117806534494e-06,True,,,,,,,,,,,,,True,False,True,True,-5.579745173396425,candidate,0.0,0.37,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,6,0.4399999999999999,0.0,,0.4310990371207175,,,,,3.600461010687395e-07,True,,,,,,,,,,,,,True,False,True,True,-6.44364188768295,candidate,0.0,0.44,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,7,0.5099999999999999,0.0,,0.365996265592167,,,,,1.2213187235033537e-06,True,,,,,,,,,,,,,True,False,True,True,-5.913170984871087,candidate,0.0,0.51,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,8,0.58,0.0,,0.3050697418259626,,,,,3.395467580564332e-06,True,,,,,,,,,,,,,True,False,True,True,-5.469100411758635,candidate,0.0,0.58,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,9,0.6499999999999999,0.0,,0.2476910381497176,,,,,9.838777957097908e-07,True,,,,,,,,,,,,,True,False,True,True,-6.007058840536908,candidate,0.0,0.65,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,10,0.72,0.0,,0.1934209908357865,,,,,9.177112036008044e-07,True,,,,,,,,,,,,,True,False,True,True,-6.037293966309927,candidate,0.0,0.72,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,11,0.7899999999999999,0.0,,0.141838416569046,,,,,1.6861101615438245e-07,True,,,,,,,,,,,,,True,False,True,True,-6.773114054273746,candidate,0.0,0.79,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,12,0.8599999999999999,0.0,,0.0925817000258738,,,,,6.530715384121116e-07,True,0.0925817000258738,0.0796202620222515,5.9882737949001785e-05,5.5397757069145545e-28,,,,,,,,,True,False,True,True,-37.6642454125224,candidate,0.0,0.86,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,13,0.93,0.0,,0.0454022297139918,,,,,1.3998193033838357e-07,True,0.0454022297139918,0.0422240736340123,6.361535859662873e-05,6.634320212908709e-28,,,,,,,,,True,False,True,True,-38.2285696128804,candidate,0.0,0.93,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,14,1.0,0.0,,0.0,,,,,0.0,True,,,,,,,,,,,,,True,False,False,True,-300.0,bad,0.0,1.0,3
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/blumen_ci_points_used.csv,10,0.0337146481434782,0.0337146481434782,,1.004149377593361,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.033715,0.033715,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,15,0.02,0.0699999999999999,,0.9602584955873332,,,,,2.814904145406619e-07,True,,,,,,,,,,,,,True,False,True,True,-6.550536389384482,candidate,0.07,0.02,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,16,0.09,0.0699999999999999,,0.8474875635759124,,,,,1.6676902476475686e-06,True,,,,,,,,,,,,,True,False,True,True,-5.777884610910322,candidate,0.07,0.09,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,17,0.1599999999999999,0.0699999999999999,,0.7469764770330446,,,,,5.155261708608737e-07,True,,,,,,,,,,,,,True,False,True,True,-6.287749282714192,candidate,0.07,0.16,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,18,0.2299999999999999,0.0699999999999999,,0.6564276553678214,,,,,1.4901101689675234e-06,True,,,,,,,,,,,,,True,False,True,True,-5.826781621516634,candidate,0.07,0.23,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,19,0.3,0.0699999999999999,,0.5740734604265086,,,,,7.24847244558055e-07,True,,,,,,,,,,,,,True,False,True,True,-6.139753507684748,candidate,0.07,0.3,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,20,0.37,0.0699999999999999,,0.4985385193466962,,,,,3.469436705002757e-06,True,,,,,,,,,,,,,True,False,True,True,-5.459741031193956,candidate,0.07,0.37,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,21,0.4399999999999999,0.0699999999999999,,0.4287822878906653,,,,,3.3562194911122838e-06,True,,,,,,,,,,,,,True,False,True,True,-5.4741496447855855,candidate,0.07,0.44,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,22,0.5099999999999999,0.0699999999999999,,0.3638261244145933,,,,,3.714220036326113e-06,True,,,,,,,,,,,,,True,False,True,True,-5.430132371535492,candidate,0.07,0.51,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,23,0.58,0.0699999999999999,,0.303061782394717,,,,,2.1983764747421364e-06,True,,,,,,,,,,,,,True,False,True,True,-5.657897932066114,candidate,0.07,0.58,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,24,0.6499999999999999,0.0699999999999999,,0.2458219150140066,,,,,1.4293224815469484e-06,True,,,,,,,,,,,,,True,False,True,True,-5.844869775298593,candidate,0.07,0.65,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,25,0.72,0.0699999999999999,,0.1916482583113496,,,,,7.642212809903792e-07,True,,,,,,,,,,,,,True,False,True,True,-6.116780872839696,candidate,0.07,0.72,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,26,0.7899999999999999,0.0699999999999999,,0.1401304090090226,,,,,2.118884486531497e-07,True,,,,,,,,,,,,,True,False,True,True,-6.673892718716003,candidate,0.07,0.79,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,27,0.8599999999999999,0.0699999999999999,,0.0909453880330697,,,,,3.129802031778817e-07,True,0.0909453880330697,0.0782130337084399,4.716032158380077e-06,1.658580053227177e-28,,,,,,,,,True,False,True,True,-39.61116993591789,candidate,0.07,0.86,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,28,0.93,0.0699999999999999,,0.0438004163884584,,,,,1.537962944567206e-07,True,0.0438004163884584,0.0407343872412663,3.325134525930055e-05,1.050959940980693e-27,,,,,,,,,True,False,True,True,-38.26965874534324,candidate,0.07,0.93,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,29,1.0,0.0699999999999999,,0.0,,,,,0.0,True,,,,,,,,,,,,,True,False,False,True,-300.0,bad,0.07,1.0,3
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/blumen_ci_points_used.csv,9,0.0834154803114708,0.0834154803114708,,1.0,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.083415,0.083415,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010070_discrete_safe/ci_anchor_points.csv,0,0.1,0.1,,0.8283525185111373,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.1,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010080_discrete/ci_anchor_points.csv,0,0.1,0.1,,0.8283525185111373,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.1,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010070_discrete_safe/ci_anchor_points.csv,1,0.3,0.1,,0.5711442014651872,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.3,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010080_discrete/ci_anchor_points.csv,1,0.3,0.1,,0.5711442014651872,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.3,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010070_discrete_safe/ci_anchor_points.csv,2,0.55,0.1,,0.3264981990643734,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.55,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010080_discrete/ci_anchor_points.csv,2,0.55,0.1,,0.3264981990643734,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.55,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010070_discrete_safe/ci_anchor_points.csv,3,0.7,0.1,,0.2049451324096791,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.7,1
assets/pinn_subsonic/full2d_pq_firstorder_bootp_M010307_a010080_discrete/ci_anchor_points.csv,3,0.8,0.1,,0.1312107723675379,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.1,0.8,1
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/blumen_ci_points_used.csv,8,0.1262025935520354,0.1262025935520354,,0.9944674965421854,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.126203,0.126203,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,30,0.02,0.1399999999999999,,0.9466454918758708,,,,,2.5544594602793826e-07,True,,,,,,,,,,,,,True,False,True,True,-6.592700985256789,candidate,0.14,0.02,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,31,0.09,0.1399999999999999,,0.8355930658429563,,,,,1.5977331087662849e-06,True,,,,,,,,,,,,,True,False,True,True,-5.796495765116206,candidate,0.14,0.09,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,32,0.1599999999999999,0.1399999999999999,,0.7364665322399737,,,,,2.0659824581876e-07,True,,,,,,,,,,,,,True,False,True,True,-6.684873370301718,candidate,0.14,0.16,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,33,0.2299999999999999,0.1399999999999999,,0.6470956652779009,,,,,3.6109691334330375e-06,True,,,,,,,,,,,,,True,False,True,True,-5.4423762239068765,candidate,0.14,0.23,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,34,0.3,0.1399999999999999,,0.5656968600570731,,,,,2.254070174300543e-06,True,,,,,,,,,,,,,True,False,True,True,-5.647032567510368,candidate,0.14,0.3,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,35,0.37,0.1399999999999999,,0.490948925563533,,,,,1.576751743670446e-06,True,,,,,,,,,,,,,True,False,True,True,-5.802236680064445,candidate,0.14,0.37,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,36,0.4399999999999999,0.1399999999999999,,0.4218065459772239,,,,,2.51923580026547e-06,True,,,,,,,,,,,,,True,False,True,True,-5.598731180671263,candidate,0.14,0.44,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,37,0.5099999999999999,0.1399999999999999,,0.3573980424098559,,,,,4.151531223435881e-06,True,,,,,,,,,,,,,True,False,True,True,-5.381791691423757,candidate,0.14,0.51,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,38,0.58,0.1399999999999999,,0.2970542986430213,,,,,4.69353450698734e-07,True,,,,,,,,,,,,,True,False,True,True,-6.328499984842101,candidate,0.14,0.58,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,39,0.6499999999999999,0.1399999999999999,,0.2401603355816476,,,,,1.5824142278221542e-06,True,,,,,,,,,,,,,True,False,True,True,-5.8006798208954855,candidate,0.14,0.65,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,40,0.72,0.1399999999999999,,0.1862967449943604,,,,,1.781726428052438e-06,True,,,,,,,,,,,,,True,False,True,True,-5.74915897813756,candidate,0.14,0.72,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,41,0.7899999999999999,0.1399999999999999,,0.1349986550155401,,,,,1.931541462329989e-07,True,,,,,,,,,,,,,True,False,True,True,-6.714095964885015,candidate,0.14,0.79,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,42,0.8599999999999999,0.1399999999999999,,0.0859838755824946,,,,,5.994934319402713e-07,True,0.0859838755824946,0.0739461330009454,6.546376625738657e-05,5.5397757069145545e-28,,,,,,,,,True,False,True,True,-37.662722401706674,candidate,0.14,0.86,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,43,0.93,0.1399999999999999,,0.0390008283337818,,,,,1.725613074166684e-08,True,0.0390008283337818,0.036270770350417,0.0001170556872927,9.663546088957396e-28,,,,,,,,,True,False,True,True,-38.70952753587356,candidate,0.14,0.93,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,44,1.0,0.1399999999999999,,0.0,,,,,0.0,True,,,,,,,,,,,,,True,False,False,True,-300.0,bad,0.14,1.0,3
assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/blumen_ci_points_used.csv,7,0.1800165058114212,0.1800165058114212,,0.9847856154910096,,,,,,,,,,,,,,,,,,,True,False,True,True,,candidate,0.180017,0.180017,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,45,0.02,0.2099999999999999,,0.9250304716516716,,,,,1.1114094693349953e-07,True,,,,,,,,,,,,,True,False,True,True,-6.954125907296531,candidate,0.21,0.02,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,46,0.09,0.2099999999999999,,0.8164838181561901,,,,,7.286359636963884e-07,True,,,,,,,,,,,,,True,False,True,True,-6.137489396847287,candidate,0.21,0.09,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,47,0.1599999999999999,0.2099999999999999,,0.7195206389143353,,,,,3.149781130371357e-07,True,,,,,,,,,,,,,True,False,True,True,-6.501719623091167,candidate,0.21,0.16,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,48,0.2299999999999999,0.2099999999999999,,0.631922622087932,,,,,2.7010775843130247e-06,True,,,,,,,,,,,,,True,False,True,True,-5.568462941190145,candidate,0.21,0.23,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,49,0.3,0.2099999999999999,,0.5519836420902591,,,,,2.765779810445443e-06,True,,,,,,,,,,,,,True,False,True,True,-5.558182397948673,candidate,0.21,0.3,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,50,0.37,0.2099999999999999,,0.4784802080803676,,,,,1.031372635820066e-06,True,,,,,,,,,,,,,True,False,True,True,-5.986584395393915,candidate,0.21,0.37,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,51,0.4399999999999999,0.2099999999999999,,0.4103555245312873,,,,,7.565992724348214e-07,True,,,,,,,,,,,,,True,False,True,True,-6.1211340806717365,candidate,0.21,0.44,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,52,0.5099999999999999,0.2099999999999999,,0.3467955747940425,,,,,3.615106059704637e-06,True,,,,,,,,,,,,,True,False,True,True,-5.441878956884305,candidate,0.21,0.51,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,53,0.58,0.2099999999999999,,0.2870988325671476,,,,,4.201960664695914e-07,True,,,,,,,,,,,,,True,False,True,True,-6.37654801741923,candidate,0.21,0.58,1
assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,54,0.6499999999999999,0.2099999999999999,,0.2307684597877529,,,,,1.275921944193098e-07,True,,,,,,,,,,,,,True,False,True,True,-6.8941758932034976,candidate,0.21,0.65,1
