epoch,train_total,train_modal,train_spec,val_total,val_modal,val_spec,lr
1,1.973156493055998,0.9912167514085609,0.9819397271533556,1.9034138332911874,0.9692335735865976,0.9341802597045898,0.0002
50,0.06523981228814418,0.06518682434570795,5.298783189666457e-05,0.06491111953897054,0.06485944590627334,5.1673632697202265e-05,0.0002
100,0.054811783684157844,0.05480762959673924,4.153942087996649e-06,0.05453811760984052,0.054534030778117706,4.086831722815987e-06,0.0002
150,0.048565234599193936,0.04856326508759068,1.969745060166712e-06,0.048278190913147626,0.04827623191681181,1.9589963358157547e-06,0.0002
200,0.04433696272632899,0.04433583408348259,1.1286611680778276e-06,0.04406357298075701,0.04406245176069089,1.1212200661248062e-06,0.0002
250,0.042125617700057044,0.042125059530451335,5.580484540696742e-07,0.04178675417089853,0.04178620053407503,5.536368234970723e-07,0.0002
300,0.03981006625723489,0.03980979388813157,2.7243871985849646e-07,0.03890881263043572,0.03890854210774525,2.7052269047089794e-07,0.0002
350,0.03888829761995255,0.038888137432469716,1.603249319391097e-07,0.037933970943407065,0.03793381120527146,1.5973813560776762e-07,0.0002
400,0.036502113053803596,0.03650198266864315,1.3002534720386086e-07,0.037084090637981425,0.037083960728955666,1.2990902575893415e-07,0.0002
450,0.03527370048990158,0.03527357755532173,1.2313526910087717e-07,0.0355202298176308,0.03552010673351012,1.2308412067341123e-07,0.0002
500,0.034767204111415484,0.03476708145877666,1.211842574747594e-07,0.03551187522122417,0.035511753863736555,1.2135748761465948e-07,0.0002
550,0.034113767714620574,0.034113648293875254,1.2023484500934816e-07,0.033518884892657516,0.033518764662147524,1.202305099923251e-07,0.0002
600,0.03395094488023731,0.03395003729195487,9.076142749145744e-07,0.03415982954755597,0.03414938379808879,1.0445749467180576e-05,0.0002
650,0.03350740883969618,0.03350728963040663,1.1899715077514623e-07,0.03300920029557791,0.03300908130662766,1.1898895024842204e-07,0.0002
700,0.03318538879363147,0.03318526958434192,1.1850590524618461e-07,0.03749675012482051,0.03749663162497946,1.1849984105083422e-07,0.0002
750,0.032091276923620106,0.032091157996271574,1.1851465223633958e-07,0.03304219938046002,0.03304208129525618,1.1808520383738141e-07,0.0002
800,0.03188040850450719,0.03188028950667341,1.185648081679233e-07,0.03261191359414901,0.032611795638626324,1.1795552268267784e-07,0.0002
850,0.032836414232211716,0.03283629565728946,1.1786851624081834e-07,0.030988363404726476,0.030988242710985252,1.2069374122347654e-07,0.0002
900,0.032682395242482586,0.03268217622607137,2.1906159767447031e-07,0.032247758488287176,0.03224761890289149,1.395853956864812e-07,0.0002
950,0.03171789521104466,0.03171777687760668,1.1837055886363501e-07,0.03047958231324372,0.03047946507718819,1.1723605553015659e-07,0.0002
1000,0.030607611841857316,0.03060747346057829,1.381289600437578e-07,0.03245379512150878,0.03245367375575045,1.2136575833210372e-07,0.0002
1050,0.03054524460517431,0.030545129121175057,1.1582193582277046e-07,0.029685482586954564,0.02968536681071619,1.1577623837411011e-07,0.0002
1100,0.031169546933905792,0.031169410889068435,1.3596869249849603e-07,0.029891155189730303,0.0298910376230095,1.1756672080309727e-07,0.0002
1150,0.03138090267809381,0.0313802991796888,6.033980484932721e-07,0.029458235450849902,0.029458044772287185,1.906785627170393e-07,0.0002
1200,0.029544531959556124,0.02954386766682673,6.642811949656434e-07,0.029685793699808526,0.029677238763450985,8.55493635754101e-06,0.0002
1250,0.029978082569720614,0.02997708330200986,9.99285794700838e-07,0.03536081742947534,0.03536045418669904,3.632427763022861e-07,0.0002
1300,0.029003761640281744,0.02900228448291787,1.4773075163929638e-06,0.030038736995262525,0.030038499445776665,2.375494858597449e-07,0.0002
