alpha,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_ref_norm,q_ref_norm,y_at_p_max_err,y_at_q_max_err
0.07,4418,0.09759448104000577,0.1524018895863936,0.28586188289244663,0.049512118931951066,19.739027970754208,1.830124305495112,-65.5177667506188,-67.07965353627473
0.0725,4418,0.0958569278488569,0.14930040511724404,0.28343815076271844,0.05021995824718163,19.710434658980713,1.8959597782426723,-64.02616446536915,-65.5177667506188
0.075,4418,0.09476156893201794,0.14721474326761458,0.2808791416464985,0.05111537132277555,19.682315787195932,1.9619364296042219,-64.02616446536915,-64.02616446536915
0.0775,4418,0.09310325263034433,0.14553939090299564,0.27749095448261385,0.05205381303528744,19.65459829907034,2.028034804071341,-62.60020630411231,-62.60020630411231
0.08,4418,0.09165531575803007,0.14406903869001486,0.2727307951582635,0.052823625113178174,19.62745191861436,2.0942497249370313,-61.23565158737524,-61.23565158737524
0.0825,4418,0.09062011428276669,0.14274635177739392,0.2675013669085886,0.05336985306075728,19.600720562415436,2.160613187789287,-59.92861720511739,-59.92861720511739
0.085,4418,0.08962926584392505,0.14146819794007756,0.26353515269228894,0.0538813159278831,19.57445239979905,2.227137907449568,-59.92861720511739,-58.67554070743896
0.0875,4418,0.08857059471748495,0.14038744590714014,0.26112066998575967,0.05455333043528289,19.548802742612242,2.2938171333988513,-58.67554070743896,-57.47314787467079
0.09,4418,0.08823897796570555,0.13993237630081978,0.25959864232613533,0.05550271617077261,19.523732061403866,2.3606175868146173,-58.67554070743896,-57.47314787467079
0.0925,4418,0.08721807262665322,0.13861135374282446,0.25792143009448676,0.05647154496406665,19.49873402737683,2.427593442301283,-57.47314787467079,-57.47314787467079
0.095,4418,0.0861350514891065,0.1369255612609227,0.2563103266350158,0.057601313500955015,19.47195082398768,2.494458628326554,-57.450895734951246,-56.29705400500994
0.0975,4418,0.08521355002150094,0.1356919223129644,0.25415410074226213,0.05852309819450368,19.445387278408628,2.5614618364828967,-56.26475214296191,-56.26475214296191
0.1,4418,0.08443849581353509,0.1346168275074249,0.2514373371326328,0.05924054489863983,19.41914450302061,2.628595273619053,-56.23465292254468,-55.12807355786523
0.1025,4418,0.08393461360355484,0.13380408154446805,0.24865349481214483,0.05970825513222891,19.39308813339367,2.695879687887331,-55.10109281762434,-54.03767732558653
0.105,4418,0.08355187097223764,0.13324785467167893,0.24604652806318675,0.06022936077452554,19.367246868847836,2.763284042626412,-55.07579838761024,-55.07579838761024
0.1075,4418,0.0832439397278211,0.13291595934936143,0.2441747875200674,0.06155116961886618,19.341597923223674,2.8308563756331444,-55.05265283073146,-57.30422362896412
0.11,4418,0.08299213182721335,0.13276083895048474,0.243868608450755,0.06369084784486387,19.31622617542027,2.898592398839548,-56.1345793325723,-58.47606803915019
0.1125,4418,0.08270610466310918,0.1327089807163109,0.24501957601550214,0.06617058215302098,19.290893292246334,2.966510894879916,-56.11484082136237,-58.45465486047931
0.115,4418,0.08250320471538757,0.13270043146649682,0.2473314244920598,0.06884949547506201,19.265834987609562,3.0345734874134735,-56.097320848000855,-57.24293571681957
0.1175,4418,0.08245519180312383,0.1326618805700423,0.2503024022880945,0.07136565947874099,19.240757186278216,3.1028397365329186,-56.081659842624966,-57.22663091635485
0.12,4418,0.0827125846333539,0.13256833907715848,0.2532876337037355,0.07390630203987972,19.216131294851923,3.171233870061799,-54.96851726658661,-56.06865988584602
0.1225,4418,0.08278043870225184,0.13237572649390167,0.2565844163143449,0.0761629074743456,19.191483183589014,3.2398684486656,-54.95817408516726,-54.95817408516726
0.125,4418,0.08256145270565815,0.13204668999201002,0.25902063253116997,0.07811044583166578,19.16712886095243,3.3086290351903815,-53.89214354046624,-54.94980413126361
0.1275,4418,0.08250676648721773,0.131623671737515,0.2606877644029132,0.07993392869066954,19.142919571538943,3.3775964278065005,-53.88634105117778,-53.88634105117778
0.13,4418,0.0828768414845859,0.13120571199382616,0.2616733871667796,0.08142281552094373,19.118816771851872,3.4467639675979234,-52.864646358146224,-52.864646358146224
0.1325,4418,0.08295662563965871,0.13090068285670095,0.26154114865176264,0.08274971728426996,19.094904847321835,3.5161422248240535,-51.882686165138935,-52.8633288798896
