Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,is_target,status,requested_alpha,seed_alpha,alpha_step,anchor_source_path,anchor_source_Mach,anchor_source_alpha,neutral_alpha_estimate,neutral_fit_r2,timestamp,trial_alpha,trial_step,mach_directory,mode_status,mode_gamma_mismatch_at_match,mode_numerical_extent,mode_tail_tolerance,mode_far_left,mode_far_right,mode_mu_left,mode_mu_right,mode_n_coordinates,mode_available,freeze_id,reference_status,reference_subset,reference_source_path,neutral_alpha_lower,neutral_alpha_upper,neutral_alpha_uncertainty,neutral_last_positive_ci,neutral_estimate_method,final_reference_id,_id_key,alpha_neutral_used,alpha_neutral_uncertainty_used,alpha_neutral_source,s,mach_split,is_spectral_anchor,anchor_rank,usable_as_training_anchor,charts,primary_chart,point_role,is_anchor_N24,is_anchor_N36,is_anchor_N48,is_anchor_N60,is_anchor_N76
1.2,0.12,0.184017742417762,0.1045213020226926,0.0125425562427231,7.03378327804316e-13,-2.4858587410747652e-14,7.03817463120129e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0010458608294992,0.2,0.1842472065294221,0.1045860829499229,2026-07-23T11:41:03.319093+00:00,continuation,,,,,,,,low,True,converged,0.12,0.125,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:41:03.331319+00:00,0.12,-0.005,M1p200000,converged,3.358189590617561e-11,40.0,1e-06,-657.3072923383135,293.83020586113696,0.0210331632133935,0.047174061451028,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.200000_a0.12000000,M1.200000_a0.12000000,0.325,,max_available_alpha_proxy,0.3692307692307692,train,False,,False,C00;C01;C10;C11,C01,train_pool,True,True,True,True,True
1.2,0.215,0.2471805652617625,0.0558851077696314,0.0120152981704707,1.3530843112619095e-14,2.953887134893307e-14,3.249043914611082e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005598793043593,0.2,0.2472529091796697,0.0559879304359357,2026-07-23T11:41:16.652445+00:00,continuation,,,,,,,,high,True,converged,0.215,0.21,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:41:16.665282+00:00,0.215,0.005,M1p200000,converged,1.0138039191372347e-10,40.0,1e-06,-714.189645362031,142.5244409895924,0.019351273825296,0.097628907097345,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.200000_a0.21500000,M1.200000_a0.21500000,0.325,,max_available_alpha_proxy,0.6615384615384615,train,False,,False,C01;C02;C11;C12,C02,train_pool,True,True,True,True,True
1.25,0.115,0.2126738285514086,0.0955266437997865,0.0109855640369754,4.284003707333284e-13,-2.4237556406347952e-14,4.2908546559514723e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0009559281027709,0.2,0.2128800667473238,0.095592810277098,2026-07-23T11:41:02.853720+00:00,continuation,,,,,,,,low,True,converged,0.115,0.12,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:41:02.865510+00:00,0.115,-0.0049999999999999,M1p250000,converged,7.521691212556678e-11,40.0,1e-06,-759.6762282682623,319.16745213511507,0.0181965950709046,0.0434210941215163,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.250000_a0.11500000,M1.250000_a0.11500000,0.315,,max_available_alpha_proxy,0.3650793650793651,test,False,,False,C00;C01;C10;C11,C10,train_pool,True,True,True,True,True
1.25,0.205,0.2704561057382739,0.0529909624460815,0.0108631473014467,1.1129985821867194e-14,2.5547272630710438e-14,2.7866462338495918e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005308974259273,0.2,0.2705285127073454,0.0530897425927354,2026-07-23T11:41:11.914953+00:00,continuation,,,,,,,,high,True,converged,0.205,0.2,0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:41:11.930143+00:00,0.205,0.0049999999999999,M1p250000,converged,4.615788176774433e-11,40.0,1e-06,-791.4540211884906,154.91901395299067,0.0174631991392322,0.0897787040391341,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.250000_a0.20500000,M1.250000_a0.20500000,0.315,,max_available_alpha_proxy,0.6507936507936507,test,False,,False,C01;C02;C11;C12,C11,train_pool,True,True,True,True,True
1.35,0.165,0.3021674472509699,0.0556452256028988,0.0091814622244783,1.1282641487753152e-14,5.724587470723464e-15,1.2651833884901144e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005572571244514,0.2,0.3022633675026395,0.0557257124451417,2026-07-23T11:41:11.049548+00:00,continuation,,,,,,,,high,True,converged,0.165,0.16,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.3,0.1,,,2026-07-23T11:41:11.062551+00:00,0.165,0.005,M1p350000,converged,3.2163096114401365e-11,40.0,1e-06,-917.7734637082914,216.3621013880125,0.0150612957611085,0.0641704292369438,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.350000_a0.16500000,M1.350000_a0.16500000,0.295,,max_available_alpha_proxy,0.5593220338983051,train,False,,False,C11;C21,C11,train_pool,False,True,True,True,True
1.4,0.12,0.2997555410841062,0.0644034686182358,0.0077284162341883,1.7680995556546009e-13,-1.3704315460216776e-15,1.768152665062672e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,4,21,0,False,False,0.000627766263558,0.2,0.3031399613158659,0.0627766263558038,2026-07-23T11:40:55.484484+00:00,continuation,,,,,,,,low,True,converged,0.12,0.125,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.4,0.125,,,2026-07-23T11:40:55.509448+00:00,0.12,-0.005,M1p400000,converged,2.544921910565857e-11,40.0,1e-06,-1068.068042348978,340.566923100746,0.0129409208544662,0.0406939606883072,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.400000_a0.12000000,M1.400000_a0.12000000,0.285,,max_available_alpha_proxy,0.4210526315789474,train,False,,False,C10;C11;C20;C21,C11,train_pool,True,True,True,True,True
1.4,0.215,0.3469363492434072,0.0295205006355371,0.0063469076366404,1.2323475573339238e-14,7.28106810954366e-13,7.282110931648479e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0002964500875799,0.2,0.3469876007764241,0.0296450087579904,2026-07-23T11:41:18.075598+00:00,continuation,,,,,,,,high,True,converged,0.215,0.21,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.4,0.125,,,2026-07-23T11:41:18.089424+00:00,0.215,0.005,M1p400000,converged,6.246243033954163e-11,40.0,1e-06,-1319.3137801440837,155.14945640382288,0.0104793948776138,0.0896809749662767,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.400000_a0.21500000,M1.400000_a0.21500000,0.285,,max_available_alpha_proxy,0.7543859649122807,train,True,3.0,True,C11;C12;C21;C22,C12,train_pool,True,True,True,True,True
1.45,0.115,0.320460661374119,0.0581443320283594,0.0066865981832613,3.543346172030226e-14,1.7938775465076162e-14,3.9715612480113465e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005822851111509,0.2,0.3205958872186398,0.058228511115095,2026-07-23T11:40:55.860433+00:00,continuation,,,,,,,,low,True,converged,0.115,0.12,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:40:55.871765+00:00,0.115,-0.0049999999999999,M1p450000,converged,2.5800151017282308e-11,40.0,1e-06,-1216.2867595629943,375.161806944664,0.0113638149160816,0.0369325653581328,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.450000_a0.11500000,M1.450000_a0.11500000,0.275,,max_available_alpha_proxy,0.4181818181818181,validation,False,,False,C10;C11;C20;C21,C20,train_pool,True,True,True,True,True
1.45,0.205,0.3644883362175934,0.0283656871864974,0.0058149658732319,3.728267694569354e-14,5.726226784408261e-13,5.738351068599609e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0002848277518188,0.2,0.3645406992700033,0.0284827751818868,2026-07-23T11:41:12.206349+00:00,continuation,,,,,,,,high,True,converged,0.205,0.2,0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:41:12.218210+00:00,0.205,0.0049999999999999,M1p450000,converged,7.322776123184753e-11,40.0,1e-06,-1415.177478361045,168.8431297298363,0.0097707565469406,0.0823687527668493,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.450000_a0.20500000,M1.450000_a0.20500000,0.275,,max_available_alpha_proxy,0.7454545454545454,validation,True,3.0,False,C11;C12;C21;C22,C21,train_pool,True,True,True,True,True
