alpha,Mach,blumen_cr,blumen_ci,seed_source,seed_cr_center,seed_ci_center,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,shooting_err_cr_vs_blumen,shooting_err_ci_vs_blumen,stage1_mismatch,stage2_mismatch,spectral_success,mode_success,success,y_limit,centroid_abs_y,spread_abs_y,peak_y,centroid_abs_y_center8,spread_abs_y_center8,peak_y_center8
0.15,1.3,0.2568936438445621,0.06839717044667962,anchor_blumen,0.2568936438445621,0.06839717044667962,0.08,0.03,0,0.26798739384456216,0.06994013919667963,0.010491020879501944,0.011093750000000069,0.0015429687500000122,8.112014474093219e-06,1.257417225190459e-21,True,True,True,80.0,26.853631130254605,34.33064634132896,0.2840415812011533,3.811543040180048,4.4511733350047225,0.2840415812011533
0.15,1.35,0.2599531237627682,0.05975146049033215,continuation_previous,0.26798739384456216,0.06994013919667963,0.03,0.015,0,0.2939053625945622,0.061610061071679614,0.009241509160751941,0.03395223883179399,0.0018586005813474651,1.8331755114281913e-06,1.499421059641977e-21,True,True,True,80.0,27.750000026074595,35.22874762599187,0.31147981882253367,3.8217124795177537,4.4601258601679215,0.31147981882253367
0.15,1.4,0.3096630653915741,0.032689688669455735,continuation_previous,0.2939053625945622,0.061610061071679614,0.03,0.015,0,0.3181436438445621,0.054178420446679615,0.008126763067001943,0.008480578452987997,0.02148873177722388,2.5338381594250295e-06,1.824509422062825e-21,True,True,True,80.0,28.552593818891552,36.020904163530695,0.33700786287664575,3.8309425830611863,4.4682294720083675,0.33700786287664575
0.15,1.45,0.3237698115763638,0.04459313825822804,continuation_previous,0.3181436438445621,0.054178420446679615,0.03,0.015,0,0.34093661259456204,0.04760615482167961,0.007140923223251942,0.01716680101819823,0.0030130165634515704,1.6634324857471132e-06,2.0115535057853515e-21,True,True,True,80.0,29.27076069186427,36.7211056007369,0.36061823012762156,3.8392289868671994,4.475484620810962,0.36061823012762156
0.15,1.5,,0.03454854751840092,continuation_previous,0.34093661259456204,0.04760615482167961,0.03,0.015,0,0.362362393844562,0.041834670446679614,0.006275200567001942,,0.007286122928278696,1.4453921913973998e-06,2.2913814141507442e-21,True,True,True,80.0,29.91234195406175,37.34006949254324,0.38427603620708917,3.8466638283699064,4.481976580480444,0.38427603620708917
