Mach,alpha,reference_cr,reference_ci,reference_omega_i,line_id,source_label
1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,M1.20_anchor0.200,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736817,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,M1.30_anchor0.175,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,M1p40_branch_guided_0p125000,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,M1p40_branch_guided_0p137500,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,M1p40_branch_guided_0p150000,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,M1p40_branch_guided_0p162500,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,M1p40_branch_guided_0p168750,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.5,0.125,0.3492641497157056,0.0487962958623987,0.0060995369827998,M1.50_anchor0.125,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,M1.50_anchor0.150,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,M1.50_anchor0.125,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.5,0.15625,0.3652797747157056,0.0399391725184009,0.0062404957060001,M1.50_anchor0.150,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871,M1.50_anchor0.150,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary
