final_reference_id,alpha,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M2,ci_abs_error_S4M2,kappa_nrmse_S4M2,q_nrmse_S4M2,log_amp_rmse_S4M2,amplitude_rel_l2_S4M2,phase_rmse_S4M2,pressure_rel_l2_S4M2,pressure_overlap_error_S4M2,role,delta_cr_abs_error_S4M2_minus_S4,delta_ci_abs_error_S4M2_minus_S4,delta_kappa_nrmse_S4M2_minus_S4,delta_q_nrmse_S4M2_minus_S4,delta_log_amp_rmse_S4M2_minus_S4,delta_amplitude_rel_l2_S4M2_minus_S4,delta_phase_rmse_S4M2_minus_S4,delta_pressure_rel_l2_S4M2_minus_S4,delta_pressure_overlap_error_S4M2_minus_S4
M1.500000_a0.05000000,0.05,0.008994857122655,0.0207413792290881,1.502276867186299,0.5325025262756621,0.2017077711174957,0.2039994818540041,0.712237109136878,0.7398361338091513,0.0652680182571308,0.0087275302908373,0.0205765276828005,0.5500645797848761,0.2208296423625842,0.1053522703387757,0.0827473469115476,0.2905548042010254,0.2777750252017678,0.0348290528004439,off_anchor,-0.0002673268318176998,-0.00016485154628759907,-0.9522122874014228,-0.3116728839130779,-0.09635550077871999,-0.1212521349424565,-0.42168230493585257,-0.4620611086073835,-0.030438965456686902
M1.500000_a0.05500000,0.055,0.0052030853394315,0.01458288258665,1.3783923623448482,0.4712028250207391,0.2288642460907367,0.2300811483495565,0.7063499407504434,0.7445499030850957,0.0591473874893391,0.0050335697296903,0.0144509998595039,0.3645905510908559,0.1500547132666905,0.0799307152648512,0.062061827252993,0.2172736737370806,0.210132424515629,0.0193693658959375,off_anchor,-0.00016951560974119966,-0.0001318827271461001,-1.0138018112539924,-0.3211481117540486,-0.1489335308258855,-0.1680193210965635,-0.4890762670133628,-0.5344174785694668,-0.0397780215934016
M1.500000_a0.06000000,0.06,0.0025398591574282,0.0090232759207225,1.2880451442824004,0.4243395883266255,0.2563890726905141,0.2563204378540991,0.705800825880306,0.7522958736556868,0.0581878797708728,0.0024608233984561,0.0089270218699908,0.2166749975090541,0.092065351498987,0.0538290670760872,0.0412239147194252,0.1453582336095421,0.1419266220079769,0.0085816325872974,off_anchor,-7.903575897209988e-05,-9.625405073170057e-05,-1.0713701467733463,-0.3322742368276385,-0.20256000561442689,-0.21509652313467387,-0.5604425922707639,-0.6103692516477099,-0.0496062471835754
M1.500000_a0.06500000,0.065,0.0008619906697707,0.0041451036440065,1.2212861678559952,0.3887684182600793,0.2855312638814417,0.2832707799746554,0.7134613230528424,0.7628560057053856,0.0623307217302228,0.0008597256932693,0.0040847762929133,0.097866515237715,0.0440551284411478,0.0275461813619194,0.0205014744547455,0.0744856761779091,0.0733067909018573,0.0022155118462851,off_anchor,-2.2649765014000085e-06,-6.032735109319943e-05,-1.1234196526182803,-0.3447132898189315,-0.2579850825195223,-0.2627693055199099,-0.6389756468749332,-0.6895492148035283,-0.0601152098839377
M1.500000_a0.07000000,0.07,1.0179189188219695e-06,1.7564524993629591e-06,1.171690822851552,0.3616422363084854,0.3157017736687697,0.3105155311515405,0.7272801614995065,0.7753588696863866,0.0707618784136941,5.5219063426759085e-05,2.8042100845310225e-05,0.0271808118665768,0.0065376644871583,0.0054337597170435,0.0029849905539163,0.0066281419059046,0.0065195611592472,1.4485296106481194e-05,S4M2_modal_anchor,5.4201144507937116e-05,2.6285648345947266e-05,-1.144510010984975,-0.3551045718213271,-0.3102680139517262,-0.3075305405976242,-0.7206520195936019,-0.7688393085271393,-0.07074739311758761
M1.500000_a0.07500000,0.075,0.0002356417001867,0.0034006241472941,1.1349035821880595,0.3411912311857249,0.3456150722318796,0.3372386234628441,0.7440214238271832,0.7885348527235694,0.0825958266043367,0.0001410193266058,0.0033965002509337,0.0921068746815184,0.0316577791402368,0.0272964446944088,0.0206491703214835,0.0641752440360739,0.0643145099629893,0.0016765394416506,off_anchor,-9.462237358089998e-05,-4.123896360400375e-06,-1.0427967075065412,-0.3095334520454881,-0.3183186275374708,-0.3165894531413606,-0.6798461797911093,-0.7242203427605801,-0.08091928716268611
M1.500000_a0.08000000,0.08,3.066713435656565e-05,0.0060638888711549,1.10728185242605,0.3257820609567106,0.3774228554567821,0.3644583651196311,0.7677391745093479,0.8032495418843846,0.0977652287661304,8.28201092957781e-05,0.0060342169339276,0.1594831339785207,0.0606712942132589,0.0539863511524697,0.039978190407925,0.1315260245777784,0.1321070175221401,0.006873999362656,off_anchor,5.215297493921245e-05,-2.9671937227299452e-05,-0.9477987184475292,-0.2651107667434517,-0.3234365043043124,-0.3244801747117061,-0.6362131499315695,-0.6711425243622444,-0.09089122940347441
M1.500000_a0.08500000,0.085,0.0004369612704989,0.0080266042532382,1.086617479258697,0.3144001082331618,0.4099389426327147,0.3913478365501299,0.7955823875887668,0.8187095319654454,0.1154058204124222,0.0005526836883303,0.0079768716277537,0.2165123251991589,0.0856723447186529,0.0805324567267226,0.0583698582721845,0.1975870197266522,0.1987945568037593,0.015238882691416,off_anchor,0.00011572241783139997,-4.973262548449951e-05,-0.870105154059538,-0.22872776351450888,-0.3294064859059921,-0.3329779782779454,-0.5979953678621146,-0.6199149751616861,-0.1001669377210062
M1.500000_a0.09000000,0.09,0.0010144429735081,0.0093392817070896,1.0710766130634517,0.3060452142849607,0.4432158557153696,0.4178701889743129,0.8269611549048408,0.8349766246122731,0.1349228508110115,0.0011197941831486,0.0092751284828598,0.2639852404555231,0.1071548325010945,0.1064890085272305,0.0754532542703707,0.262185009209824,0.2637778220984773,0.0263637793644798,off_anchor,0.0001053512096404999,-6.415322422980048e-05,-0.8070913726079286,-0.19889038178386617,-0.33672684718813906,-0.3424169347039422,-0.5647761456950168,-0.5711988025137957,-0.1085590714465317
M1.500000_a0.09500000,0.095,0.0015807949587302,0.0100611509763001,1.059279456367065,0.2999286242621639,0.4772925103821896,0.4440014430778516,0.8612086345986197,0.8521306739325603,0.1557336516282632,0.0016675793215232,0.0099879490219353,0.3028520093272773,0.1255267724210744,0.1314339155378819,0.0908598287370178,0.3253012654250947,0.326492078141941,0.0398088456881761,off_anchor,8.678436279299998e-05,-7.320195436479916e-05,-0.7564274470397878,-0.17440185184108947,-0.3458585948443077,-0.3531416143408338,-0.535907369173525,-0.5256385957906193,-0.11592480594008708
