model,subset,n_modes,cr_abs_error_mean,cr_abs_error_median,cr_abs_error_max,ci_abs_error_mean,ci_abs_error_median,ci_abs_error_max,kappa_nrmse_mean,kappa_nrmse_median,kappa_nrmse_max,q_nrmse_mean,q_nrmse_median,q_nrmse_max,log_amp_rmse_mean,log_amp_rmse_median,log_amp_rmse_max,amplitude_rel_l2_mean,amplitude_rel_l2_median,amplitude_rel_l2_max,phase_rmse_mean,phase_rmse_median,phase_rmse_max,pressure_rel_l2_mean,pressure_rel_l2_median,pressure_rel_l2_max,pressure_overlap_error_mean,pressure_overlap_error_median,pressure_overlap_error_max
S4,all,45,0.002155921536411101,0.0020491570154354,0.008994857122655,0.005237331308824339,0.0043278095167688,0.0207413792290881,1.0491843761275836,1.0063697712981974,1.502276867186299,0.2237769569952492,0.2590522550732931,0.5325025262756621,1.0867627040841503,0.9805631205365724,2.380493322510106,0.6036003498328816,0.676200932355451,0.7690620715526564,0.8667838526780101,0.8747768654969896,1.2802218968545422,0.8621528785374397,0.8349766246122731,1.0221413973080855,0.1938979229400965,0.1901503082529222,0.3102683258125375
S4,off_anchor,41,0.002365851399685999,0.0022145954100901,0.008994857122655,0.005748231653060936,0.0049808659213729,0.0207413792290881,1.049515081770428,1.0063697712981974,1.502276867186299,0.22554407511902552,0.2590522550732931,0.5325025262756621,1.0799326267975853,0.9805631205365724,2.380493322510106,0.6028714253918069,0.676200932355451,0.7690620715526564,0.8760146839055675,0.8980913647206067,1.2802218968545422,0.8635795903764965,0.8379527676480807,1.0221413973080855,0.19482184689262014,0.1902544558902297,0.3102683258125375
S4,S4M2_modal_anchor,2,4.385523785926937e-06,4.385523785926937e-06,7.753128653031904e-06,9.089191029018443e-07,9.089191029018443e-07,1.7564524993629591e-06,1.0885638471011272,1.0885638471011272,1.171690822851552,0.2024618341478582,0.2024618341478582,0.3616422363084854,1.1857741705025153,1.1857741705025153,2.055846567336261,0.5390349284827534,0.5390349284827534,0.7675543258139661,0.4980808571863615,0.4980808571863615,0.7272801614995065,0.7740436761844971,0.7740436761844971,0.7753588696863866,0.12752225933626804,0.12752225933626804,0.184282640258842
S4,S4M4_added_anchor,2,3.895351900873312e-06,3.895351900873312e-06,6.146530502959546e-06,2.9664169552169606e-07,2.9664169552169606e-07,4.876517688962023e-07,1.0030254394757274,1.0030254394757274,1.0065130745152264,0.2088661583052249,0.2088661583052249,0.2822245094799627,1.127767822040374,1.127767822040374,1.4393575127320988,0.6831087222250374,0.6831087222250374,0.733551752115485,1.04625480800473,1.04625480800473,1.2177327505124704,0.9210144881897179,0.9210144881897179,1.0163800983851852,0.24133314551719065,0.24133314551719065,0.3078159069257881
S4M2,all,45,0.002002399609258978,0.0019299926768503,0.0087275302908373,0.005195210910491661,0.0043139179092458,0.0205765276828005,0.2603450155701774,0.3185334860043066,0.5500645797848761,0.11380581744675361,0.1284916182101145,0.2208296423625842,0.1682525622321436,0.16877917538868,0.3402091982662056,0.07244722487452838,0.0754532542703707,0.1274938693138459,0.5456637457525386,0.6311805057580733,0.9559178587672894,0.340259894153432,0.3452489545979992,0.6273841911061806,0.04763959924673481,0.0296317012358351,0.1465921114127117
S4M2,off_anchor,41,0.0021956997382050845,0.0021688011292666,0.0087275302908373,0.005701132682883964,0.0049243532675453,0.0205765276828005,0.26867852368657646,0.3188569780473747,0.5500645797848761,0.1172844371877335,0.1341660163178547,0.2208296423625842,0.17098205180351947,0.16877917538868,0.3366702208371764,0.07475139431200874,0.0754532542703707,0.1274938693138459,0.555555507650219,0.6311805057580733,0.9559178587672894,0.3477831630281952,0.3452489545979992,0.6273841911061806,0.047907037856020324,0.0296317012358351,0.1465921114127117
S4M2,S4M2_modal_anchor,2,3.166490997422167e-05,3.166490997422167e-05,5.5219063426759085e-05,1.4402851886505513e-05,1.4402851886505513e-05,2.8042100845310225e-05,0.01560829048850315,0.01560829048850315,0.0271808118665768,0.00396906967331715,0.00396906967331715,0.0065376644871583,0.0099400282411222,0.0099400282411222,0.0144462967652009,0.00259780638586855,0.00259780638586855,0.0029849905539163,0.12440207911453695,0.12440207911453695,0.2421760163231693,0.004723249444770599,0.004723249444770599,0.0065195611592472,8.720939895456858e-06,8.720939895456858e-06,1.4485296106481194e-05
S4M2,S4M4_added_anchor,2,1.0481665148553977e-05,1.0481665148553977e-05,1.8452683125447237e-05,4.622635054610594e-06,4.622635054610594e-06,8.143123332235436e-06,0.3342448242656709,0.3342448242656709,0.3499561625270352,0.1523308605301025,0.1523308605301025,0.1835774503969794,0.27061056000995976,0.27061056000995976,0.3402091982662056,0.09506116989484109,0.09506116989484109,0.0986383195794735,0.7641442934880947,0.7641442934880947,0.7967870768864641,0.5215695269294489,0.5215695269294489,0.621497241676447,0.08978798606322115,0.08978798606322115,0.1456053668490952
S4M4,all,45,0.0022796188252878153,0.0022939532915279,0.0089037514231158,0.005251006571085496,0.0043315054704061,0.0207403286972239,0.08566475057754806,0.0560154560834018,0.5172651876413098,0.02436304187863502,0.0180484817869485,0.1541585770869575,0.028537298200100727,0.0245038884221008,0.1061281751337701,0.015448678664121054,0.0147102858737381,0.0399108543686127,0.12438023973722839,0.0711491134018175,0.8194038449724649,0.06425103647345466,0.0632714074436392,0.2299793182371151,0.001142028337176748,0.0008327650086791,0.0083230543073578
S4M4,off_anchor,41,0.0025016714595285966,0.0024010685412699,0.0089037514231158,0.005763285766951267,0.0050015338319488,0.0207403286972239,0.09238689011688458,0.0604897511965604,0.5172651876413098,0.026368882393660937,0.0191964429795476,0.1541585770869575,0.029296992664049084,0.0245038884221008,0.1061281751337701,0.016527085414933734,0.0157763083461362,0.0399108543686127,0.13018408229512288,0.0798110741946367,0.8194038449724649,0.06994379917004012,0.0677909079353144,0.2299793182371151,0.0012522513978820125,0.000868448761689,0.0083230543073578
S4M4,S4M2_modal_anchor,2,5.051436082009753e-06,5.051436082009753e-06,7.416138316895804e-06,1.932195806716823e-07,1.932195806716823e-07,3.11083616283403e-07,0.0226286160924986,0.0226286160924986,0.0385052565096043,0.0050223711897800505,0.0050223711897800505,0.0080729096948829,0.0188337076882806,0.0188337076882806,0.0295853035221385,0.00423382653735725,0.00423382653735725,0.0046929838719448,0.12595599922333883,0.12595599922333883,0.2420954669447818,0.0059011135869995,0.0059011135869995,0.0059164355466696,1.2408445482225972e-05,1.2408445482225972e-05,1.6446030601247053e-05
S4M4,S4M4_added_anchor,2,2.107212557611593e-06,2.107212557611593e-06,2.8958708390702803e-06,9.640734197936819e-08,9.640734197936819e-08,1.7827478296719715e-07,0.0108970245061989,0.0108970245061989,0.013838758098088,0.0025839820094586503,0.0025839820094586503,0.0026884498971204,0.0226671522009795,0.0226671522009795,0.027834414245956,0.0045561923992249,0.0045561923992249,0.0063514011135159,0.003825707814281,0.003825707814281,0.0056135100860694,0.0058993240799076006,0.0058993240799076006,0.0086835967171852,1.2075484413343052e-05,1.2075484413343052e-05,1.9874947121301112e-05
