alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_corrected,ci_corrected,pinn_spectral_error,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,p_overlap_error_core40,fixed_c_total_seconds,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,p_excess_over_oracle,u_excess_over_oracle,v_excess_over_oracle,cr_pinn_error,ci_pinn_error,cr_corrected_error,ci_corrected_error
0.09,1.812993186489701e-09,0.1849919122211095,0.0492670610547065,0.1791239529848098,0.009267063450972,0.1839473016890006,0.0496152806293118,0.0093257515818239,0.0003388172667482,12.54822134785354,80,False,Maximum number of function evaluations has been exceeded.,0.0165487439583734,0.0245586633957803,0.0217928751654046,0.0001226828112683,1.0876672929152846,5.428255529193623e-06,3.3720574109372387e-06,5.586769931108192e-06,0.016543315702844206,0.02455529133836936,0.021787288395473493,0.04926705924171331,-0.005867959236299708,0.009267061637978814,-0.0010446105321089139
0.095,0.0185431702825212,0.1439719750936911,0.0544643551111221,0.1692249923944473,0.0172852938556925,0.1439739866254427,0.0439095251885373,0.001257878035197,2.3807131231158875e-05,12.786069136112928,80,False,Maximum number of function evaluations has been exceeded.,0.0027123542806049,0.0035328526496612,0.0036597274970236,3.212195667900985e-06,1.120540983043611,5.807576505361025e-06,3.877202545776664e-06,6.009247814080728e-06,0.0027065467040995393,0.003528975447115423,0.003653718249209519,0.0359211848286009,0.025253017300756186,-0.001257876426828699,2.0115317515834175e-06
0.1,0.0456244875305594,0.1408594531338783,0.0606545992195606,0.1592959314584732,0.0456244860980824,0.1408594541842535,0.0237867187816459,1.7763103268217674e-09,6.279809379776139e-11,12.993281428702176,80,False,Maximum number of function evaluations has been exceeded.,6.879215156742026e-06,4.5272457403997495e-06,7.238287053055546e-06,2.2718049663694728e-11,1.1372575368732214,6.878000541191547e-06,4.5268473940883246e-06,7.237370289303565e-06,1.2146155504785144e-09,3.9834631142496323e-10,9.167637519808105e-10,0.015030111689001202,0.018436478324594913,-1.4324769981310936e-09,1.0503752034818348e-09
0.105,0.0614720572586166,0.1377614529920954,0.0677538216114044,0.1495748907327652,0.0614720552765848,0.1377614416886178,0.0133797561501186,1.147593378131375e-08,7.66500108931536e-10,13.114362025633454,80,False,Maximum number of function evaluations has been exceeded.,7.907504731887284e-06,5.184185517701634e-06,8.415805341557878e-06,2.9851565663818747e-11,1.1480176588520408,7.909027272472991e-06,5.185036719829747e-06,8.411213386564276e-06,-1.5225405857071154e-09,-8.512021281129693e-10,4.591954993602004e-09,0.006281764352787808,0.011813437740669785,-1.9820317956331657e-09,-1.1303477626123382e-08
0.11,0.0737351788015254,0.1346775747592678,0.0756000950932502,0.1402843296527862,0.0737351796455828,0.1346775627486919,0.0059087742562339,1.2040197936591412e-08,1.3755349120021802e-09,13.211316994391382,80,False,Maximum number of function evaluations has been exceeded.,8.987320930598806e-06,5.894336416669179e-06,9.637349214532355e-06,3.838951379009359e-11,1.1584503399208188,8.99300467407568e-06,5.897168153304585e-06,9.638151465148012e-06,-5.6837434768734155e-09,-2.8317366354052895e-09,-8.022506156569673e-10,0.0018649162917248052,0.00560675489351839,8.440573934231921e-10,-1.2010575922705158e-08
0.115,0.0840064838857459,0.1316074319054831,0.0839708819985389,0.1316124051809311,0.0840064897922393,0.1316074349575164,3.5947570729903536e-05,6.648426272622408e-09,8.95809069933759e-10,12.945452087558806,78,True,Optimization terminated successfully.,1.0133916947361564e-05,6.665792685244684e-06,1.0921184881223254e-05,4.858768942739289e-11,1.167398041114211,1.0138460345157442e-05,6.66721101308087e-06,1.0928791154186403e-05,-4.543397795878405e-09,-1.4183278361856199e-09,-7.606272963149759e-09,-3.560188720699853e-05,4.9732754479892005e-06,5.906493405483104e-09,3.052033292760825e-09
0.12,0.0929554600078068,0.1285506661833083,0.0926094427704811,0.1237010210752487,0.0929554608923655,0.1285539848961616,0.0048619734267736,3.3187129712732577e-06,3.554022649013672e-07,13.398600685410202,80,False,Maximum number of function evaluations has been exceeded.,1.5719572905278417e-05,1.2034069024931343e-05,1.7198724299442414e-05,1.1019307688542311e-10,1.1772487638518214,1.1343446447802924e-05,7.493912424482607e-06,1.2280918509508131e-05,4.376126457475493e-06,4.540156600448736e-06,4.917805789934283e-06,-0.0003460172373257048,-0.004849645108059589,8.845587040617886e-10,3.318712853306316e-06
0.125,0.1009404428915874,0.1255069324594236,0.1012549102306366,0.1166407242417335,0.1009404379459147,0.1254995594263163,0.0088717832405195,7.373034766025103e-06,8.817392271428887e-07,13.497670030221345,80,False,Maximum number of function evaluations has been exceeded.,1.961728878413683e-05,1.898811357631432e-05,2.6691948348042805e-05,1.8506485233160674e-10,1.184247987344861,1.2608594894773273e-05,8.378101760951594e-06,1.3694642063030892e-05,7.008693889363558e-06,1.0610011815362726e-05,1.2997306285011913e-05,0.00031446733904919033,-0.008866208217690102,-4.945672704703696e-09,-7.3730331072996425e-06
0.13,0.1081805050618824,0.122475903263755,0.1096699684858322,0.1104722172021865,0.1081804953406243,0.122448566296436,0.0120957422408043,2.7336969047417065e-05,3.60235044923251e-06,13.581625625491142,80,False,Maximum number of function evaluations has been exceeded.,6.962871885208408e-05,6.83643756247235e-05,9.2734176926958e-05,2.2241817276835722e-09,1.1956642251461744,1.3939535965657052e-05,9.323766399963548e-06,1.5175567006071262e-05,5.5689182886427026e-05,5.904060922475996e-05,7.755860992088674e-05,0.0014894634239498022,-0.0120036860615685,-9.721258104056218e-09,-2.733696731900548e-05
0.135,0.114821536307718,0.1194572670812644,0.1176608949899673,0.1051927730441093,0.1148215508974598,0.1194572788863868,0.0145443373125934,1.8767564650105562e-08,2.692568977627493e-09,13.681229040957987,80,False,Maximum number of function evaluations has been exceeded.,1.5341602122409777e-05,1.0338636733379725e-05,1.6721733866897062e-05,1.1005085731596863e-10,1.199641895480454,1.5348011300221022e-05,1.0339257828819152e-05,1.6736088608906298e-05,-6.409177811245165e-09,-6.210954394275805e-10,-1.4354742009235798e-08,0.002839358682249299,-0.014264494037155101,1.4589741789694521e-08,1.180512239351561e-08
