alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_corrected,ci_corrected,pinn_spectral_error,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,p_overlap_error_core40,fixed_c_total_seconds,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,p_excess_over_oracle,u_excess_over_oracle,v_excess_over_oracle,cr_pinn_error,ci_pinn_error,cr_corrected_error,ci_corrected_error
0.14,0.1209667013989745,0.1164507274034491,0.1250875741243362,0.1007660552859306,0.1209666835852239,0.1164104981937384,0.0162169828097797,4.022921365466144e-05,6.25744897874252e-06,13.785224393941462,80,False,Maximum number of function evaluations has been exceeded.,0.0001077055167259,0.0001025872085909,0.0001411146466747,5.30455734892854e-09,1.38720341026783,1.684615992380331e-05,1.1433304356330973e-05,1.8389007628296743e-05,9.085935680209669e-05,9.115390423456903e-05,0.00012272563904640327,0.004120872725361685,-0.01568467211751849,-1.7813750599615652e-08,-4.022920971069599e-05
0.145,0.1266922780688296,0.1134560016881082,0.1318640261888504,0.0971323475241661,0.1266922861699083,0.1134296094515845,0.0171233368208688,2.639223776691658e-05,4.413300809426489e-06,13.873267001472414,80,False,Maximum number of function evaluations has been exceeded.,7.048624454130519e-05,6.721032127043073e-05,9.316145139582442e-05,2.2908774877095084e-09,5.641292792744935,1.844443617675633e-05,1.2614147015961969e-05,2.014517793527917e-05,5.204180836454886e-05,5.4596174254468755e-05,7.301627346054524e-05,0.005171748120020803,-0.016323654163942103,8.101078696753916e-09,-2.6392236523689605e-05
0.15,0.1320566414058153,0.1104728205019271,0.1379521936178207,0.0942181646823883,0.1320566385044365,0.1104669106042967,0.0172907886371949,5.909898342524496e-06,1.056659651427568e-06,13.993931591510773,80,False,Maximum number of function evaluations has been exceeded.,1.997657576751537e-05,1.7261562523151215e-05,2.5978556641803812e-05,1.9518686666941678e-10,5.669074737466872,2.0149715463738062e-05,1.3887852603038197e-05,2.2011417389709827e-05,-1.7313969622269183e-07,3.373709920113018e-06,3.967139252093984e-06,0.005895552212005412,-0.01625465581953879,-2.901378803876753e-09,-5.9098976303989526e-06
0.155,0.1371057085051619,0.1075009266966481,0.1433523595333099,0.0919431298971176,0.1371057203191296,0.1075009271915201,0.0167650138778035,1.1824327956455466e-08,2.241780255262989e-09,14.066035059280694,80,False,Maximum number of function evaluations has been exceeded.,2.195465687524637e-05,1.5253668979210457e-05,2.3975945271091717e-05,2.2352730777441818e-10,5.688251547515392,2.196955978278639e-05,1.526118639684654e-05,2.399525655521909e-05,-1.4902907540021744e-08,-7.517417636083949e-09,-1.931128412737155e-08,0.006246651028148004,-0.015557796799530496,1.1813967693008465e-08,4.948720044861687e-10
0.16,0.1418764142379207,0.1045400746294168,0.1480932235717773,0.090224765241146,0.1418764197898195,0.1045400808905729,0.0156069472087093,8.368133422481668e-09,1.6713308168951542e-09,14.162992999888957,80,False,Maximum number of function evaluations has been exceeded.,2.3916692221447026e-05,1.6746061950381753e-05,2.6106670468997213e-05,2.6473168102114636e-10,5.708202336914837,2.3914454613433597e-05,1.6743115661658296e-05,2.610735587617163e-05,2.2376080134286526e-09,2.946288723457396e-09,-6.854071744167396e-10,0.006216809333856599,-0.014315309388270789,5.55189880180329e-09,6.261156107467691e-09
0.165,0.1463990255732808,0.1015900294887648,0.1522229760885238,0.0889807119965553,0.1463990170298064,0.1015900313677511,0.0138893227777073,8.747659363584643e-09,1.8718069026112183e-09,14.254846408963203,80,False,Maximum number of function evaluations has been exceeded.,2.6012056657784148e-05,1.8353070469522804e-05,2.8378688090763037e-05,3.1248137410955223e-10,5.745649040676653,2.5997487602433712e-05,1.8344690127109203e-05,2.836115583817287e-05,1.456905535043523e-08,8.380342413600943e-09,1.7532252590166754e-08,0.005823950515243009,-0.012609317492209504,-8.543474400157791e-09,1.8789862998858098e-09
0.17,0.1506987370978195,0.0986505663220147,0.1558024138212204,0.0881293043494224,0.1506987470552701,0.0986505535355415,0.0116937790980033,1.620631724340048e-08,3.6392291233598342e-09,14.354579313658178,80,False,Maximum number of function evaluations has been exceeded.,2.8193477419240408e-05,2.0051917073047776e-05,3.0729216168057206e-05,3.6656311319660517e-10,5.765053354203701,2.8229285102017366e-05,2.007547144311484e-05,3.07673414724545e-05,-3.5807682776958186e-08,-2.355437006706335e-08,-3.812530439729233e-08,0.005103676723400896,-0.010521261972592302,9.95745058629538e-09,-1.2786473199688508e-08
0.175,0.1547968043623869,0.0957214701503959,0.1588999927043914,0.0875890031456947,0.1547968120254785,0.0957214851781036,0.0091089612005165,1.6868757355169232e-08,3.9259488527776445e-09,14.444963133893909,80,False,Maximum number of function evaluations has been exceeded.,3.0623817247166745e-05,2.1950154983339237e-05,3.33341277626511e-05,4.315117152486891e-10,5.797429003752768,3.060598575437246e-05,2.193519981361325e-05,3.332063386657686e-05,1.7831492794285195e-08,1.4955169725987884e-08,1.349389607424058e-08,0.004103188342004488,-0.008132467004701188,7.663091577958525e-09,1.5027707703230142e-08
0.18,0.1587113678144348,0.0928025345122517,0.1615886092185974,0.087277166545391,0.1587113532511706,0.092802539269851,0.0062296235253053,1.532068583991157e-08,3.806495578362016e-09,14.54458093456924,80,False,Maximum number of function evaluations has been exceeded.,3.313251358329316e-05,2.392685368396168e-05,3.6027920500107404e-05,5.040958761526325e-10,5.816347858868539,3.3103542057468286e-05,2.390888718181021e-05,3.599377421011885e-05,2.8971525824877107e-08,1.7966502151470996e-08,3.4146289988552575e-08,0.0028772414041626226,-0.005525367966860706,-1.456326417792475e-08,4.757599300631021e-09
0.185,0.1624580667905106,0.0898935613408621,0.1639434844255447,0.0871088057756424,0.1624580525601876,0.0898935578264358,0.0031561573326582,1.4657874459139029e-08,3.8241428396169445e-09,14.612806014716623,80,False,Maximum number of function evaluations has been exceeded.,3.570174353165387e-05,2.598068837615282e-05,3.87685555524246e-05,5.841477301871122e-10,5.83183229714632,3.569003346104504e-05,2.5975354433782523e-05,3.875110600555666e-05,1.1710070608828363e-08,5.33394237029852e-09,1.7449546867941937e-08,0.0014854176350340975,-0.0027847555652197042,-1.4230323003294743e-08,-3.514426305528673e-09
0.1875,0.1642727872469405,0.0884427509439601,0.165019616484642,0.087050937116146,0.164272802361776,0.088442760897182,0.001579525131671,1.809764848527932e-08,4.724354805097003e-09,14.65573949739337,80,False,Maximum number of function evaluations has been exceeded.,3.701374763943271e-05,2.704531440551592e-05,4.015143268308919e-05,6.270465258140233e-10,5.8577701430767775,3.701247526547362e-05,2.7040678544712397e-05,4.015664186531096e-05,1.2723739590894136e-09,4.63586080352339e-09,-5.209182221773583e-09,0.0007468292377015018,-0.0013918138278141007,1.511483549432313e-08,9.953221899450249e-09
0.19,0.1660505044719185,0.0869943604140983,0.1660409569740295,0.0869954898953437,0.1660504966442041,0.0869943504754973,9.61407529738287e-06,1.2651043441851571e-08,3.4516013502688783e-09,14.652129106223583,80,False,Maximum number of function evaluations has been exceeded.,3.8347624267856976e-05,2.812043159441868e-05,4.157726198461602e-05,6.720598522136355e-10,5.8678843434900045,3.835911768599241e-05,2.8131008649096995e-05,4.158510420269368e-05,-1.149341813543492e-08,-1.0577054678314506e-08,-7.842218077656611e-09,-9.547497888978684e-06,1.129481245393249e-06,-7.82771439333807e-09,-9.938600997738689e-09
0.195,0.1695006064537406,0.0841047488496381,0.1679575741291046,0.0868451371788978,0.1695005997284474,0.0841047432018722,0.0031449446656522,8.782188022627164e-09,2.5041031697695234e-09,14.79939014930278,80,False,Maximum number of function evaluations has been exceeded.,4.117553762016741e-05,3.0422417921269627e-05,4.456842865606964e-05,7.732405826743616e-10,5.908943801186979,4.11797289631458e-05,3.0427251374751555e-05,4.456971354835317e-05,-4.191342978390007e-09,-4.833453481928345e-09,-1.2848922835266303e-09,-0.0015430323246360123,0.0027403883292596992,-6.725293211218286e-09,-5.647765907723645e-09
0.2,0.172818900945195,0.0812245506598016,0.1697693169116974,0.0865625292062759,0.1728189138450868,0.0812245648409915,0.0061476806797347,1.9170637874927807e-08,5.533149333406977e-09,14.90459172334522,80,False,Maximum number of function evaluations has been exceeded.,4.4355545821057234e-05,3.301978757882126e-05,4.791756344568366e-05,8.948655150220474e-10,5.950836356729269,4.433786616204295e-05,3.300303074763911e-05,4.790548305478049e-05,1.7679659014286763e-08,1.675683118215125e-08,1.2080390903168863e-08,-0.0030495840334976154,0.0053379785464743035,1.2899891793649587e-08,1.4181189902928715e-08
0.205,0.176014741248715,0.0783535962323096,0.1715507060289383,0.0860512107610702,0.1760147469085962,0.0783536090338864,0.0088983638876364,1.399695060377434e-08,4.1446611664339525e-09,14.92512830067426,80,False,Maximum number of function evaluations has been exceeded.,4.793440068426229e-05,3.594166033182819e-05,5.16938840522996e-05,1.0429149766011392e-09,5.975973775610328,4.790903856994966e-05,3.592061953889094e-05,5.167108755775405e-05,2.536211431262991e-08,2.1040792937250476e-08,2.279649454555127e-08,-0.004464035219776702,0.007697614528760596,5.6598812026020795e-09,1.28015767986156e-08
0.21,0.1790964847299399,0.0754917222519709,0.1733735352754593,0.0852164328098297,0.1790964793459926,0.0754917263941942,0.0112837115300183,6.793003963325443e-09,2.1671631832967952e-09,15.099626381881537,80,False,Maximum number of function evaluations has been exceeded.,5.1625065990328464e-05,3.89842319529924e-05,5.557640440425914e-05,1.2064851340198855e-09,5.997198987752199,5.160704236978059e-05,3.897151078519924e-05,5.555629621431273e-05,1.8023620547872135e-08,1.2721167793159239e-08,2.0108189946411916e-08,-0.005722949454480597,0.009724710557858798,-5.383947287995738e-09,4.1422233004739795e-09
0.215,0.1820716357575376,0.0726387709774911,0.1753052324056625,0.0839694142341613,0.1820716408234274,0.0726387763556377,0.0131972607358569,7.388348986660628e-09,2.3034244910075075e-09,15.154880023561418,80,False,Maximum number of function evaluations has been exceeded.,5.517422291835497e-05,4.196551347325039e-05,5.927991944155368e-05,1.3731947801076672e-09,6.042330938391388,5.516561674203565e-05,4.195747794744564e-05,5.927338866019895e-05,8.60617631932186e-09,8.035525804754758e-09,6.530781354733607e-09,-0.006766403351875089,0.0113306432566702,5.065889790989431e-09,5.378146608614465e-09
0.22,0.1849469655531981,0.0697945900466464,0.177406758069992,0.0822326019406318,0.1849469710524833,0.0697945840730856,0.0145450633812547,8.119456088702067e-09,2.6745424144386044e-09,15.23357331007719,80,False,Maximum number of function evaluations has been exceeded.,5.896059984245701e-05,4.516222221969151e-05,6.322589466443725e-05,1.5638722539179641e-09,6.075313069857657,5.898498792685326e-05,4.518011060523957e-05,6.325252893245691e-05,-2.4388084396255254e-08,-1.7888385548058244e-08,-2.6634268019659732e-08,-0.0075402074832060795,0.012438011893985398,5.499285221644001e-09,-5.973560798788746e-09
0.225,0.1877286098412757,0.0669590322340125,0.1797299683094024,0.0799456685781478,0.1877286082145592,0.0669590192296713,0.0152522454048649,1.310568941908351e-08,4.587650747914293e-09,15.368019681423904,80,False,Maximum number of function evaluations has been exceeded.,6.36075133960514e-05,4.9057210668101136e-05,6.807642088055063e-05,1.815002037552915e-09,6.123733079992235,6.364513276800138e-05,4.90875999818101e-05,6.811353812933682e-05,-3.7619371949981686e-08,-3.0389313708960905e-08,-3.7117248786187104e-08,-0.007998641531873296,0.0129866363441353,-1.6267165114935977e-09,-1.3004341201106051e-08
0.23,0.1904221496469428,0.0641319550045144,0.1823146790266037,0.0770721286535263,0.1904221488939677,0.0641319476803431,0.0152702054316975,7.362775006343563e-09,2.680337344362971e-09,15.472804054617882,80,False,Maximum number of function evaluations has been exceeded.,6.829076194383878e-05,5.303293498434593e-05,7.293894870343497e-05,2.0838752945451233e-09,6.16652197483927,6.831314952111264e-05,5.305108383625824e-05,7.296118064325591e-05,-2.2387577273857745e-08,-1.8148851912308007e-08,-2.2231939820940416e-08,-0.008107470620339091,0.012940173649011913,-7.529750989387907e-10,-7.324171297229398e-09
0.235,0.1930326802611433,0.0613132204151196,0.1851853132247924,0.0736056715250015,0.1930326879069178,0.0613132173036679,0.0145837417589603,8.254634987850647e-09,2.9728948452429653e-09,15.560039483942091,80,False,Maximum number of function evaluations has been exceeded.,7.268962609945702e-05,5.684053001586389e-05,7.747367887046993e-05,2.352218642087678e-09,6.185139534063637,7.270910937262893e-05,5.685421642915291e-05,7.749641234377469e-05,-1.9483273171902135e-08,-1.3686413289016241e-08,-2.2733473304764563e-08,-0.007847367036350916,0.012292451109881898,7.645774485753876e-09,-3.1114517004549036e-09
0.24,0.1955648684042731,0.0585026948235119,0.1883476972579956,0.069575548171997,0.1955648611007723,0.058502683082396,0.0132172478463452,1.3827325337193504e-08,5.325219217840561e-09,15.71632769331336,80,False,Maximum number of function evaluations has been exceeded.,7.823360815349427e-05,6.15841858464827e-05,8.321656231233802e-05,2.7143856051736744e-09,6.228052730672061,7.826549586953773e-05,6.161199226367599e-05,8.324584933537119e-05,-3.188771604345573e-08,-2.780641719328091e-08,-2.928702303317142e-08,-0.007217171146277485,0.011072853348485102,-7.303500776378868e-09,-1.1741115898966648e-08
0.245,0.1980230022868483,0.0557002486180792,0.1917863339185714,0.0650499984622001,0.198022987329763,0.0557002492799149,0.0112389436551441,1.4971720911698966e-08,5.910731991501869e-09,15.869865077547727,80,False,Maximum number of function evaluations has been exceeded.,8.394997402137162e-05,6.65295106389291e-05,8.9110753766552e-05,3.1130491517927794e-09,6.293335097841919,8.393036361393173e-05,6.651752191144265e-05,8.908486009065172e-05,1.9610407439886175e-08,1.1988727486450523e-08,2.589367590027751e-08,-0.00623666836827691,0.009349749844120896,-1.4957085292532923e-08,6.618356973575601e-10
0.25,0.200411032708281,0.0529057559191424,0.1954624354839325,0.0601360946893692,0.2004110272881913,0.0529057583058083,0.0087616444358964,5.922292350236601e-09,2.432529381024686e-09,16.02844307385385,80,False,Maximum number of function evaluations has been exceeded.,8.923533914499477e-05,7.11990188870115e-05,9.45185707236652e-05,3.4996342490600796e-09,6.330174759961665,8.922030963604536e-05,7.118816419709019e-05,9.450113001337573e-05,1.5029508949407637e-08,1.085468992130295e-08,1.744071028947998e-08,-0.004948597224348511,0.007230338770226802,-5.420089710383991e-09,2.3866658996340995e-09
0.255,0.2027326097584077,0.0501190946120559,0.1993140578269958,0.0549744293093681,0.2027326114729981,0.0501190850412733,0.0059380781681183,9.723152728029865e-09,4.010278044009867e-09,16.262841033749282,80,False,Maximum number of function evaluations has been exceeded.,9.622461468106816e-05,7.728653465552549e-05,0.000101707360254,4.054718671930857e-09,6.457858347333968,9.62635356511802e-05,7.731815279862927e-05,0.0001017475786323,-3.8920970112037265e-08,-3.161814310377435e-08,-4.0218378300000877e-08,-0.0034185519314119117,0.004855334697312197,1.7145903863369227e-09,-9.570782603940398e-09
0.26,0.2049911138976746,0.0473401459935351,0.2032583057880401,0.0497283488512039,0.2049911167094922,0.0473401435984762,0.0029506163481876,3.693592524362342e-09,1.5285311562934346e-09,16.418281284160912,80,False,Maximum number of function evaluations has been exceeded.,0.0001023329534814,8.27417157950449e-05,0.0001079349815596,4.560062882852378e-09,6.518606428056955,0.0001023455857859,8.275141457770664e-05,0.0001079489713193,-1.2632304499990811e-08,-9.69878266174546e-09,-1.3989759700008364e-08,-0.0017328081096344983,0.002388202857668796,2.811817584325027e-09,-2.3950589012056156e-09
0.265,0.2071896831590645,0.0445687947481188,0.2071961760520935,0.044568195939064,0.2071896731847353,0.0445687976034403,6.52044723698151e-06,1.0374974877035046e-08,4.527777065784293e-09,16.59567156434059,80,False,Maximum number of function evaluations has been exceeded.,0.0001097854356713,8.934691556264375e-05,0.0001155573256996,5.221222343365639e-09,6.575656236149371,0.0001097632344372,8.933117602427686e-05,0.0001155306420367,2.2201234100001984e-08,1.573953836688446e-08,2.6683662900003338e-08,6.492893029008684e-06,-5.988090547998093e-07,-9.974329195916454e-09,2.855321500072616e-09
0.27,0.2093312368277515,0.0418049284949206,0.2110199630260467,0.0396528802812099,0.2093312554690876,0.0418049448680683,0.002735526948678,2.481087219151656e-08,1.0907672092172197e-08,16.81154850963503,80,False,Maximum number of function evaluations has been exceeded.,0.0001173923190202,9.617218635285948e-05,0.0001232935250781,5.934198576973415e-09,6.508705294691026,0.0001173397541149,9.612279982458342e-05,0.0001232476914451,5.256490530000657e-08,4.9386528276060054e-08,4.583363299998219e-08,0.0016887261982951873,-0.0021520482137107055,1.8641336085867266e-08,1.6373147698756085e-08
0.275,0.2114184963433446,0.0390484380561166,0.2146220505237579,0.0351128838956356,0.2114184889293118,0.0390484241502818,0.0050745783999188,1.5758810951926657e-08,7.190294429921779e-09,17.062522209249437,80,False,Maximum number of function evaluations has been exceeded.,0.0001250756422971,0.000103130139407,0.0001311054474788,6.695819676494352e-09,6.570837656036019,0.0001251311392484,0.0001031791065775,0.000131158906603,-5.549695130001504e-08,-4.896717049998915e-08,-5.3459124199997134e-08,0.0032035541804133205,-0.003935554160481004,-7.414032776598134e-09,-1.3905834803096262e-08
0.28,0.2134540034479028,0.0362992172070976,0.2179038524627685,0.0310383103787899,0.2134540037588868,0.0362992063903203,0.0068904496886078,1.0821246769927006e-08,5.013379693946531e-09,17.408858084119856,80,False,Maximum number of function evaluations has been exceeded.,0.0001340755988422,0.000111284490643,0.0001402467197331,7.651287381449379e-09,6.92508080881089,0.000134126298085,0.0001113274137972,0.0001402985378285,-5.069924280000208e-08,-4.292315419999885e-08,-5.181809539998015e-08,0.004449849014865698,-0.005260906828307696,3.1098398856066467e-10,-1.081677730024877e-08
0.285,0.2154401364406462,0.0335571621878426,0.2207838296890258,0.0274748262017965,0.2154401410217429,0.0335571646687996,0.0080962873330884,5.2097595652036e-09,2.405186360292062e-09,17.810377686284482,80,False,Maximum number of function evaluations has been exceeded.,0.0001428602085295,0.0001193728197057,0.0001491280103193,8.621768632366411e-09,7.061785154044628,0.0001428522005656,0.0001193646399023,0.0001491217808056,8.00796390001057e-09,8.179803399996789e-09,6.229513699996343e-09,0.005343693248379605,-0.006082335986046097,4.581096696432141e-09,2.480957002337636e-09
0.29,0.2173791244470361,0.0308221720963001,0.2232031375169754,0.0244271848350763,0.217379127605084,0.0308221561282002,0.0086495659029825,1.6277391634627812e-08,7.914899085291118e-09,18.139323552139103,80,False,Maximum number of function evaluations has been exceeded.,0.000152778597396,0.0001285268009815,0.0001591633869782,9.791520261259734e-09,7.233391813933849,0.0001528612246828,0.0001285965709121,0.0001592490391206,-8.262728679999461e-08,-6.976993060001753e-08,-8.565214239998772e-08,0.005824013069939293,-0.006394987261223801,3.1580478787596178e-09,-1.5968099901370048e-08
0.295,0.2192730602272913,0.0280941487707899,0.2251298576593399,0.0218683369457721,0.2192730524682147,0.0280941471731246,0.0085476785761154,7.921856009917816e-09,4.067727845909149e-09,18.678872396238148,80,False,Maximum number of function evaluations has been exceeded.,0.0001632630772972,0.0001382819123094,0.000169750936105,1.1095006025030331e-08,7.5739995231851935,0.0001632653499978,0.0001382862153069,0.0001697499115138,-2.2727006000072564e-09,-4.3029974999830856e-09,1.0245911999959365e-09,0.005856797432048616,-0.006225811825017798,-7.759076575686308e-09,-1.5976652986693374e-09
0.3,0.2211239117409991,0.0253729963228432,0.2265605628490448,0.0197507850825786,0.2211239141307937,0.0253729919583373,0.0078208972951172,4.975945093130019e-09,2.4774004995075532e-09,19.39807706233114,80,False,Maximum number of function evaluations has been exceeded.,0.0001736387148407,0.0001480514913341,0.0001801813914505,1.2434482332679409e-08,7.10332790017128,0.0001736639525755,0.0001480726069518,0.0001802081952369,-2.5237734799986268e-08,-2.1115617700016723e-08,-2.6803786400017527e-08,0.005436651108045698,-0.005622211240264598,2.389794584445326e-09,-4.364505899051574e-09
0.305,0.222933531423503,0.0226586211744938,0.2275197803974151,0.018017329275608,0.2229335190897463,0.0226586150013513,0.0065249728077113,1.3792361736915492e-08,7.1961399825617625e-09,20.30895342770964,80,False,Maximum number of function evaluations has been exceeded.,0.0001865377458054,0.0001600302008693,0.00019320010848,1.4249336821592353e-08,8.256501012481749,0.0001865637195568,0.0001600567476805,0.000193221201716,-2.597375140000243e-08,-2.654681120000074e-08,-2.1093236000007754e-08,0.004586248973912105,-0.004641291898885801,-1.2333756710392052e-08,-6.1731425006483764e-09
0.31,0.2247036667495888,0.0199509324746749,0.2280564457178115,0.0166091807186603,0.2247036699772973,0.0199509422037612,0.0047337544939068,1.025052311399804e-08,5.5552118187142165e-09,21.24303895421326,80,False,Maximum number of function evaluations has been exceeded.,0.0001972345774679,0.0001702209259411,0.0002038846511659,1.5762582461498198e-08,7.529176744632423,0.0001971804942442,0.000170172382529,0.0002038308745806,5.408322370002261e-08,4.854341210001e-08,5.377658529999397e-08,0.003352778968222697,-0.003341751756014602,3.227708489372816e-09,9.729086300480638e-09
0.315,0.2264359667445679,0.0172498403916324,0.2282373309135437,0.0154712861403822,0.2264359729448585,0.017249845471531,0.0025314359746811,8.015545751157337e-09,4.128014162616367e-09,23.018780203536156,80,False,Maximum number of function evaluations has been exceeded.,0.000211876237893,0.0001839695361062,0.0002186140259937,1.803185367688087e-08,9.504866459406912,0.0002118493657361,0.0001839436119262,0.0002185893712379,2.6872156900007143e-08,2.5924179999984838e-08,2.4654755800005085e-08,0.0018013641689758053,-0.0017785542512501994,6.200290614266635e-09,5.079898602461386e-09
