task_index,role,Mach,alpha,modal_setting,spectral_cr,spectral_ci,cr,ci,omega_i,matching_y,numerical_extent,modal_dy,tail_tolerance,analytic_tail_points,gamma_left_real,gamma_left_imag,gamma_right_real,gamma_right_imag,mu_left,mu_right,far_left,far_right,left_distance,right_distance,left_interface_amplitude,right_interface_amplitude,left_far_amplitude,right_far_amplitude,delta_kappa_at_match,delta_q_at_match,gamma_mismatch_at_match,right_log_amplitude_shift,n_coordinates,timestamp,modal_success,error
50,near_neutral,1.9,0.215,modal_coarse,0.5118587392276037,0.0007751325923747577,0.5118587392276037,0.0007751325923747577,0.0001666535073605729,1.0,40.0,0.05,1e-06,300,0.0003377697887107859,-0.5789626300647626,-0.08039329514283598,-0.000785390798265198,0.0003377697887107859,0.08039329514283598,-40906.0204670581,172.56243274361452,40866.0204670581,132.56243274361452,0.9878707008777114,0.042494535934909865,9.999999999999987e-07,1.0000000000000004e-06,5.027845143695808e-08,-7.676905365824383e-08,9.176824221091342e-08,-3.1461763181991187,2201,2026-07-24T08:35:16.028154+00:00,True,
50,near_neutral,1.9,0.215,modal_nominal,0.5118587392276037,0.0007751325923747577,0.5118587392276037,0.0007751325923747577,0.0001666535073605729,1.0,40.0,0.025,1e-06,300,0.0003377697887107859,-0.5789626300647626,-0.08039329514283598,-0.000785390798265198,0.0003377697887107859,0.08039329514283598,-40906.020131707264,172.5624312334441,40866.020131707264,132.5624312334441,0.9878705889802417,0.04249453077575158,1.0000000000000004e-06,1.0000000000000004e-06,8.599147158228071e-10,-1.603108738422107e-10,8.747301839771349e-10,-3.146176326335316,3801,2026-07-24T08:35:16.183173+00:00,True,
50,near_neutral,1.9,0.215,modal_strict,0.5118587392276037,0.0007751325923747577,0.5118587392276037,0.0007751325923747577,0.0001666535073605729,1.0,50.0,0.0125,1e-06,300,0.0003377697887107859,-0.5789626300647626,-0.08039329514283598,-0.000785390798265198,0.0003377697887107859,0.08039329514283598,-40906.02013170666,172.56243123168633,40856.02013170666,122.56243123168632,0.984539489469793,0.01901907510524424,1.0000000000000004e-06,9.999999999999987e-07,6.980867273131963e-12,-8.737149057632537e-11,8.764992797152772e-11,-3.946731580017677,8601,2026-07-24T08:35:16.514140+00:00,True,
