epoch,loss,loss_anchor,loss_monotone,loss_smooth,anchor_mae,anchor_max_abs,anchor_mean_rel,anchor_max_rel
1,10.287386894226074,0.10287386924028397,0.04054558277130127,0.03085809201002121,0.128781259059906,0.2583133578300476,0.67836993932724,1.873695969581604
100,0.07902659475803375,0.0007902659708634019,0.0,2.4294075965881348,0.023969700559973717,0.04834861308336258,0.3092111349105835,1.0920401811599731
200,0.03529634326696396,0.0003529634268488735,0.0,2.23107647895813,0.014775479212403297,0.029650934040546417,0.19548891484737396,0.6697195172309875
300,0.01079914253205061,0.00010799142910400406,0.0,1.9828304052352905,0.009248106740415096,0.014353390783071518,0.09994282573461533,0.32419708371162415
400,0.002022617030888796,2.022617081820499e-05,0.0,2.738704204559326,0.003711868077516556,0.005503103137016296,0.03866894915699959,0.12429745495319366
500,0.001129825715906918,1.1298257049929816e-05,0.0,3.790738582611084,0.0012381402775645256,0.0016914121806621552,0.012268257327377796,0.03820357844233513
600,4.7758958316990174e-06,4.775895945385855e-08,0.0,4.223749160766602,0.0001842314377427101,0.0003084130585193634,0.002098476979881525,0.006966061890125275
700,0.050574902445077896,0.0005057490197941661,0.0,3.959073781967163,0.019154444336891174,0.04322558641433716,0.04088950157165527,0.0644729733467102
800,6.1282912611204665e-06,6.12829111901192e-08,0.0,4.508979797363281,0.0002110842615365982,0.0003484264016151428,0.002336782170459628,0.007869835011661053
900,9.264939926367788e-09,9.264940203923544e-11,0.0,4.61979866027832,8.10716301202774e-06,1.4308840036392212e-05,9.578426397638395e-05,0.0003231908194720745
1000,6.420211584590163e-12,6.420211584590163e-14,0.0,4.624561309814453,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1001,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1100,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1200,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1300,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1400,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
1500,5.578870698741412e-12,5.5788706987414116e-14,0.0,4.624567985534668,2.1979212760925293e-07,3.5762786865234375e-07,2.393898284935858e-06,8.077667189354543e-06
