Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated
1.65,0.05,300,0.036495669112601,0.3621555514026959,-2.22799296373255e-12,-1.8257717386560568e-11,-4110.385386163041,1597.0198994546363,-0.10065293044989965,0.0033616268863936685,1.8393156249375955e-11,-0.018302150782828912,-0.008656889590770645,4070.385386163042,1.000000000000002e-06,0.8759961300078887,1.0,0.025,0.0033616268863936685,0.008656889590770645,3801,40.0,0.0018247834556300501,1557.0198994546363,1.0000000000000004e-06,0.7142221734467575,-0.20416759189795866,1e-06,2026-07-23T12:04:52.440049+00:00,converged,,2026-07-23T12:04:52.450682+00:00
1.65,0.055,300,0.0374926077708714,0.3662279081708821,-2.6896098195838825e-12,-1.7934612996095556e-11,-3640.137359194184,1366.1072686571529,-0.11113126659972022,0.0037959965080499444,1.8135168714443263e-11,-0.01933443211027452,-0.010121400416943004,3600.137359194184,1.0000000000000004e-06,0.8612230800635767,1.0,0.025,0.0037959965080499444,0.010121400416943004,3801,40.0,0.002062093427397927,1326.1072686571529,1.0000000000000004e-06,0.6747264725641847,-0.24404618210361517,1e-06,2026-07-23T12:04:52.596151+00:00,converged,,2026-07-23T12:04:52.606518+00:00
1.65,0.06,300,0.0382282042683652,0.3701372371305052,-1.3572765307501289e-11,-3.2451439972713825e-11,-3274.9705418171798,1186.336262470213,-0.12166619318739137,0.004219378029090979,3.517550162250937e-11,-0.020245409302703375,-0.011656647397045439,3234.9705418171798,1.0000000000000004e-06,0.8470911889184917,1.0,0.025,0.004219378029090979,0.011656647397045439,3801,40.0,0.0022936922561019118,1146.336262470213,9.999999999999987e-07,0.6356717610136706,-0.28712601883774536,1e-06,2026-07-23T12:04:52.753838+00:00,converged,,2026-07-23T12:04:52.764115+00:00
1.65,0.065,300,0.0387347851787765,0.3738879864066226,-7.190931877731899e-12,-2.6673439498803297e-11,-2985.5854448406367,1043.1678129411225,-0.1322536798976238,0.004628489837437777,2.7625746613738797e-11,-0.021040776091861262,-0.013258244862170532,2945.5854448406367,1.0000000000000004e-06,0.8336861543178468,1.0,0.025,0.004628489837437777,0.013258244862170532,3801,40.0,0.0025177610366204726,1003.1678129411225,1.0000000000000004e-06,0.5973416470601453,-0.33336779492803237,1e-06,2026-07-23T12:04:52.920864+00:00,converged,,2026-07-23T12:04:52.931104+00:00
1.65,0.07,300,0.0390396543196021,0.3774860384044758,-6.0999755593926785e-12,-2.801101711691345e-11,-2752.5004683261855,926.9559444613088,-0.14289005981921865,0.005020594195537254,2.8667521374356842e-11,-0.021725841594993075,-0.01492252858091904,2712.5004683261855,1.000000000000002e-06,0.8210703776880098,1.0,0.025,0.005020594195537254,0.01492252858091904,3801,40.0,0.0027327758023721472,886.9559444613088,1.0000000000000004e-06,0.5599626876191128,-0.3827386754306097,1e-06,2026-07-23T12:04:53.100509+00:00,converged,,2026-07-23T12:04:53.110846+00:00
1.65,0.075,300,0.0391659824628922,0.3809380418563458,-4.605106226907019e-12,-2.8972949039918205e-11,-2562.3316608681994,831.0835741322127,-0.15357200066201973,0.005393387097958504,2.933664567449379e-11,-0.02230555410260487,-0.016646408241420742,2522.3316608681994,1.0000000000000004e-06,0.8092887354438333,1.0,0.025,0.005393387097958504,0.016646408241420742,3801,40.0,0.0029374486847169147,791.0835741322127,1.0000000000000004e-06,0.5237135366779995,-0.43521090841174753,1e-06,2026-07-23T12:04:53.268025+00:00,converged,,2026-07-23T12:04:53.278215+00:00
1.65,0.08,300,0.0391335349544385,0.384250981694077,-5.888397408559953e-12,-3.1097898561815995e-11,-2405.628217223651,750.8802160607761,-0.1642964745081285,0.005744914081330476,3.165047423028813e-11,-0.022784528930919735,-0.018427253749705833,2365.628217223651,1.0000000000000004e-06,0.7983727369749175,1.0,0.025,0.005744914081330476,0.018427253749705833,3801,40.0,0.00313068279635508,710.8802160607761,1.0000000000000004e-06,0.4887322766412595,-0.4907607293232339,1e-06,2026-07-23T12:04:53.458118+00:00,converged,,2026-07-23T12:04:53.468298+00:00
1.65,0.085,300,0.0389592637888102,0.3874319042628995,-1.9446151286461877e-11,-4.2413234382920884e-11,-2275.5607387941454,682.9673211144978,-0.1750607284788506,0.0060735054691293386,4.665871034090575e-11,-0.02316707702338754,-0.020262807217319833,2235.5607387941454,1.0000000000000004e-06,0.7883444350344754,1.0,0.025,0.0060735054691293386,0.020262807217319833,3801,40.0,0.003311537422048867,642.9673211144978,1.0000000000000004e-06,0.4551229470731622,-0.5493674988574212,1e-06,2026-07-23T12:04:53.633810+00:00,converged,,2026-07-23T12:04:53.643990+00:00
1.65,0.09,300,0.0386577878381246,0.3904877446843208,-1.1247759668098212e-11,-3.540769587251358e-11,-2167.0977481608693,624.847950737896,-0.18586225746351065,0.00637772609030597,3.715127217945183e-11,-0.023457232394495077,-0.02215111426360378,2127.0977481608693,1.0000000000000004e-06,0.7792185247388175,1.0,0.025,0.00637772609030597,0.02215111426360378,3801,40.0,0.0034792009054312144,584.847950737896,1.0000000000000004e-06,0.42296037758515415,-0.6110130214470049,1e-06,2026-07-23T12:04:53.804443+00:00,converged,,2026-07-23T12:04:53.814698+00:00
1.65,0.095,300,0.0382417808850598,0.3934252208541309,-8.468987663934335e-12,-3.226050156179827e-11,-2076.473279748293,574.641665034809,-0.19669877922963494,0.006656335600257136,3.335361619181136e-11,-0.023658777318579564,-0.0240904692709714,2036.473279748293,1.0000000000000004e-06,0.7710045785319498,1.0,0.025,0.006656335600257136,0.0240904692709714,3801,40.0,0.003632969184080681,534.641665034809,1.0000000000000004e-06,0.3922946923363244,-0.6756809884589219,1e-06,2026-07-23T12:04:53.969602+00:00,converged,,2026-07-23T12:04:53.979913+00:00
