grid_index,i_cr,i_ci,Mach,alpha,cr_center,ci_center,cr_target,ci_target,cr_pinn,ci_pinn,cr_failure_reference,ci_failure_reference,status,technical_success,root_class,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,distance_target,distance_failure,error,seconds
291,16,11,1.15,0.06,0.08,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05002929687499999,0.14198437500000005,0.0012615871774256258,3.314247873580931e-21,0.0012615871774256258,0.07649209208338972,0.06400376439462752,,21.74628000194207
292,17,11,1.15,0.06,0.085,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05502929687500001,0.14198437500000005,0.0013826487984779528,3.377283740668923e-21,0.0013826487984779528,0.07985194515815594,0.06798363645343627,,21.770745458081365
293,18,11,1.15,0.06,0.09,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06002929687500001,0.14198437500000005,0.0015131866134664449,3.442945631244302e-21,0.0015131866134664449,0.08337641237057705,0.07209069145307867,,21.793011579895392
294,19,11,1.15,0.06,0.095,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06502929687500003,0.14198437500000005,0.001652836020743118,3.51097619600282e-21,0.001652836020743118,0.08704550036639393,0.07630439543652118,,21.769711229018867
295,20,11,1.15,0.06,0.1,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07002929687500004,0.14198437500000005,0.0018012368752383034,3.57924721542601e-21,0.0018012368752383034,0.09084168717215271,0.08060802523125718,,21.795032856985927
296,21,11,1.15,0.06,0.105,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07502929687500001,0.14198437500000005,0.0019580293767629924,3.6473709775923766e-21,0.0019580293767629924,0.09474969721603665,0.08498792090899147,,21.834991083014756
297,22,11,1.15,0.06,0.11,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08002929687500002,0.14198437500000005,0.002122851084963627,3.713213769750541e-21,0.002122851084963627,0.0987562560893131,0.08943287801017583,,21.865777325932868
298,23,11,1.15,0.06,0.115,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08502929687500002,0.14198437500000005,0.002295334733595121,3.7794817478786435e-21,0.002295334733595121,0.10284984740399648,0.09393366083536292,,21.91191758401692
299,24,11,1.15,0.06,0.12,0.126,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.09002929687499997,0.14198437500000005,0.0024751066342067174,3.850578455428637e-21,0.0024751066342067174,0.10702048451241811,0.09848261575873675,,21.965327534941025
300,0,12,1.15,0.06,0.0,0.132,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.00048583984374999994,0.11601562499999997,0.0003437793380270107,2.1601982200434246e-21,0.0003437793380270107,0.08383300731104071,0.013959017324560289,,21.574568117037416
