metric,aggregation,n,mean,median,p90,p95,p99,max
compat_abs,pooled_points,200704,0.00023752668252495962,0.00013449713365521886,0.0005080907946873944,0.000774974135558711,0.0016734651125681658,0.02220085520876817
compat_rel,pooled_points,200704,0.10061475515409696,0.0034251242301283043,0.372399176800385,0.6930258787397869,0.9859013806684023,0.9999999999152918
ode_abs,pooled_points,200704,0.003856054346386175,0.0009534088856864328,0.008666341256933944,0.01820655321790355,0.047939363874516035,0.2982145758970149
ode_rel,pooled_points,200704,0.4274241672876921,0.36336098331677313,0.9892949801678869,0.9985536987834414,0.9999748109235022,0.9999999999752378
bc_left_abs,pooled_points,50176,2.6609410695463066e-05,2.0123143615212865e-05,5.15262492798198e-05,6.924821554288599e-05,0.00011807918963132656,0.0009636018518741201
bc_right_abs,pooled_points,50176,2.8033702913143473e-05,2.0707721170779277e-05,5.855968334716392e-05,7.543894520712973e-05,0.0001330028936221218,0.0012411052321083884
gauge_abs,pooled_points,50176,2.2453497009432738e-05,1.2633664222411852e-05,5.300273233132781e-05,7.738209528655265e-05,0.00013998782808282703,0.0007405179673425624
q_center_abs,pooled_points,50176,6.404805710025586e-05,3.071616002274513e-05,0.00015567087714099927,0.00026729592609922364,0.0005051716387573114,0.002575656370051877
parity_p_re_even_abs,pooled_points,50176,0.00021138478278394965,0.00012645702925201396,0.0004804466752272307,0.0006837211990232128,0.0013927604509808011,0.0048679833933205074
parity_p_im_odd_abs,pooled_points,50176,0.00016304931001031762,8.798145938916299e-05,0.00039780601721946674,0.0005742042820614883,0.0010606156285930166,0.007033585106151541
parity_q_re_odd_abs,pooled_points,50176,0.0002961202791096462,0.00012303588895568734,0.0006422106216126267,0.0011071150868702528,0.0030443286905657424,0.01579795085119373
parity_q_im_even_abs,pooled_points,50176,0.00019006363719117718,7.482922792482105e-05,0.0004274204763151895,0.0006949456363594475,0.00177239458978414,0.015490568934739884
