step,ci_anchor_loss
1,0.007475813445616014
100,2.281073873347028e-05
200,1.2176417203973993e-05
300,5.883634005602792e-06
400,2.8866051045727263e-06
500,1.6782473430790807e-06
600,1.1519701990245222e-06
700,8.341849200051315e-07
800,5.986174632694961e-07
900,4.178854459546644e-07
1000,2.8208752375889797e-07
1100,1.8351835323466325e-07
1200,1.1478367584185218e-07
1300,6.889288873539865e-08
1400,3.962249433217248e-08
1500,2.1811981381660335e-08
1600,1.1482120492968154e-08
1700,5.774688019444732e-09
1800,2.7719529240416797e-09
1900,1.2684918151835619e-09
2000,5.526085701978671e-10
2100,2.28785895499786e-10
2200,8.983313775957129e-11
2300,3.337433831698395e-11
2400,1.1700204906820987e-11
2500,3.859081529866725e-12
2600,1.1936155734761184e-12
2700,3.449813828287889e-13
2800,9.281556586874726e-14
2900,2.3150768125594875e-14
3000,5.330075024734204e-15
