point_id,p1e_group,Mach,eta,alpha,gep_regime,ci_ref,solver_family,config,ci,omega_i,success,mismatch,stage1_mismatch,stage2_mismatch,y_limit,runtime_s,rtol,atol,min_L,max_L,match,n_scan,robust_source,error,abs_err_vs_ci_ref,abs_delta_solver_strict,branch_shift_gt_1e3,p_overlap_801,p_rel_l2_801,u_rel_l2_801,v_rel_l2_801,rho_rel_l2_801,metric_ymin_801,metric_ymax_801,metric_n_801,p_overlap_1601,p_rel_l2_1601,u_rel_l2_1601,v_rel_l2_1601,rho_rel_l2_1601,metric_ymin_1601,metric_ymax_1601,metric_n_1601,p_overlap_3201,p_rel_l2_3201,u_rel_l2_3201,v_rel_l2_3201,rho_rel_l2_3201,metric_ymin_3201,metric_ymax_3201,metric_n_3201
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,robust,robust_nominal,0.14916049281065522,0.031039844318746918,True,5.468644592178905e-08,2.384425218570298e-06,2.215910282765822e-27,,5.593475569970906,,,,,,,secondary_neutral,,3.3229539410095654e-06,,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_nominal,0.14916007583539911,0.03103975754746593,True,5.468644592178905e-08,,,,1.9220828789984807,1e-08,1e-10,8.0,80.0,0.0,81.0,,,2.9059786849083835e-06,1.2119179866099117e-05,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_tol_strict,0.14916007362704936,0.031039757087915072,True,5.468904738786936e-08,,,,3.735075331060216,1e-10,1e-12,8.0,80.0,0.0,81.0,,,2.90377033515532e-06,1.212138821585218e-05,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_scan_dense,0.14917219610920304,0.031042279739534925,True,1.7776602134972688e-08,,,,3.5101955559803173,1e-08,1e-10,8.0,80.0,0.0,161.0,,,1.5026252488836711e-05,1.0939378292107449e-09,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_L40,0.1491600762497796,0.031039757633697245,True,5.46855326411075e-08,,,,1.8442705859197304,1e-08,1e-10,40.0,40.0,0.0,81.0,,,2.906393065382762e-06,1.2118765485624738e-05,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_L80,0.14916007583539911,0.03103975754746593,True,5.468644592178905e-08,,,,1.9692475880729035,1e-08,1e-10,80.0,80.0,0.0,81.0,,,2.9059786849083835e-06,1.2119179866099117e-05,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_L120,0.14916007563236788,0.03103975750521575,True,5.468656498469745e-08,,,,2.0626265519531444,1e-08,1e-10,120.0,120.0,0.0,81.0,,,2.905775653677667e-06,1.2119382897329833e-05,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_match_m05,0.14917476725600565,0.03104281478735469,True,3.575763657870917e-07,,,,1.879413824994117,1e-08,1e-10,8.0,80.0,-0.5,81.0,,,1.759739929144133e-05,2.5722407404338288e-06,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_match_p05,0.14917476725600565,0.03104281478735469,True,3.575763657870917e-07,,,,1.8799680100055411,1e-08,1e-10,8.0,80.0,0.5,81.0,,,1.759739929144133e-05,2.5722407404338288e-06,False,,,,,,,,,,,,,,,,,,,,,,,,
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,primary,primary_strict_ref,0.1491721950152652,0.031042279511889793,True,1.7780675772748533e-08,,,,7.2889004200696945,1e-10,1e-12,120.0,120.0,0.0,161.0,,,1.50251585510075e-05,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
