benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error,t401_id,chunk,pinn_error,shoot_error_recomputed,technical_success,improved
13,C00,1.05,0.115,1.2100138419185254e-10,0.0719056899252925,0.017666906,0.053896766,0.0252277804074074,COMPLETED,,0.0,0.0719143441249999,1.1300130915430817e-06,3.412214368431832e-21,1.130013091543085e-06,True,True,0,0.015,0.015,12,275.9879417909542,8.654199708329398e-06,13,0,0.0252277804074074,8.654199708246133e-06,True,True
14,C00,1.1,0.095,0.0185431702825212,0.1439719750936911,0.054584563,0.10189237,0.0554046492079548,COMPLETED,,0.0185431026905924,0.14398221375,1.9992207081274465e-07,2.8759375963641925e-21,1.999220708127475e-07,True,True,0,0.1,0.03,12,267.054662776005,1.0238879415270192e-05,14,0,0.05540464920795483,1.0238879415270491e-05,True,True
15,C00,1.1,0.11,0.0737351788015254,0.1346775747592678,0.06999461,0.103538744,0.0313626949736987,COMPLETED,,0.073734844375,0.13469108775,1.0873866957920178e-06,2.1497256466090648e-21,1.08738669579202e-06,True,True,0,0.015,0.03,12,277.3828600270208,1.3517128379568111e-05,15,0,0.03136269497369874,1.3517128379540706e-05,True,True
16,C00,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0882128038741486,COMPLETED,,0.0,0.102065065,2.244256478764485e-08,1.7832038890235373e-21,2.2442564787646638e-08,True,True,0,0.015,0.015,12,218.9651875660056,0.0977821594836177,16,0,0.08821280387414869,0.09778215948361772,True,False
17,C00,1.15,0.075,0.0646325378753453,0.1421829713450822,0.06119044,0.1525048,0.0108806334634036,COMPLETED,,0.064637705625,0.1421825343749999,2.1572509311015785e-07,4.072773371519308e-21,2.157250931101619e-07,True,True,0,0.015,0.015,12,265.3063812520122,5.186191217686958e-06,17,0,0.01088063346340362,5.1861912176939735e-06,True,True
18,C00,1.15,0.08,0.0790689509372673,0.1392808657517153,0.07836883,0.15468666,0.0154216946457671,COMPLETED,,0.079062189375,0.13927650375,4.2610060489791e-07,4.37849278026666e-21,4.261006048979144e-07,True,True,0,0.015,0.03,12,268.5429045690107,8.046476449898393e-06,18,0,0.01542169464576711,8.046476449913438e-06,True,True
19,C00,1.15,0.09,0.1011993184208567,0.1335078749432744,0.10595794,0.14533767,0.01275102075983,COMPLETED,,0.101202080625,0.1335095449999999,2.403233187298112e-07,4.38025608554936e-21,2.403233187298156e-07,True,True,0,0.015,0.008,12,274.78627990500536,3.227826078958401e-06,19,0,0.012751020759830084,3.2278260789034434e-06,True,True
20,C00,1.15,0.105,0.1259143515352406,0.124921872190643,0.120825455,0.121306114,0.0062426416875859,COMPLETED,,0.1259133456249999,0.1249193952499999,2.816213418311548e-07,3.8308178887192526e-21,2.8162134183115854e-07,True,True,0,0.015,0.03,12,284.943348358036,2.673404264466243e-06,20,0,0.00624264168758594,2.6734042645747206e-06,True,True
21,C00,1.15,0.115,0.1391735170370881,0.1192436508743323,0.12468594,0.11970028,0.014494771421584,COMPLETED,,0.1391781274999999,0.119241295625,6.525207064666052e-07,3.0298874544440638e-21,6.525207064666083e-07,True,True,0,0.06,0.015,12,293.3524100490031,5.177216209403169e-06,21,0,0.014494771421584089,5.177216209335331e-06,True,True
22,C00,1.2,0.05,0.0587939705593892,0.1408414697456862,0.06356445,0.11870087,0.0226487004305317,COMPLETED,,0.0587890593749999,0.140839541875,1.1392473194348477e-07,2.446510426210215e-21,1.1392473194348724e-07,True,True,0,0.015,0.015,12,260.08992559305625,5.27602288542466e-06,22,0,0.022648700430531778,5.276022885515087e-06,True,True
23,C00,1.2,0.065,0.1050524247378762,0.1330421441116264,0.09346147,0.14514562,0.0167584116286698,COMPLETED,,0.105053266875,0.133046010625,1.884041253591319e-07,3.8323572750451445e-21,1.8840412535913572e-07,True,True,0,0.015,0.015,12,270.52827792498283,3.957160674477333e-06,23,0,0.01675841162866981,3.95716067444726e-06,True,True
24,C00,1.2,0.08,0.1340569456428095,0.1252466098615217,0.14128435,0.14307813,0.0192405427208094,COMPLETED,,0.1340577875,0.12524609875,7.241933140253028e-08,4.828886697878663e-21,7.241933140253511e-08,True,True,0,0.06,0.03,12,278.00204007001594,9.848647200628543e-07,24,0,0.019240542720809446,9.848647200391291e-07,True,True
25,C00,1.2,0.09,0.1492486582237698,0.1200551554586059,0.1681123,0.1295007,0.021096333632776,COMPLETED,,0.1492451125,0.120057340625,3.815417471380482e-07,5.056538325975588e-21,3.815417471380533e-07,True,True,0,0.06,0.015,12,287.0017486200086,4.164986100999503e-06,25,0,0.021096333632776035,4.164986100999503e-06,True,True
26,C00,1.2,0.1,0.1623167383142573,0.1148698095470125,0.18443377,0.11347698,0.0221608453073247,COMPLETED,,0.162314629375,0.114867605,3.368400062293702e-07,4.91418639164328e-21,3.368400062293751e-07,True,True,0,0.015,0.008,12,292.98880525899585,3.050844525920121e-06,26,0,0.022160845307324747,3.0508445259201214e-06,True,True
27,C00,1.2,0.115,0.1790446749180525,0.1071054177329335,0.18775871,0.10260381,0.0098081027518383,COMPLETED,,0.1790477725,0.107105763125,4.354938578231277e-07,4.1582401397127626e-21,4.354938578231319e-07,True,True,0,0.06,0.015,12,301.5794131589937,3.1167787218935115e-06,27,0,0.009808102751838308,3.116778721864389e-06,True,True
28,C01,1.0,0.135,4.486303830662882e-11,0.0238070220816896,0.001039058,0.02821241,0.0045262660267519,COMPLETED,,0.0,0.023808113125,4.107770806053697e-07,3.3693395603102445e-21,4.107770806053731e-07,True,True,0,0.015,0.015,12,277.3711481219507,1.09104331132098e-06,28,0,0.004526266026751924,1.0910433113209799e-06,True,True
29,C01,1.0,0.14,-1.3824653512991852e-11,0.026296053046404,0.00208655,0.03516712,0.0091131509290351,COMPLETED,,0.0,0.0262973283333333,4.572426072564888e-07,3.53248111541444e-21,4.5724260725649234e-07,True,True,0,0.015,0.008,12,276.54759844596265,1.2752869294113605e-06,29,0,0.009113150929035179,1.2752869293766658e-06,True,True
30,C01,1.0,0.15,-8.405645788231906e-11,0.0321062949597958,0.0033924282,0.05199941,0.0201803021698205,COMPLETED,,0.0,0.0321068318749999,1.710604484255981e-07,3.360477897642332e-21,1.7106044842560145e-07,True,True,0,0.015,0.015,12,279.4079909870052,5.369152107722841e-07,30,0,0.020180302169820575,5.369152106820785e-07,True,True
31,C01,1.0,0.16,-8.877935056053396e-11,0.0394369303198964,0.0024567544,0.0666482,0.0273219479580329,COMPLETED,,0.0,0.03944116875,1.153330314592216e-06,2.330319727271973e-21,1.1533303145922182e-06,True,True,0,0.015,0.03,12,281.5503062690259,4.238430104538936e-06,31,0,0.02732194795803299,4.238430104525058e-06,True,True
32,C01,1.0,0.165,-1.5719701197920907e-10,0.0439306948164425,0.0013481677,0.07155228,0.0276544666306132,COMPLETED,,0.0,0.0439253268749999,1.317946444461077e-06,1.3650726800732396e-21,1.3179464444610782e-06,True,True,0,0.015,0.015,12,282.821886249003,5.367941444815113e-06,32,0,0.027654466630613255,5.367941444905319e-06,True,True
33,C01,1.0,0.175,-7.090404905498365e-11,0.0557083229229324,-0.000603199,0.07625127,0.020551800980918,COMPLETED,,0.0,0.0557141606249999,1.0614274713018168e-06,4.91518264092504e-23,1.0614274713018168e-06,True,True,0,0.015,0.015,12,284.6144419540069,5.837702068023749e-06,33,0,0.020551800980918012,5.837702067926605e-06,True,True
34,C01,1.0,0.195,0.0382070565534107,0.0978340054927779,0.0076334774,0.075827256,0.0376701574922079,COMPLETED,,0.0382092500034505,0.097829209125,5.588740581413822e-07,2.516833727355025e-20,5.588740581414074e-07,True,True,0,0.03,0.015,12,302.86551184399286,5.274122385583047e-06,34,0,0.037670157492207944,5.274122385574389e-06,True,True
35,C01,1.0,0.205,0.059979811826426,0.0915107939103272,0.025734812,0.077026725,0.0371820960317062,COMPLETED,,0.0599752965455729,0.0915111,7.440788433816633e-07,4.1034948858056485e-20,7.440788433817044e-07,True,True,0,0.06,0.008,12,308.405055218027,4.5256438293342544e-06,35,0,0.03718209603170622,4.525643829355024e-06,True,True
36,C01,1.0,0.215,0.0752967720188064,0.0852583958304331,0.059479803,0.08036243,0.0165573847679713,COMPLETED,,0.075290349875,0.0852550081249999,1.5035874956486658e-06,4.237175583744608e-20,1.5035874956487082e-06,True,True,0,0.015,0.015,12,313.1750452000415,7.260886941101414e-06,36,0,0.016557384767971358,7.260886941152538e-06,True,True
37,C01,1.05,0.12,6.803041450145497e-10,0.0798199008171065,0.035170197,0.058797605,0.040974133677088,COMPLETED,,0.0,0.0798229956249999,3.490045816096051e-07,3.3591393592472134e-21,3.490045816096085e-07,True,True,0,0.03,0.015,12,274.3928942429484,3.094807968255985e-06,37,0,0.040974133677088055,3.094807968172718e-06,True,True
38,C01,1.05,0.13,5.561380768025613e-10,0.1057320985786008,0.04512611,0.08330081,0.0503937343410455,COMPLETED,,0.0,0.1057324506249999,1.87335143456016e-08,7.935688973119915e-22,1.8733514345602398e-08,True,True,0,0.03,0.015,12,273.598418877984,3.520468384587644e-07,38,0,0.05039373434104552,3.5204683837549775e-07,True,True
39,C01,1.05,0.145,0.0574927471084788,0.1240499420403578,0.06309928,0.11537303,0.0103306347152445,COMPLETED,,0.05749381125,0.124054670625,4.843036422696348e-07,9.750159010909417e-22,4.843036422696357e-07,True,True,0,0.03,0.015,12,284.0687940980424,4.846845355051612e-06,39,0,0.010330634715244513,4.846845355036549e-06,True,True
40,C01,1.05,0.16,0.0846089596558761,0.1145246495812782,0.07486944,0.123299204,0.0131091970911382,COMPLETED,,0.084605768125,0.1145231623333333,5.358354458800797e-07,2.7926240098120418e-21,5.358354458800824e-07,True,True,0,0.015,0.008,12,303.1060532919946,3.521047540539116e-06,40,0,0.013109197091138237,3.5210475405391156e-06,True,True
41,C01,1.05,0.17,0.0980164090081825,0.1082491587696718,0.07819721,0.11455765,0.0207989834109523,COMPLETED,,0.098011663125,0.10824905625,8.625516449940806e-07,4.6491960238798576e-21,8.625516449940852e-07,True,True,0,0.015,0.03,12,310.2124047660036,4.746990358641892e-06,41,0,0.020798983410952317,4.746990358641892e-06,True,True
42,C01,1.05,0.18,0.1093898015648453,0.1020308850845139,0.07992539,0.09879105,0.0296419985870966,COMPLETED,,0.1093882806249999,0.1020358416666666,1.0836865439733574e-06,6.970300805804985e-21,1.0836865439733644e-06,True,True,0,0.015,0.008,12,314.86687669798266,5.184685588368975e-06,42,0,0.0296419985870966,5.184685588327064e-06,True,True
43,C01,1.05,0.19,0.1193340156875175,0.0958677623501994,0.085055575,0.08596002,0.0356815758402791,COMPLETED,,0.1193343405192057,0.0958714783333333,8.765653310732503e-07,9.651375621797735e-21,8.765653310732599e-07,True,True,0,0.1,0.008,12,318.5410822520498,3.730153653306557e-06,43,0,0.03568157584027912,3.73015365327649e-06,True,True
44,C01,1.05,0.205,0.1323044050267023,0.08672218899306,0.1141354,0.0829901,0.0185483484955521,COMPLETED,,0.132309228125,0.0867205687499999,1.3855038336227843e-06,1.4095210909877736e-20,1.3855038336227987e-06,True,True,0,0.015,0.03,12,324.86517858004663,5.087972559210287e-06,44,0,0.018548348495552182,5.087972559210492e-06,True,True
45,C01,1.1,0.12,0.0929554600078068,0.1285506661833083,0.094506055,0.118469276,0.010199939845799,COMPLETED,,0.0929533206249999,0.1285474009999999,4.179984858712019e-07,1.3958943339208896e-21,4.179984858712033e-07,True,True,0,0.015,0.008,12,280.66994098201394,3.903636872326177e-06,45,0,0.010199939845799068,3.903636872441459e-06,True,True
46,C01,1.1,0.135,0.114821536307718,0.1194572670812644,0.11796075,0.13708073,0.0179008689133756,COMPLETED,,0.114825984375,0.119453776875,8.126802448573706e-07,3.5024401906965853e-22,8.12680244857371e-07,True,True,0,0.015,0.015,12,291.220190181979,5.653922736756568e-06,46,0,0.01790086891337568,5.6539227367542164e-06,True,True
47,C01,1.1,0.15,0.1320566414058153,0.1104728205019271,0.1424105,0.13910997,0.0304514157168981,COMPLETED,,0.1320589375,0.110467391875,1.0538556536479357e-06,3.025851326311376e-24,1.0538556536479357e-06,True,True,0,0.1,0.015,12,306.64741207199404,5.894237763977539e-06,47,0,0.030451415716898113,5.8942377640031014e-06,True,True
48,C01,1.1,0.165,0.1463990255732808,0.1015900294887648,0.15113187,0.11295014,0.0123065806459391,COMPLETED,,0.146395541875,0.1015907649999999,7.586648973150329e-07,5.294618634497244e-22,7.586648973150334e-07,True,True,0,0.015,0.008,12,320.1873830340337,3.5604958206233745e-06,48,0,0.012306580645939126,3.5604958206061733e-06,True,True
49,C01,1.1,0.175,0.1547968043623869,0.0957214701503959,0.14960758,0.08833096,0.0090303759482257,COMPLETED,,0.154793126875,0.0957215849999999,8.670180303920489e-07,1.415875628447504e-21,8.670180303920502e-07,True,True,0,0.015,0.008,12,325.3533654650091,3.679280352526397e-06,49,0,0.00903037594822578,3.679280352523798e-06,True,True
50,C01,1.1,0.19,0.1660505044719185,0.0869943604140983,0.15417609,0.0734648,0.0180014089462365,COMPLETED,,0.166041324375,0.0869908416666667,2.645856876972563e-06,3.421247841849458e-21,2.6458568769725664e-06,True,True,0,0.015,0.008,12,331.36585735704284,9.831366279439114e-06,50,0,0.018001408946236502,9.831366279439114e-06,True,True
0,C01,1.1,0.2,0.172818900945195,0.0812245506598016,0.16756338,0.07558014,0.0077123195020606,COMPLETED,,0.17281728625,0.0812246712499999,4.715768281874196e-07,5.318282232332957e-21,4.715768281874249e-07,True,True,0,0.03,0.03,12,333.10272229101975,1.61919194930428e-06,51,1,0.007712319502060654,1.619191949297045e-06,True,True
1,C01,1.15,0.12,0.1451318869386702,0.1164175356042111,0.14297736,0.13013612,0.0138867398677241,COMPLETED,,0.145135563125,0.116415416875,5.789924370636998e-07,2.7132638980968048e-21,5.789924370637026e-07,True,True,0,0.015,0.015,12,288.68935440899804,4.243036577893246e-06,52,1,0.013886739867724108,4.243036577893246e-06,True,True
2,C01,1.15,0.13,0.1559861792264185,0.1107901946633786,0.15449858,0.12724605,0.0165229575536055,COMPLETED,,0.155992720625,0.110790971875,1.037167796585354e-06,1.8431844751458573e-21,1.037167796585356e-06,True,True,0,0.015,0.015,12,295.92211761698127,6.587408694359496e-06,53,1,0.01652295755360559,6.587408694357859e-06,True,True
3,C01,1.15,0.145,0.1701633002107831,0.1024084525397898,0.17114037,0.1091381,0.0068002073726993,COMPLETED,,0.1701638075,0.102409584375,2.3470209203977105e-07,6.673956389068728e-22,2.347020920397717e-07,True,True,0,0.06,0.015,12,306.6667366710026,1.2403198348492352e-06,54,1,0.006800207372699312,1.2403198348252193e-06,True,True
4,C01,1.15,0.16,0.182412678439002,0.0940936670254569,0.18045431,0.0816684,0.0125786512630244,COMPLETED,,0.1824172006249999,0.0940902749999999,1.251005328887409e-06,5.120910208878738e-23,1.251005328887409e-06,True,True,0,0.015,0.008,12,324.90348456200445,5.652964080963046e-06,55,1,0.012578651263024416,5.6529640809463984e-06,True,True
5,C01,1.15,0.17,0.1897340820397551,0.0885856665308793,0.18522564,0.071344815,0.0178205783053091,COMPLETED,,0.18973735875,0.088581143125,1.3557052292646243e-06,2.808275580320846e-23,1.3557052292646243e-06,True,True,0,0.03,0.015,12,330.7696857289993,5.585519741088978e-06,56,1,0.017820578305309122,5.585519741088978e-06,True,True
6,C01,1.15,0.18,0.1964928606786852,0.0831045993477835,0.19308206,0.06688398,0.0165753447413744,COMPLETED,,0.196490263125,0.0831046831249999,6.865632137755233e-07,2.911238397895737e-22,6.865632137755237e-07,True,True,0,0.015,0.015,12,334.0528612289927,2.598904340171711e-06,57,1,0.0165753447413744,2.5989043401967677e-06,True,True
7,C01,1.15,0.1875,0.2012381863031565,0.0790109172963611,0.2000536,0.06532871,0.0137333914678866,COMPLETED,,0.201235240625,0.0790110016666666,8.256830937665709e-07,7.531147808616327e-22,8.256830937665717e-07,True,True,0,0.015,0.008,12,336.56168914894806,2.946886178694868e-06,58,1,0.013733391467886694,2.9468861786932784e-06,True,True
8,C01,1.15,0.195,0.2057354310669795,0.074931515120691,0.20593491,0.06465615,0.0102773012122946,COMPLETED,,0.2057395974999999,0.0749321916666666,1.2498392173148724e-06,1.3511617441680106e-21,1.2498392173148736e-06,True,True,0,0.06,0.008,12,338.75351410300937,4.221004450526846e-06,59,1,0.010277301212294613,4.22100445043131e-06,True,True
9,C01,1.15,0.205,0.211384435185444,0.0695139708760752,0.21052794,0.06497044,0.0046235545659738,COMPLETED,,0.211377549375,0.069511455625,2.326497377610247e-06,2.3722241804710136e-21,2.3264973776102498e-06,True,True,0,0.015,0.015,12,341.92510981397936,7.330816696794585e-06,60,1,0.0046235545659738305,7.330816696799347e-06,True,True
10,C01,1.2,0.13,0.1932295994077387,0.0993595427438833,0.19878073,0.09732831,0.0059110876589814,COMPLETED,,0.193224089375,0.0993543516666666,1.2879065486890723e-06,2.973053844309672e-21,1.2879065486890753e-06,True,True,0,0.015,0.008,12,304.0376402059919,7.570187808159127e-06,61,1,0.005911087658981447,7.570187808197192e-06,True,True
11,C01,1.2,0.14,0.20160028025262,0.094206817652732,0.2109499,0.0896555,0.0103985519086393,COMPLETED,,0.2016041968749999,0.09420628125,7.541933650019036e-07,2.092743880310848e-21,7.541933650019057e-07,True,True,0,0.015,0.03,12,312.19685353699606,3.953183370146163e-06,62,1,0.010398551908639392,3.9531833700911654e-06,True,True
12,C01,1.2,0.15,0.2092601600195139,0.089063544049155,0.21712887,0.08273335,0.0100989085280023,COMPLETED,,0.20925777625,0.0890614749999999,6.683227161720009e-07,1.2887585591060089e-21,6.683227161720022e-07,True,True,0,0.03,0.008,12,320.58025454200106,3.156472952710692e-06,63,1,0.010098908528002373,3.1564729527652726e-06,True,True
13,C01,1.2,0.16,0.2163108523694062,0.0839300841651744,0.21777779,0.07808241,0.0060288638360888,COMPLETED,,0.2163129462499999,0.0839313683333333,5.716124326952845e-07,6.578390024032346e-22,5.716124326952851e-07,True,True,0,0.03,0.008,12,331.81291970197344,2.4563028724592125e-06,64,1,0.006028863836088874,2.456302872397381e-06,True,True
14,C01,1.2,0.17,0.2228334640401218,0.0788067637074469,0.22073019,0.07495311,0.0043902629288881,COMPLETED,,0.222829799375,0.078810531875,1.3343167594246642e-06,2.209417643943644e-22,1.3343167594246644e-06,True,True,0,0.015,0.015,12,337.42490544205066,5.256315930706893e-06,65,1,0.004390262928888143,5.256315930696945e-06,True,True
15,C01,1.2,0.185,0.2317684249564779,0.0711414505629227,0.23756875,0.06911085,0.0061454950375581,COMPLETED,,0.23176796875,0.0711368916666666,1.307968835199522e-06,1.900132417849472e-24,1.307968835199522e-06,True,True,0,0.03,0.008,12,341.13165537494933,4.581665573082081e-06,66,1,0.006145495037558131,4.581665573167697e-06,True,True
16,C01,1.2,0.195,0.237235378386023,0.066044768826691,0.24978195,0.06361444,0.0127797870667119,COMPLETED,,0.2372331218749999,0.0660460806249999,7.99923686309027e-07,1.9628364152961573e-22,7.999236863090272e-07,True,True,0,0.015,0.015,12,344.5283425520174,2.6101066645695054e-06,67,1,0.012779787066711991,2.610106664599643e-06,True,True
17,C01,1.2,0.205,0.2423607987616504,0.0609592307494944,0.25399745,0.058501232,0.0118934187639845,COMPLETED,,0.242366590625,0.060954357,2.4777996996985905e-06,6.653092585986683e-22,2.4777996996985918e-06,True,True,0,0.015,0.008,12,347.72287635999965,7.56961790282391e-06,68,1,0.011893418763984545,7.5696179028071405e-06,True,True
18,C02,1.0,0.225,0.0876278286687524,0.0790732279991764,0.085437566,0.0772528,0.0028480183739428,COMPLETED,,0.087634831625,0.0790705083333333,1.8275039182084303e-06,4.3913314784040405e-20,1.8275039182084744e-06,True,True,0,0.015,0.008,12,312.5251135539729,7.5125214478192385e-06,69,1,0.0028480183739428015,7.5125214478192385e-06,True,True
19,C02,1.0,0.23,0.0930610599734061,0.0760047899975906,0.08972961,0.073575936,0.0041228498234739,COMPLETED,,0.093059688125,0.076007576625,8.071997461868411e-07,4.456050249563443e-20,8.071997461868857e-07,True,True,0,0.015,0.015,12,315.2083418610273,3.106003922754101e-06,70,1,0.004122849823473965,3.106003922754101e-06,True,True
20,C02,1.0,0.235,0.0981188972948216,0.0729519045736324,0.094429284,0.070434585,0.0044665584179675,COMPLETED,,0.09812069025,0.07295021,6.805176531208171e-07,4.521233003379931e-20,6.805176531208624e-07,True,True,0,0.03,0.008,12,316.8720095950412,2.467036292277827e-06,71,1,0.004466558417967586,2.467036292277827e-06,True,True
21,C02,1.0,0.24,0.1028582442907003,0.0699141772819918,0.099430785,0.06781291,0.0040202986679818,COMPLETED,,0.102858519375,0.069912519375,4.894584631749936e-07,4.655423113464779e-20,4.894584631750402e-07,True,True,0,0.015,0.015,12,318.87253447499825,1.680573403755865e-06,72,1,0.004020298667981898,1.680573403755865e-06,True,True
22,C02,1.0,0.245,0.1073227166314896,0.0668912242537501,0.10467124,0.06565102,0.0029271889106026,COMPLETED,,0.107317724375,0.066891254375,1.528555416728247e-06,4.743509912070717e-20,1.5285554167282943e-06,True,True,0,0.015,0.015,12,321.2569054240012,4.992347358447542e-06,73,1,0.002927188910602672,4.99234735846142e-06,True,True
23,C02,1.0,0.26,0.1193784584953749,0.0579073250083236,0.12140149,0.060955603,0.0036585045009189,COMPLETED,,0.119380005625,0.057908728,7.287173111925899e-07,4.993691478440741e-20,7.287173111926399e-07,True,True,0,0.015,0.008,12,328.3984477139893,2.088539135588118e-06,74,1,0.003658504500918972,2.088539135588118e-06,True,True
24,C02,1.0,0.265,0.1230278287323319,0.0549398320238557,0.1270938,0.05962215,0.0062013082473964,COMPLETED,,0.123021534375,0.0549398583333333,2.283322698570666e-06,5.160048619112652e-20,2.283322698570718e-06,True,True,0,0.015,0.008,12,332.6312985239784,6.294412316488189e-06,75,1,0.006201308247396403,6.2944123165019505e-06,True,True
25,C02,1.0,0.27,0.1265216952031328,0.051985341826045,0.1326598,0.058223844,0.0087518706498533,COMPLETED,,0.1265172218749999,0.0519836096249999,1.8057649447878525e-06,5.168424902272293e-20,1.805764944787904e-06,True,True,0,0.015,0.015,12,333.52997924998635,4.796997503078623e-06,76,1,0.00875187064985339,4.796997503165468e-06,True,True
26,C02,1.0,0.275,0.1298736305102899,0.0490435280560056,0.13795687,0.05665714,0.0111043166148008,COMPLETED,,0.1298709324999999,0.049047765,1.95755759198878e-06,5.1747267258178044e-20,1.957557591988831e-06,True,True,0,0.06,0.008,12,335.6098618860124,5.023042298872877e-06,77,1,0.011104316614800885,5.023042298917602e-06,True,True
