point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note,reference_role,selected_setting,cr_range,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,max_core_rel_l2_amp_ge_5pct,max_tail_rel_l2_amp_0p1pct_to_2pct,note,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,campaign_target_status,source_file,touches_ci_upper_0p12,touches_cr_lower_0,boundary_flag,tail_polish_available,tail_polish_version,tail_polish_note
M1.10_a0.175000,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,9.209272529347948e-06,3.3933657261595065e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.10_a0.200000,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.314381709687337e-05,2.9859546502175105e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.150000,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.175000,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.187500,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.200000,1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.208333,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.20_a0.216667,1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.25_a0.250000,1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,modal_spectral_validated_with_exported_fields,1.0,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,0.0285205931752853,6.926989067349518e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
M1.30_a0.100000,1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,modal_spectral_validated_with_exported_fields,1.0,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.0,1.0,YES,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",base_legacy_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,left_asymptotic_fit_v1,Spectral values unchanged. Modal core unchanged. Weak left tail regularized by fitted complex exponential where available.
